SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
31000001,5.0,6.0,4.8,-1,-1,-1,5.25,6.0,8.75
31000002,8.6,8.75,3.0,-1,-1,-1,8.75,-1,-1
31000003,5.2,5.0,3.0,-1,-1,-1,3.25,6.75,7.5
31000004,4.8,5.0,3.0,-1,-1,-1,2.75,5.5,7.75
31000005,5.8,6.5,4.0,-1,-1,-1,5.25,7.25,9.0
31000006,4.8,3.25,-1,-1,-1,-1,6.25,4.75,-1
31000007,4.4,5.75,3.8,-1,-1,-1,7.75,8.25,7.25
31000008,6.6,5.25,7.8,-1,-1,-1,4.25,7.25,8.75
31000009,3.4,3.0,2.8,-1,-1,-1,3.5,4.5,8.0
31000010,2.8,3.75,4.8,-1,-1,-1,3.0,3.75,5.25
31000011,8.4,-1,-1,4.75,6.0,-1,-1,-1,-1
31000012,6.4,3.75,3.4,-1,-1,-1,5.25,7.25,7.75
31000013,4.2,-1,6.6,-1,-1,-1,-1,-1,-1
31000014,5.6,3.0,4.0,-1,-1,-1,4.5,6.0,8.0
31000015,5.2,4.0,4.4,-1,-1,-1,2.5,7.25,8.5
31000016,4.2,2.5,3.8,-1,-1,-1,3.0,5.5,3.5
31000017,6.4,6.25,7.4,-1,-1,-1,7.0,7.5,6.25
31000018,8.4,8.25,9.2,-1,-1,-1,4.5,8.5,9.25
31000019,4.4,5.25,5.0,-1,-1,-1,3.0,6.0,7.5
31000020,8.4,5.75,7.0,6.5,8.0,5.0,-1,-1,-1
31000021,7.4,6.0,3.4,8.25,6.25,5.75,-1,-1,-1
31000022,5.8,4.0,8.2,-1,-1,-1,4.25,8.0,8.0
31000023,2.8,2.5,4.2,-1,-1,-1,2.75,2.75,8.0
31000024,4.4,6.5,4.2,-1,-1,-1,5.0,7.75,7.25
31000025,4.4,6.25,3.4,-1,-1,-1,6.0,7.25,8.5
31000026,5.0,6.25,2.8,-1,-1,-1,5.25,6.75,8.5
31000027,2.8,3.5,5.0,-1,-1,-1,4.0,8.5,7.25
31000028,8.6,4.5,6.6,6.25,7.75,6.25,-1,-1,-1
31000029,5.2,5.75,3.0,-1,-1,-1,2.5,5.5,6.75
31000030,6.4,8.0,4.0,-1,-1,-1,6.5,7.0,8.25
