SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
32000001,6.6,6.5,3.4,-1,-1,-1,7.0,7.5,7.25
32000002,6.6,4.25,5.8,5.5,7.25,4.25,-1,-1,-1
32000003,5.8,-1,-1,5.5,2.5,-1,-1,-1,-1
32000004,7.8,4.0,-1,7.0,7.25,5.5,-1,-1,-1
32000005,5.6,6.0,5.6,-1,-1,-1,3.5,6.0,7.5
32000006,6.8,6.0,2.6,-1,-1,-1,7.25,8.75,9.5
32000007,7.0,6.5,4.2,-1,-1,-1,6.0,7.5,8.5
32000008,4.4,5.75,1.8,-1,-1,-1,3.0,7.0,7.5
32000009,5.0,5.75,4.6,-1,-1,-1,6.5,7.5,9.0
32000010,6.6,4.0,2.4,-1,-1,-1,4.0,7.5,8.5
32000011,6.0,6.5,8.0,4.0,3.25,3.75,-1,-1,-1
32000012,6.6,4.25,-1,-1,-1,-1,4.75,6.0,-1
32000013,8.8,5.25,9.4,7.75,2.75,4.25,-1,-1,-1
32000014,5.4,6.5,3.8,-1,-1,-1,7.0,7.25,9.25
32000015,6.2,6.0,3.6,4.25,4.75,3.75,-1,-1,-1
32000016,7.2,6.25,5.8,4.5,7.5,7.25,-1,-1,-1
32000017,4.2,2.75,3.0,-1,-1,-1,2.5,6.25,5.5
32000018,5.6,5.75,4.8,-1,-1,-1,7.5,7.5,8.75
32000019,5.2,4.75,3.6,-1,-1,-1,4.5,6.5,6.75
32000020,8.0,6.75,7.2,-1,-1,-1,4.25,7.0,8.25
32000021,7.0,7.0,6.8,-1,-1,-1,1.75,6.25,7.75
32000022,7.8,7.0,8.6,7.75,4.25,4.75,-1,-1,-1
32000023,8.6,5.5,9.2,8.75,7.0,5.5,-1,-1,-1
32000024,6.8,7.5,5.4,-1,-1,-1,6.75,8.25,8.75
32000025,8.0,5.75,8.0,7.75,3.75,3.5,-1,-1,-1
32000026,5.2,6.5,4.4,-1,-1,-1,6.25,7.25,7.5
32000027,7.4,5.25,4.8,6.0,5.75,5.25,-1,-1,-1
32000028,6.2,6.0,6.6,-1,-1,-1,3.5,8.0,7.75
32000029,8.2,5.5,3.2,7.0,4.75,4.25,-1,-1,-1
32000030,5.4,5.25,3.0,-1,-1,-1,4.5,5.0,6.25
32000031,8.0,5.5,9.6,-1,-1,-1,3.25,7.5,8.0
32000032,3.6,5.25,5.0,-1,-1,-1,4.0,6.5,9.0
32000033,6.0,6.5,4.0,-1,-1,-1,5.25,7.25,8.0
32000034,8.2,8.5,9.4,-1,-1,-1,8.5,8.75,9.0
32000035,4.2,6.25,2.4,-1,-1,-1,3.5,6.75,8.75
32000036,6.4,8.75,9.4,-1,-1,-1,3.5,7.25,8.75
32000037,7.4,7.75,8.8,-1,-1,-1,7.0,8.0,8.5
32000038,4.6,7.0,3.4,-1,-1,-1,5.25,7.0,6.25
32000039,6.8,8.5,6.2,-1,-1,-1,6.0,8.0,8.75
