SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
33000001,6.4,4.5,3.0,-1,-1,-1,6.5,7.5,7.75
33000002,8.4,9.25,7.0,-1,-1,-1,6.0,8.0,9.25
33000003,6.8,6.5,8.6,-1,-1,-1,5.0,6.75,9.25
33000004,6.2,8.0,8.6,-1,-1,-1,4.0,7.0,9.0
33000005,4.6,7.25,-1,-1,-1,-1,5.25,7.25,-1
33000006,8.2,8.0,8.0,-1,-1,-1,6.0,8.5,9.0
33000007,5.6,7.0,7.6,-1,-1,-1,5.0,8.0,7.75
33000008,7.2,6.5,2.8,-1,-1,-1,4.75,8.0,9.5
33000009,8.4,4.5,5.2,6.5,6.75,4.25,-1,-1,-1
33000010,4.6,6.75,2.2,-1,-1,-1,5.25,6.25,8.0
33000011,6.8,6.0,4.6,-1,-1,-1,6.75,7.5,9.0
33000012,4.8,6.25,3.0,-1,-1,-1,3.25,7.0,7.75
33000013,7.4,6.75,4.8,5.75,7.75,2.75,-1,-1,-1
33000014,6.2,6.0,3.4,-1,-1,-1,3.5,4.75,8.5
33000015,5.8,5.25,4.6,-1,-1,-1,3.5,8.25,8.0
33000016,8.0,8.5,9.8,-1,-1,-1,9.0,8.0,9.75
33000017,7.6,5.0,2.2,-1,-1,-1,5.25,7.0,9.0
33000018,7.2,6.25,2.6,-1,-1,-1,6.5,8.25,9.25
33000019,7.8,7.5,5.8,-1,-1,-1,3.25,6.25,6.75
33000020,7.2,8.0,5.6,-1,-1,-1,5.75,8.0,8.75
33000021,6.6,6.75,7.0,-1,-1,-1,4.25,6.75,8.5
33000022,8.4,8.0,8.4,-1,-1,-1,4.25,7.0,9.25
33000023,8.4,7.25,6.8,4.75,8.5,7.75,-1,-1,-1
33000024,7.4,7.0,7.6,-1,-1,-1,3.5,6.75,7.75
33000025,5.2,3.5,3.2,-1,-1,-1,2.75,5.75,8.0
33000026,6.8,7.25,5.2,-1,-1,-1,3.5,5.25,7.5
33000027,9.0,8.75,9.6,-1,-1,-1,6.0,7.5,9.25
33000028,7.8,7.0,6.8,-1,-1,-1,4.0,6.25,7.0
33000029,4.0,5.5,3.2,-1,-1,-1,4.25,6.0,8.25
33000030,4.8,5.75,2.6,-1,-1,-1,3.25,6.25,8.25
33000031,5.6,6.5,6.6,-1,-1,-1,5.75,7.25,8.75
33000032,4.0,4.0,2.6,-1,-1,-1,3.5,5.75,6.25
33000033,7.2,6.25,4.6,-1,-1,-1,5.5,6.75,9.5
33000034,4.2,7.0,3.6,-1,-1,-1,4.75,5.25,6.75
33000035,9.2,6.75,7.6,7.25,8.5,4.25,-1,-1,-1
33000036,8.0,6.75,3.8,5.5,8.25,6.0,-1,-1,-1
33000037,7.8,8.5,9.0,-1,-1,-1,4.5,7.75,8.25
33000038,5.4,5.5,4.2,-1,-1,-1,3.75,7.0,7.5
33000039,5.2,6.0,2.2,-1,-1,-1,3.25,6.5,6.75
33000040,8.0,7.25,4.6,4.75,7.25,7.25,-1,-1,-1
33000041,8.6,5.5,6.0,8.75,7.5,3.0,-1,-1,-1
33000042,7.0,5.25,7.0,6.75,4.25,3.75,-1,-1,-1
33000043,4.2,5.75,3.2,-1,-1,-1,3.75,6.75,8.75
33000044,4.0,6.0,2.6,-1,-1,-1,3.75,7.75,8.0
33000045,8.6,6.0,5.8,7.25,7.5,5.25,-1,-1,-1
33000046,6.4,4.25,3.2,-1,-1,-1,4.0,6.75,9.25
33000047,7.0,5.5,3.8,-1,-1,-1,4.0,6.5,8.5
33000048,6.0,5.0,5.8,-1,-1,-1,5.25,6.75,8.5
33000049,7.6,5.25,4.2,4.25,8.25,8.5,-1,-1,-1
33000050,3.6,6.0,5.2,-1,-1,-1,2.0,5.25,7.25
