SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
34000001,7.8,6.75,5.8,6.5,7.0,7.0,-1,-1,-1
34000002,4.6,4.75,3.4,-1,-1,-1,3.0,7.25,6.5
34000003,8.2,8.75,9.8,-1,-1,-1,5.75,8.25,9.5
34000004,7.2,6.0,6.2,7.0,8.5,5.25,-1,-1,-1
34000005,5.0,6.25,4.4,-1,-1,-1,5.0,5.25,7.0
34000006,6.8,6.5,3.0,-1,-1,-1,5.0,7.0,9.5
34000007,5.0,6.75,5.2,-1,-1,-1,3.5,7.5,9.0
34000008,7.4,6.5,6.8,-1,-1,-1,5.25,7.75,9.25
34000009,3.6,5.5,2.0,-1,-1,-1,4.25,6.25,8.0
34000010,6.2,6.0,4.0,-1,-1,-1,4.5,7.0,7.25
34000011,8.6,5.5,7.6,7.0,7.25,5.75,-1,-1,-1
34000012,6.2,5.5,2.6,-1,-1,-1,4.25,7.5,8.5
34000013,5.6,5.5,4.2,-1,-1,-1,3.5,6.25,6.75
34000014,5.4,6.25,5.0,-1,-1,-1,3.25,6.25,7.75
34000015,4.6,6.0,4.4,-1,-1,-1,5.0,4.5,7.0
34000016,6.0,7.25,5.0,-1,-1,-1,4.25,7.0,9.5
34000017,8.6,6.25,5.6,4.25,7.5,4.0,-1,-1,-1
34000018,7.6,6.25,2.8,-1,-1,-1,7.25,7.0,8.75
34000019,7.6,6.5,8.2,-1,-1,-1,7.0,7.25,9.75
34000020,8.4,3.25,3.6,7.75,7.25,2.0,-1,-1,-1
34000021,7.4,7.0,7.8,8.0,6.25,4.5,-1,-1,-1
34000022,7.4,7.5,7.6,6.25,6.5,5.75,-1,-1,-1
34000023,2.6,5.5,4.2,-1,-1,-1,3.25,6.25,6.75
34000024,7.8,6.25,4.2,6.75,5.25,6.5,-1,-1,-1
34000025,8.8,6.5,5.2,8.25,7.75,4.5,-1,-1,-1
34000026,7.0,6.5,6.8,6.5,5.25,6.0,-1,-1,-1
34000027,5.6,6.5,2.8,-1,-1,-1,6.25,6.25,6.5
34000028,4.2,5.75,6.0,-1,-1,-1,4.75,6.5,7.75
34000029,7.8,7.0,7.4,-1,-1,-1,5.75,6.25,7.5
34000030,9.4,7.0,9.0,4.5,9.25,9.0,-1,-1,-1
34000031,9.4,7.0,7.4,8.25,7.75,6.5,-1,-1,-1
34000032,7.2,7.0,8.8,-1,-1,-1,6.5,8.75,10.0
34000033,6.0,5.5,5.2,7.0,7.75,5.5,-1,-1,-1
34000034,7.4,6.75,7.2,6.0,6.5,5.75,-1,-1,-1
34000035,7.2,6.0,4.8,-1,-1,-1,4.0,6.75,7.5
34000036,6.6,4.5,4.0,-1,-1,-1,7.0,7.5,8.25
34000037,8.2,7.25,9.4,-1,-1,-1,6.0,8.75,9.5
34000038,8.6,6.75,9.2,7.25,6.0,6.25,-1,-1,-1
34000039,4.6,4.75,3.0,-1,-1,-1,2.25,6.25,6.0
34000040,4.0,5.75,3.6,-1,-1,-1,5.5,6.75,6.75
34000041,4.6,5.0,3.4,-1,-1,-1,3.25,5.75,6.0
34000042,3.6,3.5,3.0,-1,-1,-1,2.75,6.0,7.0
34000043,8.6,6.25,4.8,6.25,8.5,8.75,-1,-1,-1
34000044,8.8,7.0,9.2,6.0,8.5,8.5,-1,-1,-1
34000045,5.8,5.75,4.0,-1,-1,-1,3.25,6.0,8.25
34000046,1.4,5.25,3.0,-1,-1,-1,3.0,3.75,4.0
34000047,7.2,6.0,3.4,-1,-1,-1,6.0,8.0,9.25
34000048,4.6,7.0,4.6,-1,-1,-1,7.5,7.5,8.5
34000049,8.6,5.5,5.6,8.25,7.5,6.0,-1,-1,-1
34000050,8.0,5.5,9.2,8.0,5.25,4.25,-1,-1,-1
34000051,7.0,6.75,7.8,-1,-1,-1,5.75,7.75,8.5
34000052,7.2,8.0,5.6,7.0,8.5,6.5,-1,-1,-1
34000053,7.4,4.75,2.6,5.25,4.75,3.75,-1,-1,-1
34000054,8.2,7.75,7.8,-1,-1,-1,3.0,7.0,9.25
34000055,8.0,7.0,5.8,7.0,7.25,5.5,-1,-1,-1
34000056,4.4,3.75,2.0,-1,-1,-1,2.25,6.25,5.75
34000057,6.0,5.75,4.2,-1,-1,-1,4.5,5.75,7.75
34000058,4.8,5.5,3.8,-1,-1,-1,3.75,7.5,8.0
34000059,7.8,7.25,8.4,7.0,4.25,5.0,-1,-1,-1
34000060,7.6,7.5,3.0,5.25,8.25,8.75,-1,-1,-1
34000061,8.2,6.5,8.2,8.0,6.25,5.75,-1,-1,-1
34000062,4.6,5.5,3.0,-1,-1,-1,4.75,6.5,7.5
34000063,8.2,6.5,4.8,7.75,8.25,4.25,-1,-1,-1
34000064,6.0,7.25,3.8,-1,-1,-1,5.0,7.25,8.0
34000065,8.4,8.0,9.8,7.75,8.5,8.0,-1,-1,-1
34000066,4.8,7.0,4.6,-1,-1,-1,4.25,6.25,9.5
34000067,9.0,6.25,8.8,6.5,8.75,8.5,-1,-1,-1
34000068,5.2,5.75,2.8,-1,-1,-1,3.75,6.0,7.0
34000069,3.0,5.25,2.6,-1,-1,-1,2.75,6.25,7.0
34000070,8.0,5.25,3.4,6.75,7.0,4.5,-1,-1,-1
34000071,4.2,5.5,3.8,-1,-1,-1,3.25,6.25,9.0
34000072,6.8,6.25,6.2,5.25,6.25,5.0,-1,-1,-1
34000073,3.8,5.25,3.8,-1,-1,-1,2.5,6.5,4.5
34000074,8.6,4.75,6.0,4.5,6.75,3.0,-1,-1,-1
34000075,6.8,4.25,7.0,6.25,5.0,5.0,-1,-1,-1
34000076,3.8,5.5,3.4,-1,-1,-1,3.5,8.0,8.25
34000077,8.4,7.25,6.0,8.0,7.75,4.75,-1,-1,-1
34000078,3.0,4.0,1.8,-1,-1,-1,2.75,6.25,6.0
34000079,7.8,6.25,6.8,8.25,8.0,7.75,-1,-1,-1
34000080,5.2,6.0,3.0,-1,-1,-1,2.75,5.75,6.75
34000081,4.8,4.5,5.2,-1,-1,-1,1.5,5.75,6.75
34000082,6.0,4.75,3.2,-1,-1,-1,3.5,7.0,7.25
34000083,7.8,6.25,6.6,5.75,8.25,7.75,-1,-1,-1
34000084,7.0,8.0,5.2,6.0,5.75,5.25,-1,-1,-1
34000085,6.0,6.25,4.0,-1,-1,-1,6.75,7.75,9.0
34000086,8.6,6.0,4.2,8.0,7.25,5.0,-1,-1,-1
34000087,2.2,4.0,2.6,2.75,2.25,4.0,-1,-1,-1
34000088,7.8,5.5,9.4,8.0,8.5,7.75,-1,-1,-1
34000089,5.0,6.25,2.8,-1,-1,-1,2.75,5.5,6.5
34000090,8.0,7.75,-1,6.0,8.5,8.75,-1,-1,-1
34000091,9.6,4.25,8.6,7.5,9.25,9.75,-1,-1,-1
34000092,5.8,6.0,3.4,-1,-1,-1,3.5,5.5,8.75
34000093,4.0,5.75,2.8,-1,-1,-1,3.25,6.75,7.75
34000094,8.2,6.5,5.0,7.25,7.25,6.75,-1,-1,-1
34000095,8.2,5.25,4.4,7.25,7.75,3.0,-1,-1,-1
34000096,8.0,6.5,5.8,5.75,7.25,5.0,-1,-1,-1
34000097,6.0,6.75,2.6,-1,-1,-1,4.75,7.5,7.25
34000098,8.0,6.25,5.6,6.25,8.25,8.5,-1,-1,-1
34000099,8.4,6.5,8.0,5.25,5.75,5.25,-1,-1,-1
34000100,8.0,8.75,8.2,-1,-1,-1,5.75,7.75,9.75
34000101,5.0,6.25,3.6,-1,-1,-1,2.5,6.5,8.0
34000102,8.2,5.75,6.2,5.5,5.0,3.5,-1,-1,-1
34000103,5.0,5.5,6.2,-1,-1,-1,4.5,7.0,7.5
34000104,8.2,7.75,9.4,-1,-1,-1,5.0,7.25,9.5
34000105,8.0,7.75,7.2,-1,-1,-1,9.0,8.75,9.0
34000106,5.2,6.0,2.2,-1,-1,-1,4.5,7.0,8.0
34000107,7.0,6.75,8.2,7.0,8.25,5.5,-1,-1,-1
34000108,8.0,5.75,4.6,3.75,8.75,7.0,-1,-1,-1
34000109,7.4,7.25,5.2,-1,-1,-1,5.75,7.5,9.0
34000110,7.2,7.0,4.6,-1,-1,-1,5.0,7.75,8.75
34000111,7.2,6.5,4.2,-1,-1,-1,5.25,7.0,8.5
34000112,5.4,4.25,0.8,-1,-1,-1,4.75,6.0,5.75
34000113,8.4,6.5,7.2,5.75,8.0,8.5,-1,-1,-1
34000114,6.2,6.5,2.8,6.0,4.5,3.0,-1,-1,-1
34000115,4.6,5.5,4.4,-1,-1,-1,5.0,6.75,6.75
34000116,6.8,7.75,7.8,4.25,5.0,3.0,-1,-1,-1
34000117,7.2,6.75,4.2,6.25,5.0,3.25,-1,-1,-1
34000118,7.6,6.25,4.4,5.25,4.5,7.0,-1,-1,-1
34000119,5.0,6.25,3.4,-1,-1,-1,4.0,6.0,7.25
34000120,2.8,3.5,1.8,-1,-1,-1,2.25,4.0,6.75
34000121,8.6,5.0,3.8,7.5,8.0,4.0,-1,-1,-1
34000122,3.8,6.25,3.2,-1,-1,-1,6.25,7.75,9.0
34000123,5.6,5.5,6.2,-1,-1,-1,2.75,6.5,6.5
34000124,9.0,7.5,8.4,7.0,8.25,7.0,-1,-1,-1
34000125,6.8,7.25,8.0,-1,-1,-1,5.5,8.5,8.75
34000126,5.4,5.75,3.0,-1,-1,-1,3.75,7.0,8.0
34000127,8.0,5.75,5.8,6.0,6.0,4.75,-1,-1,-1
34000128,5.8,5.75,4.8,-1,-1,-1,3.75,6.75,7.5
34000129,8.2,7.5,7.2,-1,-1,-1,5.5,8.25,9.25
34000130,9.0,5.0,9.6,8.5,3.5,5.5,-1,-1,-1
34000131,6.6,6.0,4.4,-1,-1,-1,3.25,7.25,7.75
34000132,1.8,5.0,2.0,-1,-1,-1,3.0,3.0,4.75
34000133,4.0,5.25,2.8,-1,-1,-1,5.75,7.25,8.5
34000134,7.0,6.25,3.2,-1,-1,-1,3.0,7.25,8.25
34000135,8.6,6.75,5.4,8.75,7.75,5.0,-1,-1,-1
34000136,3.0,3.75,3.4,-1,-1,-1,2.0,6.75,5.5
34000137,7.8,6.5,8.2,-1,-1,-1,8.0,7.25,9.0
34000138,3.6,5.0,2.8,-1,-1,-1,2.75,5.25,5.5
34000139,3.6,5.0,3.0,-1,-1,-1,2.5,5.0,4.5
34000140,7.8,7.25,9.0,-1,-1,-1,4.75,7.25,9.5
34000141,7.4,7.25,9.4,4.75,8.25,7.5,-1,-1,-1
34000142,5.6,6.0,3.8,-1,-1,-1,6.25,6.0,7.25
34000143,3.6,4.5,6.4,-1,-1,-1,5.0,7.0,9.0
34000144,5.8,6.0,3.6,-1,-1,-1,4.75,7.5,7.75
34000145,3.6,3.75,2.8,-1,-1,-1,3.0,6.75,5.5
34000146,9.2,6.5,5.6,7.0,8.5,9.25,-1,-1,-1
34000147,7.4,7.5,7.8,-1,-1,-1,8.25,8.25,9.25
34000148,6.4,6.5,5.4,3.5,6.0,5.0,-1,-1,-1
34000149,4.0,5.5,2.2,-1,-1,-1,2.75,5.5,6.25
34000150,6.4,7.0,7.6,-1,-1,-1,6.0,7.25,10.0
34000151,2.4,5.5,3.2,-1,-1,-1,3.0,6.75,8.25
34000152,6.0,5.25,6.0,-1,-1,-1,3.5,5.0,8.0
34000153,7.0,6.0,8.4,5.75,5.0,4.25,-1,-1,-1
34000154,4.6,5.0,4.8,-1,-1,-1,5.75,7.75,7.5
34000155,5.6,5.75,5.0,-1,-1,-1,6.75,7.0,7.75
34000156,7.4,7.5,6.4,6.25,7.5,4.0,-1,-1,-1
34000157,5.0,5.5,5.0,-1,-1,-1,3.25,6.5,4.5
34000158,5.6,4.75,2.4,-1,-1,-1,4.0,6.25,8.5
