SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
35000001,8.0,6.75,6.8,5.0,3.25,3.75,-1,-1,-1
35000002,6.6,6.75,3.2,5.5,4.5,4.5,-1,-1,-1
35000003,8.2,8.75,8.4,6.0,6.25,5.75,-1,-1,-1
35000004,8.2,7.75,4.8,-1,-1,-1,6.5,8.0,9.25
35000005,5.4,6.75,3.2,-1,-1,-1,2.75,4.5,8.0
35000006,6.2,5.5,3.0,-1,-1,-1,3.75,6.25,8.0
35000007,8.0,7.0,3.2,6.0,6.0,4.0,-1,-1,-1
35000008,9.0,5.25,3.2,7.5,7.5,4.75,-1,-1,-1
35000009,7.4,8.5,5.4,-1,-1,-1,4.25,6.5,9.25
35000010,7.2,6.25,4.2,-1,-1,-1,3.75,6.0,7.5
35000011,3.4,6.0,3.4,-1,-1,-1,3.5,6.5,6.75
35000012,6.4,6.0,4.6,4.0,7.25,4.0,-1,-1,-1
35000013,4.0,6.25,3.0,-1,-1,-1,3.0,6.5,8.25
35000014,5.0,7.25,4.0,4.25,6.0,5.0,-1,-1,-1
35000015,8.0,9.0,4.6,-1,-1,-1,7.5,9.75,8.75
35000016,8.4,6.75,7.8,7.75,6.75,5.5,-1,-1,-1
35000017,6.4,7.0,4.8,5.5,4.75,5.25,-1,-1,-1
35000018,6.4,7.0,3.6,-1,-1,-1,4.25,6.0,7.25
35000019,8.4,6.0,2.6,7.0,7.25,6.5,-1,-1,-1
35000020,6.0,6.0,3.6,-1,-1,-1,3.5,6.0,7.25
35000021,8.0,7.75,10.0,8.75,5.25,5.75,-1,-1,-1
35000023,7.4,7.25,4.8,5.5,6.25,3.75,-1,-1,-1
35000024,8.8,7.75,10.0,7.75,6.75,4.0,-1,-1,-1
35000025,9.2,7.5,7.8,7.75,8.25,5.25,-1,-1,-1
35000026,6.2,6.75,3.2,-1,-1,-1,5.5,7.0,7.5
35000027,7.2,7.0,4.0,6.75,4.25,3.75,-1,-1,-1
35000028,5.4,7.25,3.4,-1,-1,-1,3.5,5.75,8.5
35000029,4.6,7.5,3.6,-1,-1,-1,3.25,5.5,8.0
35000030,6.8,8.25,4.6,5.75,6.25,3.5,-1,-1,-1
35000031,8.4,7.5,6.8,7.25,8.5,6.25,-1,-1,-1
35000032,8.0,8.5,8.0,5.5,5.0,5.5,-1,-1,-1
35000033,7.4,7.75,4.2,5.75,5.0,4.5,-1,-1,-1
35000034,5.8,7.75,2.6,4.5,3.25,4.75,-1,-1,-1
35000035,8.4,7.75,9.0,6.5,8.5,9.5,-1,-1,-1
35000036,8.8,7.5,9.4,7.75,5.5,6.0,-1,-1,-1
35000037,7.8,4.0,4.0,6.0,4.5,5.75,-1,-1,-1
35000038,6.4,4.5,4.8,4.75,5.0,5.0,-1,-1,-1
35000039,8.6,6.75,5.2,8.25,7.25,5.5,-1,-1,-1
35000040,7.8,6.5,3.4,7.25,8.5,5.0,-1,-1,-1
35000041,7.4,8.25,5.2,-1,-1,-1,6.5,6.0,9.0
35000042,7.8,8.25,4.8,6.0,7.5,8.75,-1,-1,-1
35000043,7.6,8.5,7.4,7.75,5.5,5.0,-1,-1,-1
35000044,7.6,8.0,7.0,5.0,8.25,7.0,-1,-1,-1
35000045,7.6,9.25,5.2,-1,-1,-1,6.25,9.25,9.5
35000046,7.4,5.25,6.0,5.25,6.25,5.0,-1,-1,-1
35000047,9.0,7.25,8.4,8.5,8.75,6.0,-1,-1,-1
35000048,1.8,3.75,3.6,-1,-1,-1,3.5,5.25,5.25
35000049,7.8,6.5,5.2,6.0,6.75,5.0,-1,-1,-1
35000050,7.2,5.5,1.6,7.0,6.0,6.0,-1,-1,-1
35000051,8.2,7.25,4.8,7.0,8.75,4.75,-1,-1,-1
35000052,7.2,7.25,3.8,6.5,6.25,5.25,-1,-1,-1
35000053,6.4,7.5,4.2,-1,-1,-1,5.25,7.5,9.0
35000054,8.0,6.75,4.2,7.75,7.5,5.25,-1,-1,-1
35000055,7.4,7.0,5.2,-1,-1,-1,2.75,7.0,8.75
35000056,6.0,7.0,3.6,-1,-1,-1,4.0,6.25,7.25
35000057,5.4,6.5,3.0,-1,-1,-1,2.75,4.5,8.5
35000058,7.0,6.5,2.6,-1,-1,-1,4.75,6.5,8.25
35000059,5.6,6.75,3.4,-1,-1,-1,4.75,7.0,7.5
35000060,7.4,6.75,4.2,6.5,6.0,4.25,-1,-1,-1
35000061,7.2,6.75,3.0,-1,-1,-1,6.0,8.0,8.0
35000062,7.6,6.0,3.6,4.75,5.25,2.75,-1,-1,-1
35000063,7.2,6.75,3.6,6.5,6.25,4.75,-1,-1,-1
35000064,6.0,7.25,3.4,-1,-1,-1,2.5,6.75,6.5
35000065,8.4,6.5,4.2,8.25,7.5,5.75,-1,-1,-1
35000066,8.2,5.75,6.2,6.75,7.75,4.25,-1,-1,-1
35000067,5.8,4.75,3.8,-1,-1,-1,3.25,6.0,7.25
35000068,8.2,8.75,9.6,8.25,6.0,6.25,-1,-1,-1
35000069,4.2,5.75,2.8,-1,-1,-1,3.0,3.5,7.75
35000070,5.2,6.25,3.2,2.5,2.75,3.0,-1,-1,-1
35000071,7.6,4.0,4.0,-1,-1,-1,5.5,8.5,8.75
35000072,8.6,7.75,8.8,8.25,6.25,4.5,-1,-1,-1
35000073,6.8,8.0,7.8,6.5,7.25,5.5,-1,-1,-1
35000074,6.0,6.75,3.6,-1,-1,-1,2.5,6.5,7.5
35000075,7.0,8.75,8.2,-1,-1,-1,4.5,8.0,9.25
35000076,6.6,6.5,3.6,-1,-1,-1,6.75,6.5,9.25
35000077,6.8,6.0,4.6,-1,-1,-1,3.25,6.75,9.0
35000078,8.2,7.0,5.0,6.25,8.25,4.0,-1,-1,-1
35000079,7.4,6.5,4.8,6.5,6.25,5.25,-1,-1,-1
35000080,6.6,6.0,3.2,-1,-1,-1,5.25,8.75,8.75
35000081,7.8,6.75,6.2,6.5,7.0,4.25,-1,-1,-1
35000082,6.4,7.91,3.8,-1,-1,-1,5.0,8.75,9.0
35000083,8.0,8.0,5.2,7.0,8.0,7.5,-1,-1,-1
35000084,8.0,9.0,5.8,6.75,6.5,5.25,-1,-1,-1
35000085,7.4,7.5,6.0,-1,-1,-1,-1,-1,-1
35000086,7.2,6.5,5.6,6.75,6.25,5.5,-1,-1,-1
35000087,7.8,3.75,5.0,7.0,8.5,4.75,-1,-1,-1
35000088,7.2,6.5,3.4,5.75,4.75,3.75,-1,-1,-1
35000089,7.2,8.0,4.8,6.5,6.5,4.5,-1,-1,-1
35000090,8.0,7.75,8.6,6.75,6.75,4.25,-1,-1,-1
35000091,7.8,9.0,8.8,-1,-1,-1,5.75,7.5,9.5
35000092,7.6,7.5,5.2,6.75,7.0,6.0,-1,-1,-1
35000093,7.4,8.0,5.4,4.25,8.0,6.0,-1,-1,-1
35000094,7.8,8.0,5.6,7.5,7.75,5.5,-1,-1,-1
35000095,7.6,7.0,4.8,6.25,7.75,5.25,-1,-1,-1
35000096,5.8,6.5,4.2,-1,-1,-1,4.75,7.75,7.5
35000097,9.6,5.5,7.4,8.0,8.5,5.25,-1,-1,-1
35000098,7.8,5.25,5.2,7.75,8.0,3.25,-1,-1,-1
35000099,7.8,8.0,6.8,7.75,8.0,6.0,-1,-1,-1
35000100,8.2,5.75,5.2,5.25,4.75,2.75,-1,-1,-1
35000101,8.4,6.5,6.4,6.25,7.5,4.5,-1,-1,-1
35000102,7.2,7.0,3.4,5.0,5.5,2.75,-1,-1,-1
35000103,7.0,7.25,6.0,-1,-1,-1,5.25,7.5,9.0
35000104,8.8,7.25,7.6,8.25,8.0,5.25,-1,-1,-1
