SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
36000001,2.4,3.0,-1,-1,-1,-1,3.25,6.25,-1
36000002,6.2,6.0,4.8,3.5,4.25,3.5,-1,-1,-1
36000003,8.0,7.25,8.8,7.5,6.0,7.0,-1,-1,-1
36000004,7.4,6.75,5.6,3.75,7.75,9.0,-1,-1,-1
36000005,8.6,4.0,8.8,7.25,5.5,5.25,-1,-1,-1
36000006,8.6,7.0,9.4,-1,-1,-1,8.0,6.75,9.0
36000007,8.8,7.75,8.0,-1,-1,-1,6.25,8.5,9.0
36000008,8.4,6.5,7.6,6.5,9.25,8.75,-1,-1,-1
36000009,8.0,6.25,8.6,6.0,5.0,5.0,-1,-1,-1
36000010,7.6,8.0,7.2,-1,-1,-1,6.0,7.0,7.75
36000011,9.4,7.0,8.4,6.75,9.5,9.5,-1,-1,-1
36000012,7.2,7.25,5.8,-1,-1,-1,4.5,7.5,9.25
36000013,8.0,8.0,8.6,-1,-1,-1,8.25,8.5,9.5
36000014,7.4,4.5,4.0,-1,-1,-1,5.75,7.75,9.25
36000015,7.8,5.5,9.2,6.25,4.0,5.25,-1,-1,-1
36000016,8.0,7.5,8.8,-1,-1,-1,3.25,7.25,7.5
36000017,7.4,8.0,8.8,-1,-1,-1,5.5,7.75,9.5
36000018,8.6,6.0,8.8,6.5,5.25,7.0,-1,-1,-1
36000019,9.0,6.75,9.6,7.0,8.5,8.0,-1,-1,-1
36000020,8.6,7.5,8.6,-1,-1,-1,7.25,8.5,9.25
36000021,8.6,8.25,9.0,-1,-1,-1,7.5,8.0,9.75
36000022,9.0,6.75,-1,6.25,9.25,9.75,-1,-1,-1
36000023,7.0,5.5,4.8,-1,-1,-1,4.5,6.75,7.0
36000024,4.8,5.75,4.6,-1,-1,-1,5.75,8.0,8.25
36000025,7.2,7.0,4.8,-1,-1,-1,4.5,7.25,8.0
36000026,8.4,7.25,-1,7.75,6.25,5.75,-1,-1,-1
36000027,5.4,5.0,3.6,-1,-1,-1,2.25,6.0,6.25
36000028,8.4,6.75,7.4,5.75,8.25,8.25,-1,-1,-1
36000029,2.4,1.5,-1,-1,-1,-1,3.5,3.75,-1
36000030,5.4,7.5,3.6,-1,-1,-1,4.5,6.5,8.0
36000031,6.6,4.5,3.0,-1,-1,-1,4.0,6.25,7.75
36000032,3.0,4.75,2.8,-1,-1,-1,5.0,7.0,8.75
36000033,6.6,5.5,8.4,5.5,5.75,5.25,-1,-1,-1
36000034,2.2,3.5,-1,-1,-1,-1,2.0,4.75,-1
36000035,3.6,4.0,3.2,-1,-1,-1,2.25,7.5,6.25
36000036,4.2,5.75,2.6,-1,-1,-1,5.5,7.75,6.75
36000037,7.6,7.0,9.2,7.5,6.0,7.25,-1,-1,-1
36000038,8.0,5.75,-1,6.5,5.5,6.0,-1,-1,-1
36000039,9.2,7.25,8.0,7.5,8.5,9.0,-1,-1,-1
36000040,7.8,7.25,8.0,5.5,7.5,7.0,-1,-1,-1
36000041,8.4,6.25,-1,6.5,8.75,10.0,-1,-1,-1
36000042,7.0,8.5,8.6,-1,-1,-1,9.5,6.25,8.75
36000043,7.6,6.5,6.8,-1,-1,-1,4.5,7.25,8.25
36000044,5.0,6.75,4.6,-1,-1,-1,2.75,6.0,6.5
36000045,6.8,8.0,4.0,-1,-1,-1,6.25,8.25,8.75
36000046,7.8,6.25,8.8,7.75,5.25,6.25,-1,-1,-1
36000047,5.2,6.25,4.6,-1,-1,-1,3.5,6.75,7.75
36000048,4.2,3.5,4.0,-1,-1,-1,3.0,6.0,7.0
36000049,4.8,6.75,4.6,-1,-1,-1,3.25,6.75,8.0
36000050,8.0,6.25,8.8,7.0,9.0,9.5,-1,-1,-1
36000051,8.4,6.75,8.4,-1,-1,-1,5.0,9.0,8.25
36000052,8.0,5.75,9.2,7.25,5.25,7.0,-1,-1,-1
36000053,7.4,7.75,4.6,-1,-1,-1,7.75,9.25,9.75
36000054,8.8,8.75,9.4,-1,-1,-1,7.75,8.75,9.25
36000055,8.0,6.25,9.4,7.75,7.0,6.0,-1,-1,-1
36000056,3.4,5.75,-1,-1,-1,-1,4.25,7.75,-1
36000057,6.0,6.0,4.4,-1,-1,-1,6.75,7.0,8.25
36000058,7.6,8.0,7.0,6.5,6.75,7.0,-1,-1,-1
36000059,6.6,7.5,9.2,-1,-1,-1,4.5,7.5,9.0
36000060,5.8,6.5,5.6,-1,-1,-1,7.0,8.25,8.5
36000061,5.4,7.0,4.4,-1,-1,-1,2.25,7.0,9.0
36000062,7.2,5.25,3.6,-1,-1,-1,2.5,6.5,7.25
