SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
37000001,8.4,7.0,10.0,8.75,5.25,5.75,-1,-1,-1
37000002,8.0,7.25,9.2,-1,-1,-1,6.75,5.75,8.75
37000003,8.0,7.75,9.8,7.75,6.5,6.5,-1,-1,-1
37000004,8.6,7.25,8.4,8.0,8.25,7.25,-1,-1,-1
37000005,8.0,7.0,9.6,8.5,6.75,5.5,-1,-1,-1
37000006,8.8,7.25,9.6,-1,-1,-1,6.75,8.0,8.5
37000007,8.4,8.0,9.4,-1,-1,-1,5.25,6.25,6.5
37000008,8.2,4.75,9.6,7.75,8.5,5.25,-1,-1,-1
37000009,9.2,5.0,9.6,7.5,4.5,5.25,-1,-1,-1
37000010,-1,4.25,-1,-1,-1,-1,6.5,7.5,-1
37000011,8.8,5.25,9.8,8.25,6.75,5.0,-1,-1,-1
37000012,9.2,6.5,9.4,9.0,4.0,7.5,-1,-1,-1
37000013,8.4,6.75,9.6,-1,-1,-1,7.5,7.25,9.75
37000014,8.4,5.25,9.4,9.25,6.5,6.75,-1,-1,-1
37000015,8.8,4.25,8.8,9.0,6.25,4.5,-1,-1,-1
37000016,7.4,5.0,-1,-1,-1,-1,5.5,-1,-1
37000017,7.2,4.5,9.4,5.75,7.75,7.25,-1,-1,-1
37000018,8.8,4.75,6.8,7.5,9.0,6.5,-1,-1,-1
37000019,8.4,8.0,9.2,-1,-1,-1,5.5,7.25,8.25
37000020,9.6,4.5,8.6,8.25,9.0,10.0,-1,-1,-1
37000021,8.6,4.5,10.0,8.75,6.0,4.5,-1,-1,-1
37000022,9.4,4.5,9.8,9.25,5.75,5.75,-1,-1,-1
37000023,8.6,8.75,8.8,-1,-1,-1,8.0,8.0,9.25
37000024,8.6,3.75,9.4,8.0,7.5,6.25,-1,-1,-1
37000025,8.6,5.5,8.8,8.25,8.75,6.5,-1,-1,-1
37000026,9.0,6.5,9.6,7.5,5.25,5.75,-1,-1,-1
37000027,8.2,8.75,9.8,-1,-1,-1,6.25,8.0,8.75
37000028,8.8,6.75,9.8,6.0,9.0,7.75,-1,-1,-1
37000029,8.2,7.75,9.6,4.5,7.5,5.0,-1,-1,-1
37000030,6.4,6.25,9.6,-1,-1,-1,6.25,6.25,7.5
37000031,8.2,6.0,9.6,6.75,6.5,4.75,-1,-1,-1
37000032,-1,6.0,-1,-1,-1,-1,9.5,8.5,-1
37000033,-1,6.5,8.8,-1,-1,-1,9.25,-1,-1
37000034,7.4,6.0,-1,-1,-1,-1,8.25,-1,-1
37000035,-1,4.5,-1,-1,-1,-1,6.5,7.5,-1
37000036,-1,5.5,-1,-1,-1,-1,8.5,7.75,-1
37000037,8.4,6.25,9.8,7.5,8.25,7.75,-1,-1,-1
37000038,8.4,-1,7.6,6.5,-1,-1,-1,-1,-1
37000039,7.6,5.75,9.0,6.75,8.25,4.5,-1,-1,-1
37000040,9.4,7.5,7.6,6.75,9.5,8.5,-1,-1,-1
37000041,8.0,7.0,9.6,-1,-1,-1,5.5,6.0,8.5
37000042,7.0,4.5,9.0,2.75,8.5,5.0,-1,-1,-1
37000043,6.0,7.5,-1,-1,-1,-1,7.0,-1,-1
37000044,8.2,6.25,9.8,7.25,4.25,4.25,-1,-1,-1
37000045,3.2,-1,3.2,3.5,-1,-1,-1,-1,-1
37000046,9.2,5.25,9.6,8.25,7.0,5.0,-1,-1,-1
37000047,7.8,-1,9.0,8.5,-1,-1,-1,-1,-1
37000048,8.8,4.0,8.2,7.75,8.5,5.25,-1,-1,-1
37000049,7.6,6.75,-1,-1,-1,-1,6.25,-1,-1
37000050,-1,4.5,-1,-1,-1,-1,5.75,7.0,-1
37000051,9.2,-1,-1,8.25,8.75,3.75,-1,-1,-1
37000052,8.2,7.5,10.0,8.0,5.75,5.75,-1,-1,-1
37000053,7.8,5.75,-1,-1,-1,-1,9.25,-1,-1
37000055,8.8,6.25,6.8,7.0,8.5,5.75,-1,-1,-1
37000056,9.0,4.25,9.6,8.75,5.75,3.75,-1,-1,-1
37000057,9.0,6.0,9.4,8.25,8.5,5.0,-1,-1,-1
37000058,-1,4.75,-1,-1,-1,-1,2.5,5.5,-1
37000059,9.4,5.75,10.0,8.0,4.5,3.75,-1,-1,-1
37000060,9.0,6.0,10.0,9.25,3.75,5.0,-1,-1,-1
37000061,-1,6.0,-1,-1,-1,-1,5.75,7.5,-1
37000062,9.2,6.75,9.6,7.0,9.25,6.0,-1,-1,-1
37000063,8.6,7.0,8.2,7.0,4.5,6.25,-1,-1,-1
37000064,8.6,5.25,8.4,5.5,6.75,4.0,-1,-1,-1
37000065,7.4,6.5,-1,-1,-1,-1,7.5,-1,-1
37000066,8.0,-1,8.6,5.5,-1,-1,-1,-1,-1
37000067,8.4,-1,-1,7.0,7.0,-1,-1,-1,-1
37000068,8.6,6.75,8.0,8.75,8.5,6.75,-1,-1,-1
37000069,8.8,5.5,7.2,8.75,8.5,4.75,-1,-1,-1
37000070,8.4,7.25,9.4,7.0,5.5,4.0,-1,-1,-1
37000071,7.4,8.5,9.6,6.5,7.25,4.25,-1,-1,-1
37000072,8.6,6.25,9.0,2.75,8.5,7.25,-1,-1,-1
37000073,8.4,8.5,9.8,-1,-1,-1,4.5,7.75,8.0
37000074,7.0,-1,-1,6.75,7.75,5.5,-1,-1,-1
37000076,7.8,7.5,7.6,-1,-1,-1,-1,-1,-1
37000077,8.4,7.75,9.6,-1,-1,-1,7.25,6.75,9.25
37000078,9.2,5.75,8.2,6.0,8.5,9.75,-1,-1,-1
37000079,7.0,6.0,-1,-1,-1,-1,8.25,-1,-1
37000080,8.4,-1,9.4,-1,8.0,-1,-1,-1,-1
37000081,8.4,7.0,9.4,7.25,2.75,5.5,-1,-1,-1
37000082,8.4,7.5,9.2,7.0,6.25,9.0,-1,-1,-1
37000083,8.6,7.0,8.0,8.5,8.0,4.25,-1,-1,-1
37000084,7.6,7.0,9.0,7.0,7.75,5.25,-1,-1,-1
37000085,8.0,7.5,9.6,-1,-1,-1,4.25,6.25,7.75
37000086,6.8,6.25,9.6,-1,-1,-1,4.25,5.5,8.25
37000087,7.8,6.5,-1,-1,-1,-1,8.75,-1,-1
37000088,7.0,-1,-1,-1,6.0,6.5,-1,-1,-1
37000089,7.2,-1,-1,5.25,5.25,-1,-1,-1,-1
37000090,2.4,-1,-1,4.0,2.0,-1,-1,-1,-1
37000091,8.4,7.5,10.0,-1,-1,-1,9.25,7.25,8.75
37000092,9.2,6.25,9.2,7.0,7.75,5.0,-1,-1,-1
37000093,8.8,6.5,9.8,7.5,6.0,6.0,-1,-1,-1
37000094,9.2,6.5,7.6,8.5,9.5,6.0,-1,-1,-1
37000095,9.2,6.5,8.8,7.25,9.25,9.5,-1,-1,-1
37000096,5.6,4.0,-1,-1,-1,-1,3.0,-1,-1
37000097,-1,4.75,-1,-1,-1,-1,6.75,8.5,-1
37000098,7.0,3.25,7.4,8.0,7.5,4.5,-1,-1,-1
37000099,8.6,6.5,9.6,7.25,6.5,5.75,-1,-1,-1
37000100,-1,5.5,-1,-1,-1,-1,8.25,8.25,-1
37000101,8.6,6.25,9.4,8.25,8.0,6.0,-1,-1,-1
37000102,8.8,6.25,6.0,8.75,8.0,5.75,-1,-1,-1
37000103,-1,4.75,-1,-1,-1,-1,5.25,7.75,-1
37000104,5.0,-1,4.0,3.25,-1,-1,-1,-1,-1
37000105,-1,6.25,-1,-1,-1,-1,7.5,9.5,-1
37000106,-1,2.5,-1,-1,-1,-1,3.75,4.5,-1
37000107,8.6,5.25,6.6,5.25,8.5,9.5,-1,-1,-1
37000108,9.2,6.25,9.8,7.75,7.0,5.5,-1,-1,-1
37000109,8.6,3.75,8.6,3.25,8.0,3.25,-1,-1,-1
37000110,7.8,4.25,7.6,8.5,8.0,6.0,-1,-1,-1
37000111,6.6,4.25,-1,-1,-1,-1,4.5,-1,-1
37000112,8.2,6.5,9.2,-1,-1,-1,6.25,7.0,7.75
37000114,9.0,5.0,9.0,7.0,9.75,9.75,-1,-1,-1
37000115,6.8,6.0,-1,-1,-1,-1,4.5,-1,-1
37000116,8.8,8.5,10.0,-1,-1,-1,9.5,9.5,9.75
37000117,8.2,6.0,8.2,6.75,6.25,4.5,-1,-1,-1
37000118,-1,4.5,-1,-1,-1,-1,8.25,8.0,-1
37000119,8.6,7.5,9.2,8.25,8.25,5.0,-1,-1,-1
37000120,8.6,6.5,8.6,7.5,8.75,8.5,-1,-1,-1
37000121,8.4,5.5,7.8,7.75,-1,-1,-1,-1,-1
37000122,-1,5.5,-1,-1,-1,-1,7.0,7.0,-1
37000123,8.8,6.0,9.8,8.0,6.25,6.25,-1,-1,-1
37000124,9.2,5.5,9.6,8.5,5.25,4.75,-1,-1,-1
37000125,-1,3.5,-1,-1,-1,-1,3.5,4.75,-1
