SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
38000001,6.6,6.75,6.2,5.75,7.0,5.5,-1,-1,-1
38000002,5.6,6.75,4.6,-1,-1,-1,4.25,6.0,8.75
38000003,6.8,7.0,5.2,-1,-1,-1,6.25,8.5,9.5
38000004,5.6,6.0,5.4,-1,-1,-1,7.0,7.5,9.5
38000005,9.0,6.0,5.2,6.75,8.5,6.75,-1,-1,-1
38000006,7.0,6.0,3.0,6.5,7.25,5.25,-1,-1,-1
38000007,8.0,5.75,4.0,6.25,6.5,6.25,-1,-1,-1
38000008,7.6,6.5,5.4,7.0,6.0,6.25,-1,-1,-1
38000009,8.6,5.75,6.4,7.25,7.25,7.25,-1,-1,-1
38000010,8.6,6.75,5.6,-1,-1,-1,6.75,6.25,8.25
38000011,7.0,6.25,4.6,-1,-1,-1,7.0,7.25,8.0
38000012,5.0,6.41,4.2,-1,-1,-1,5.5,7.0,9.75
38000013,8.4,7.16,7.0,7.5,8.0,7.25,-1,-1,-1
38000014,7.2,7.33,6.2,-1,-1,-1,7.5,8.0,8.75
38000015,8.2,6.75,9.6,7.0,8.0,8.0,-1,-1,-1
38000016,4.8,6.5,4.4,-1,-1,-1,3.25,6.0,7.0
38000017,8.0,7.0,5.0,6.5,7.25,7.75,-1,-1,-1
38000018,6.0,5.75,5.2,-1,-1,-1,5.25,7.75,8.75
38000019,5.2,6.0,4.8,-1,-1,-1,6.75,7.25,8.5
38000020,6.8,7.25,6.2,-1,-1,-1,9.0,8.5,9.75
38000021,5.8,6.5,7.4,-1,-1,-1,4.75,6.25,7.75
38000022,7.4,7.5,4.8,-1,-1,-1,7.75,6.5,8.75
38000023,8.0,7.25,5.8,6.5,7.25,6.25,-1,-1,-1
38000024,7.2,6.75,7.2,-1,-1,-1,7.0,8.5,9.0
38000025,7.8,7.0,8.6,-1,-1,-1,8.75,8.25,9.75
38000026,5.8,6.0,5.2,-1,-1,-1,5.5,6.75,8.5
38000027,7.0,6.0,3.8,-1,-1,-1,5.0,6.5,8.25
38000028,6.6,7.75,5.0,-1,-1,-1,6.75,8.75,9.5
38000029,4.6,6.5,4.6,-1,-1,-1,3.0,5.25,7.25
38000030,4.4,7.0,4.0,-1,-1,-1,2.75,5.75,8.25
38000031,5.2,5.75,4.0,-1,-1,-1,5.25,7.0,7.0
38000032,7.0,8.25,7.6,-1,-1,-1,6.0,7.25,9.75
38000033,6.4,6.0,5.2,-1,-1,-1,5.25,7.25,6.75
38000034,8.2,6.5,6.8,7.0,7.25,6.25,-1,-1,-1
38000035,7.8,7.5,8.8,7.25,7.25,6.5,-1,-1,-1
38000036,8.6,6.5,8.4,8.0,8.0,8.25,-1,-1,-1
38000037,6.8,7.5,5.0,6.0,6.75,5.5,-1,-1,-1
38000038,7.6,6.75,6.8,6.5,7.25,7.75,-1,-1,-1
38000039,5.8,7.75,6.4,-1,-1,-1,6.5,7.75,9.5
38000040,6.2,8.0,8.0,-1,-1,-1,7.25,8.5,9.75
38000041,5.6,8.0,4.4,-1,-1,-1,5.75,7.0,9.25
38000042,7.2,7.75,7.6,-1,-1,-1,6.5,7.25,10.0
38000043,8.4,7.0,7.4,8.5,7.5,8.75,-1,-1,-1
38000044,7.0,7.0,4.0,-1,-1,-1,6.75,6.5,10.0
38000045,5.6,7.75,4.4,-1,-1,-1,6.25,7.5,9.25
38000046,7.4,6.25,7.8,-1,-1,-1,7.75,8.25,9.5
38000047,7.0,6.5,4.8,6.75,6.75,6.5,-1,-1,-1
38000048,7.4,6.25,5.6,-1,-1,-1,5.75,7.75,9.25
38000049,6.2,6.75,4.2,-1,-1,-1,4.5,7.5,6.5
38000050,8.0,6.5,8.2,6.25,7.0,5.75,-1,-1,-1
38000051,5.6,7.25,6.6,-1,-1,-1,6.75,8.25,9.25
38000052,5.6,6.75,3.8,-1,-1,-1,4.25,6.25,9.0
38000053,6.8,5.25,5.2,-1,-1,-1,8.75,8.0,9.25
38000054,8.6,6.5,4.6,-1,-1,-1,8.25,8.25,9.75
38000055,6.0,7.0,6.6,-1,-1,-1,8.0,8.0,9.75
38000056,7.6,8.5,5.6,-1,-1,-1,9.0,9.25,9.75
38000057,8.2,7.25,5.8,-1,-1,-1,7.0,7.75,9.5
38000058,8.2,6.5,7.2,6.75,8.25,7.75,-1,-1,-1
38000059,6.8,8.0,7.6,-1,-1,-1,7.75,8.0,9.75
38000060,8.4,6.75,7.8,8.25,8.25,7.0,-1,-1,-1
38000061,7.0,6.0,4.2,-1,-1,-1,5.5,6.0,8.5
38000062,5.6,3.25,3.0,-1,-1,-1,4.5,7.75,9.0
38000063,8.0,6.75,7.6,-1,-1,-1,8.0,7.75,10.0
38000064,6.0,4.0,5.0,-1,-1,-1,4.0,4.75,9.0
38000065,4.8,6.5,3.4,-1,-1,-1,4.75,6.75,9.0
38000066,6.8,7.0,8.2,-1,-1,-1,7.75,7.25,9.75
38000067,5.2,6.75,6.2,-1,-1,-1,6.75,7.75,8.75
