SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
40000001,2.6,5.5,4.4,-1,-1,-1,3.75,6.25,6.75
40000002,4.8,6.75,4.6,-1,-1,-1,4.25,5.25,8.5
40000003,7.4,6.5,8.2,6.0,6.5,6.25,-1,-1,-1
40000004,7.4,6.25,8.4,7.0,6.75,5.5,-1,-1,-1
40000005,5.8,6.5,2.6,4.0,6.75,5.75,-1,-1,-1
40000006,2.2,5.5,2.4,-1,-1,-1,4.75,6.0,6.25
40000007,5.6,7.25,6.0,-1,-1,-1,6.5,6.75,9.0
40000008,7.6,7.5,7.2,5.0,6.75,5.0,-1,-1,-1
40000009,5.8,4.5,4.4,-1,-1,-1,4.25,7.25,8.75
40000010,3.8,5.25,2.8,-1,-1,-1,4.0,7.75,8.0
40000011,4.8,5.25,2.2,-1,-1,-1,2.75,6.0,8.25
40000012,7.8,6.25,5.4,6.5,4.5,5.25,-1,-1,-1
40000013,8.0,8.25,6.0,3.25,6.5,3.75,-1,-1,-1
40000014,6.0,5.75,3.0,-1,-1,-1,4.0,6.25,7.5
40000015,8.0,7.25,6.6,7.5,7.75,7.0,-1,-1,-1
40000016,3.6,5.25,2.8,-1,-1,-1,4.25,4.5,6.5
40000017,7.4,8.0,7.4,-1,-1,-1,7.0,7.75,10.0
40000018,2.4,3.75,2.8,-1,-1,-1,2.75,7.0,6.25
40000019,4.4,5.0,3.2,-1,-1,-1,5.0,5.25,8.25
40000020,3.2,6.75,2.8,-1,-1,-1,2.75,4.5,5.5
40000021,7.8,7.75,7.6,-1,-1,-1,7.75,8.0,9.75
40000022,4.2,6.5,3.2,-1,-1,-1,4.5,5.75,8.25
40000023,2.8,4.5,2.8,-1,-1,-1,2.5,4.75,7.0
40000024,2.0,5.0,-1,-1,-1,-1,3.0,5.0,-1
40000025,3.0,5.25,3.4,-1,-1,-1,2.0,4.25,8.0
40000026,3.4,3.75,3.0,-1,-1,-1,3.5,6.5,7.25
40000027,1.8,5.42,1.6,-1,-1,-1,4.0,6.25,7.25
40000028,2.4,4.0,3.2,-1,-1,-1,3.5,5.25,7.25
40000029,3.6,3.75,2.2,-1,-1,-1,4.0,6.0,6.25
40000030,8.2,7.5,4.6,8.25,7.5,8.25,-1,-1,-1
40000031,7.6,6.5,7.6,-1,-1,-1,5.25,8.0,8.75
40000032,8.0,6.75,5.4,5.75,6.5,6.75,-1,-1,-1
40000033,7.2,7.0,2.6,-1,-1,-1,6.25,7.75,9.75
40000034,7.8,6.5,4.2,5.5,8.0,5.75,-1,-1,-1
40000035,8.6,8.75,8.2,-1,-1,-1,-1,-1,-1
40000036,3.4,4.25,2.4,-1,-1,-1,3.75,4.75,6.75
40000037,5.0,5.75,3.8,-1,-1,-1,5.0,6.0,7.5
40000038,8.4,6.75,3.4,8.5,7.75,6.0,-1,-1,-1
40000039,3.8,5.0,2.8,-1,-1,-1,3.5,5.0,8.0
40000041,6.8,6.75,5.4,-1,-1,-1,6.25,8.0,9.25
40000042,6.0,7.0,3.8,-1,-1,-1,3.25,7.5,9.0
40000043,4.8,5.25,2.4,-1,-1,-1,3.25,6.5,7.25
40000044,3.0,6.75,3.0,-1,-1,-1,3.0,5.25,6.25
40000045,5.6,6.5,2.6,-1,-1,-1,3.25,7.0,9.25
40000046,7.0,6.92,3.6,-1,-1,-1,7.0,7.0,8.75
40000047,7.0,8.25,2.0,-1,-1,-1,4.25,7.0,8.0
40000048,8.4,8.25,6.0,5.25,7.75,7.25,-1,-1,-1
40000049,6.6,8.0,5.0,6.0,7.5,7.5,-1,-1,-1
40000050,7.2,7.25,4.4,-1,-1,-1,4.25,6.75,7.5
40000051,7.8,6.5,6.0,6.25,8.25,6.75,-1,-1,-1
40000052,5.8,6.0,4.2,-1,-1,-1,5.5,7.25,8.75
40000053,5.2,6.25,4.2,-1,-1,-1,3.25,6.25,7.0
40000054,7.8,6.75,4.8,7.25,7.25,6.25,-1,-1,-1
40000055,3.2,6.5,4.0,-1,-1,-1,4.0,7.75,7.75
40000056,8.2,6.0,7.6,6.5,4.75,4.0,-1,-1,-1
40000057,4.8,5.25,2.6,-1,-1,-1,2.5,5.0,7.25
40000058,5.2,6.75,4.2,-1,-1,-1,6.0,8.25,9.75
40000059,6.8,8.0,4.8,5.5,5.75,5.5,-1,-1,-1
40000060,4.4,4.0,4.0,-1,-1,-1,4.25,6.75,6.25
40000061,5.0,7.5,6.0,-1,-1,-1,3.75,7.0,9.25
40000062,7.0,6.25,6.4,-1,-1,-1,5.25,7.25,9.5
40000063,6.6,6.25,2.6,6.25,6.25,4.5,-1,-1,-1
40000064,5.8,6.25,3.0,-1,-1,-1,4.5,5.75,8.75
40000065,7.0,7.5,4.0,6.25,6.0,3.5,-1,-1,-1
40000066,6.8,7.5,3.8,-1,-1,-1,5.0,8.0,8.0
40000067,7.4,6.75,3.4,-1,-1,-1,6.5,7.0,9.75
40000068,6.0,5.58,3.2,-1,-1,-1,3.25,7.0,7.75
40000069,2.8,4.5,3.6,-1,-1,-1,4.25,4.75,6.0
40000070,8.0,8.5,6.2,8.0,8.0,8.25,-1,-1,-1
40000071,8.4,7.5,7.6,7.25,9.25,8.0,-1,-1,-1
40000072,5.4,6.5,5.4,-1,-1,-1,4.5,7.0,8.25
40000073,4.2,7.5,5.8,-1,-1,-1,6.0,7.0,8.5
40000074,8.4,6.0,8.8,7.5,6.25,5.5,-1,-1,-1
