SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
41000001,3.4,3.5,3.8,-1,-1,-1,6.5,6.5,8.5
41000002,8.0,7.25,6.4,-1,-1,-1,5.5,7.0,8.75
41000003,7.6,6.5,6.8,-1,-1,-1,4.75,7.5,8.75
41000004,4.8,4.25,-1,-1,-1,-1,4.0,5.5,-1
41000005,2.2,3.5,-1,-1,-1,-1,5.75,4.25,-1
41000006,2.6,3.75,4.2,-1,-1,-1,2.75,5.25,6.5
41000007,2.2,1.75,2.8,-1,-1,-1,2.25,4.5,6.5
41000008,3.4,4.0,5.4,-1,-1,-1,4.25,4.75,5.75
41000009,4.4,1.5,4.0,-1,-1,-1,1.75,5.0,5.0
41000010,3.4,1.25,3.0,-1,-1,-1,3.0,4.0,4.5
41000011,2.0,2.75,-1,-1,-1,-1,3.25,3.0,-1
41000012,2.2,1.75,4.0,-1,-1,-1,3.0,4.5,6.5
41000013,2.4,3.75,2.2,-1,-1,-1,3.25,3.75,6.0
41000014,3.4,1.75,2.6,-1,-1,-1,4.5,0.75,3.0
41000015,4.2,6.5,4.4,-1,-1,-1,7.0,6.0,7.75
41000016,2.6,1.75,3.4,-1,-1,-1,3.75,3.75,4.0
41000017,4.8,4.0,3.2,-1,-1,-1,3.5,6.0,8.75
41000018,8.6,7.0,8.4,-1,-1,-1,7.25,7.5,8.5
41000019,7.0,6.5,3.0,-1,-1,-1,6.5,7.75,9.5
41000020,5.2,2.25,4.2,5.0,6.5,4.0,-1,-1,-1
41000021,8.4,7.5,7.6,-1,-1,-1,6.75,8.0,10.0
41000022,8.0,7.25,4.6,4.5,4.5,6.5,-1,-1,-1
41000023,2.8,4.5,2.4,-1,-1,-1,3.25,4.75,7.25
41000024,5.8,6.75,7.8,6.25,6.0,7.0,-1,-1,-1
41000025,3.2,5.25,5.2,-1,-1,-1,5.5,6.0,8.75
41000026,2.4,4.0,2.2,-1,-1,-1,3.75,5.75,6.0
41000027,2.0,3.0,2.4,-1,-1,-1,3.0,5.75,7.0
41000028,3.4,2.0,3.2,-1,-1,-1,4.25,5.75,6.0
41000029,5.4,5.5,-1,-1,-1,-1,5.5,6.0,-1
41000030,7.0,6.25,7.4,5.25,6.0,6.5,-1,-1,-1
41000031,7.8,8.0,7.4,8.0,8.75,6.25,-1,-1,-1
41000032,8.6,5.5,5.4,7.0,6.25,5.25,-1,-1,-1
41000033,6.6,6.5,6.4,-1,-1,-1,4.5,7.0,8.0
41000034,3.4,4.0,2.8,-1,-1,-1,4.0,4.75,6.75
41000035,3.4,2.25,2.6,-1,-1,-1,3.0,6.0,7.5
41000036,4.2,3.75,-1,-1,-1,-1,5.0,6.5,-1
41000037,6.0,7.5,8.6,-1,-1,-1,8.0,9.0,9.5
41000038,5.0,6.5,5.8,-1,-1,-1,5.75,5.5,8.25
41000039,7.8,8.0,7.8,5.75,6.5,6.0,-1,-1,-1
41000040,6.8,8.0,9.6,-1,-1,-1,9.25,7.5,9.75
41000041,5.0,6.5,2.8,-1,-1,-1,4.75,6.0,9.25
41000042,8.6,5.75,7.6,6.25,8.0,7.75,-1,-1,-1
41000043,4.2,7.0,5.6,-1,-1,-1,5.0,7.5,9.0
41000044,7.2,6.0,4.4,4.75,6.75,6.0,-1,-1,-1
41000045,2.8,1.5,3.4,-1,-1,-1,2.0,3.0,4.0
41000046,3.2,5.75,2.6,-1,-1,-1,3.75,6.5,7.0
41000047,-1,5.75,-1,-1,-1,-1,7.0,6.75,-1
41000048,3.2,3.5,2.4,-1,-1,-1,2.25,5.75,5.5
41000049,3.2,3.25,3.4,-1,-1,-1,3.0,5.75,6.25
41000050,-1,5.0,-1,-1,-1,-1,5.75,6.5,-1
41000051,2.8,1.25,-1,-1,-1,-1,4.75,3.75,-1
41000052,4.4,5.75,4.8,-1,-1,-1,4.5,7.5,9.5
41000053,7.0,8.25,9.2,-1,-1,-1,9.0,8.25,9.0
41000054,3.4,2.5,4.6,-1,-1,-1,2.25,6.25,5.5
41000055,3.6,3.0,2.4,-1,-1,-1,3.5,7.25,7.75
41000056,7.4,7.25,8.6,-1,-1,-1,7.5,8.0,9.5
41000057,3.8,4.0,3.0,-1,-1,-1,4.0,5.75,8.0
41000058,6.6,6.75,4.2,5.25,6.0,6.25,-1,-1,-1
41000059,8.8,6.5,7.4,6.25,7.0,6.25,-1,-1,-1
41000060,5.6,6.25,5.6,-1,-1,-1,8.0,8.25,9.5
41000061,4.8,7.0,3.6,-1,-1,-1,2.75,6.25,7.5
