SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
42000001,8.0,8.25,8.4,6.75,8.0,7.0,-1,-1,-1
42000002,8.8,8.0,9.4,8.0,6.25,5.75,-1,-1,-1
42000003,8.0,7.25,8.4,7.25,7.0,7.0,-1,-1,-1
42000004,8.0,5.5,5.4,7.5,6.75,4.0,-1,-1,-1
42000005,8.2,6.5,8.2,8.5,5.75,7.5,-1,-1,-1
42000006,8.2,6.75,7.8,7.75,7.5,6.25,-1,-1,-1
42000007,6.6,4.75,2.6,-1,-1,-1,3.75,8.0,9.25
42000008,7.8,7.25,8.6,6.75,4.75,4.5,-1,-1,-1
42000009,8.2,9.0,9.0,-1,-1,-1,7.5,7.25,9.25
42000010,8.0,6.0,6.8,7.5,7.25,6.0,-1,-1,-1
42000011,6.2,8.0,6.0,-1,-1,-1,2.25,7.25,9.0
42000012,9.2,7.25,9.0,9.0,9.0,7.0,-1,-1,-1
42000013,8.2,7.5,9.4,8.0,7.25,6.75,-1,-1,-1
42000014,7.8,6.75,6.4,7.25,6.75,5.75,-1,-1,-1
42000015,7.6,5.75,8.4,5.75,3.75,4.75,-1,-1,-1
42000016,8.2,6.5,8.4,6.75,8.5,5.75,-1,-1,-1
42000017,7.4,6.75,8.8,-1,-1,-1,6.25,8.5,8.5
42000018,9.0,6.0,8.8,7.75,8.25,7.25,-1,-1,-1
42000019,7.2,6.75,8.4,5.75,4.25,6.75,-1,-1,-1
42000020,7.4,7.75,7.8,-1,-1,-1,5.0,7.5,8.5
42000021,7.2,7.25,6.4,-1,-1,-1,4.0,7.5,9.25
42000022,7.4,8.5,9.4,-1,-1,-1,6.25,7.25,9.5
42000023,6.4,6.75,7.2,-1,-1,-1,5.5,6.0,9.0
42000024,5.0,6.25,6.0,-1,-1,-1,4.25,7.75,8.75
42000025,7.0,6.5,8.6,6.75,6.0,5.0,-1,-1,-1
42000026,8.6,7.5,9.0,7.0,8.25,6.5,-1,-1,-1
42000027,8.2,6.5,9.0,6.5,5.5,7.5,-1,-1,-1
42000028,6.0,7.5,6.6,-1,-1,-1,8.0,8.0,8.75
42000029,8.6,7.0,8.2,6.75,7.75,7.25,-1,-1,-1
42000030,7.0,7.5,6.4,6.5,8.25,8.0,-1,-1,-1
42000031,9.2,7.0,8.2,8.0,9.25,7.75,-1,-1,-1
42000032,8.8,7.25,6.8,-1,-1,-1,5.25,6.75,9.25
42000033,7.6,6.5,9.0,6.25,6.25,5.25,-1,-1,-1
42000034,7.6,5.75,8.0,-1,-1,-1,6.5,6.75,6.75
42000035,7.8,6.25,8.8,7.0,6.25,6.75,-1,-1,-1
42000036,8.0,7.0,9.0,7.75,7.75,8.0,-1,-1,-1
42000037,7.8,6.25,7.2,-1,-1,-1,4.75,7.5,8.75
42000038,8.6,7.25,9.6,8.75,7.0,5.5,-1,-1,-1
42000039,6.6,6.0,5.8,-1,-1,-1,3.75,6.25,9.5
42000040,8.0,7.5,8.8,8.5,9.5,6.75,-1,-1,-1
42000041,6.6,7.0,6.2,-1,-1,-1,4.75,7.5,9.0
42000042,7.4,6.75,8.2,-1,-1,-1,3.75,6.5,8.75
42000043,8.4,7.75,8.8,5.75,7.75,6.75,-1,-1,-1
42000044,6.6,7.0,6.8,-1,-1,-1,5.75,7.75,9.5
42000045,8.4,6.75,9.4,7.0,5.75,5.5,-1,-1,-1
42000046,7.6,6.25,9.2,7.0,6.5,5.5,-1,-1,-1
42000047,7.6,7.25,8.4,-1,-1,-1,3.25,7.5,8.25
42000048,8.4,7.0,8.6,8.5,8.75,7.75,-1,-1,-1
42000049,6.8,6.75,7.2,-1,-1,-1,1.75,6.25,8.75
42000050,7.4,8.25,8.2,4.75,5.75,3.25,-1,-1,-1
42000051,7.6,6.75,7.6,6.0,7.25,4.75,-1,-1,-1
42000052,8.2,7.0,9.0,-1,-1,-1,6.0,7.25,9.5
42000053,8.6,5.75,3.8,7.5,6.75,4.5,-1,-1,-1
42000054,5.4,6.25,8.8,-1,-1,-1,6.0,6.5,9.0
42000055,8.0,6.5,6.0,8.0,7.0,6.0,-1,-1,-1
42000056,7.6,6.5,8.2,6.5,8.0,5.75,-1,-1,-1
42000057,8.4,7.5,8.2,7.25,8.0,6.5,-1,-1,-1
42000058,6.8,8.25,5.4,-1,-1,-1,4.75,7.0,9.5
42000059,6.0,4.5,3.0,-1,-1,-1,4.5,6.25,8.0
42000060,8.4,6.5,7.8,7.75,9.0,5.5,-1,-1,-1
42000061,7.6,6.25,9.8,-1,-1,-1,8.5,8.0,8.75
42000062,8.0,6.5,8.0,7.75,7.5,5.75,-1,-1,-1
42000063,7.0,7.5,-1,-1,-1,-1,6.75,8.75,9.75
42000064,7.0,7.0,3.2,-1,-1,-1,1.75,6.5,9.25
42000065,6.8,6.5,6.8,6.0,8.0,4.5,-1,-1,-1
42000066,8.2,5.75,7.4,7.5,7.25,5.25,-1,-1,-1
42000067,8.8,5.75,7.8,7.25,8.25,6.25,-1,-1,-1
42000068,8.2,6.75,8.2,7.75,8.0,5.75,-1,-1,-1
42000069,7.4,7.0,6.8,5.5,7.5,7.75,-1,-1,-1
42000070,6.4,6.0,4.6,-1,-1,-1,2.25,5.5,7.5
42000071,4.6,5.0,2.8,-1,-1,-1,5.25,7.75,9.0
42000072,7.8,7.0,7.0,6.5,6.5,5.5,-1,-1,-1
42000073,8.2,6.0,8.2,8.25,7.25,5.5,-1,-1,-1
42000074,8.0,6.5,8.8,7.75,7.25,7.25,-1,-1,-1
