SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
43000001,5.8,7.5,4.4,-1,-1,-1,5.0,7.75,9.0
43000002,6.2,6.0,5.4,-1,-1,-1,6.25,5.75,6.75
43000003,6.8,5.5,7.4,-1,-1,-1,5.25,7.5,9.25
43000004,4.2,7.25,4.8,-1,-1,-1,6.0,7.75,8.0
43000005,6.4,7.25,6.4,-1,-1,-1,6.25,8.5,9.75
43000006,8.4,8.25,9.4,6.25,6.5,6.25,-1,-1,-1
43000007,8.0,5.5,7.2,-1,-1,-1,4.0,6.0,8.25
43000008,7.4,8.0,4.6,7.25,6.75,7.0,-1,-1,-1
43000009,7.2,5.5,4.6,6.5,8.0,6.0,-1,-1,-1
43000010,3.6,6.75,4.2,-1,-1,-1,5.0,6.25,7.5
43000011,8.2,6.0,4.8,5.75,6.75,5.5,-1,-1,-1
43000012,8.0,6.0,6.6,7.0,6.0,4.25,-1,-1,-1
43000013,7.6,6.75,6.6,-1,-1,-1,8.0,8.0,9.75
43000014,6.6,7.25,5.6,-1,-1,-1,3.5,8.0,8.75
43000015,6.2,7.0,8.8,-1,-1,-1,4.0,6.5,9.5
43000016,5.4,7.0,5.6,-1,-1,-1,6.75,8.0,9.0
43000017,7.0,7.75,6.4,-1,-1,-1,3.0,6.0,7.0
43000018,7.8,7.0,7.6,6.0,4.75,8.25,-1,-1,-1
43000019,6.4,6.0,8.0,-1,-1,-1,6.25,7.25,9.5
43000020,4.0,4.5,3.4,-1,-1,-1,3.5,5.25,7.0
43000021,7.8,5.25,6.6,6.25,8.25,6.5,-1,-1,-1
43000022,7.4,7.5,7.6,-1,-1,-1,9.25,8.75,8.75
43000023,7.4,7.25,6.2,-1,-1,-1,5.25,7.25,9.0
43000024,8.8,4.75,8.2,5.5,7.0,7.5,-1,-1,-1
43000025,6.6,6.75,5.4,4.0,2.25,4.5,-1,-1,-1
43000026,7.6,6.0,4.2,-1,-1,-1,5.25,7.25,9.75
43000027,8.2,5.25,5.2,6.25,7.25,3.5,-1,-1,-1
43000028,8.6,5.25,9.6,6.75,7.0,6.5,-1,-1,-1
43000029,8.2,7.0,7.8,-1,-1,-1,6.75,7.75,9.25
43000030,8.6,5.5,6.8,6.5,5.5,5.5,-1,-1,-1
43000031,7.6,5.75,8.6,5.5,3.0,6.25,-1,-1,-1
43000032,6.4,5.5,5.4,-1,-1,-1,7.5,8.0,9.0
43000033,8.0,6.75,5.2,6.0,7.25,6.5,-1,-1,-1
43000034,5.8,4.25,6.0,-1,-1,-1,5.75,7.0,7.75
43000035,7.0,6.5,8.0,-1,-1,-1,7.5,7.5,9.25
43000036,5.2,6.25,3.6,-1,-1,-1,4.25,6.25,8.5
43000037,7.4,6.75,5.4,-1,-1,-1,4.75,7.0,7.25
43000038,8.0,9.25,9.4,6.5,5.5,5.5,-1,-1,-1
43000039,5.4,7.0,7.8,-1,-1,-1,4.75,7.25,9.75
43000040,6.4,6.0,4.0,-1,-1,-1,6.0,7.75,8.0
43000041,6.0,6.0,4.2,-1,-1,-1,4.75,7.75,8.5
43000042,6.4,6.5,5.6,-1,-1,-1,6.0,7.0,9.75
43000043,6.0,7.0,4.8,-1,-1,-1,7.5,6.75,9.0
43000044,8.0,5.75,5.8,-1,-1,-1,4.75,7.5,9.25
43000045,9.0,8.75,6.6,6.5,8.0,8.25,-1,-1,-1
43000046,6.8,6.25,7.4,-1,-1,-1,4.75,8.5,9.25
43000047,7.4,7.25,4.4,7.0,6.75,5.75,-1,-1,-1
43000048,7.6,6.0,4.2,6.0,6.25,5.5,-1,-1,-1
43000049,7.8,8.75,10.0,7.75,7.75,7.0,-1,-1,-1
