SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
44000001,5.4,7.75,6.0,-1,-1,-1,5.75,7.75,9.5
44000002,3.0,6.5,4.6,-1,-1,-1,2.0,7.25,7.5
44000003,7.4,6.75,7.4,-1,-1,-1,2.5,6.0,7.0
44000004,9.0,6.75,7.8,8.75,8.5,7.0,-1,-1,-1
44000005,7.8,7.75,9.0,-1,-1,-1,6.25,7.5,8.25
44000006,7.4,6.5,-1,-1,-1,-1,8.0,8.75,-1
44000007,9.2,7.25,8.8,9.0,9.25,6.75,-1,-1,-1
44000008,7.8,7.75,9.0,-1,-1,-1,4.5,7.75,6.75
44000009,8.2,7.25,7.0,4.0,7.25,6.0,-1,-1,-1
44000010,8.0,6.25,8.6,7.75,6.5,7.75,-1,-1,-1
44000011,7.2,7.0,9.2,-1,-1,-1,5.25,7.25,9.25
44000012,6.4,6.5,9.6,4.5,5.5,4.5,-1,-1,-1
44000014,8.0,7.5,8.6,7.5,7.5,7.25,-1,-1,-1
44000015,8.6,8.25,9.0,-1,-1,-1,8.25,-1,-1
44000016,8.6,7.25,9.2,8.5,8.0,7.25,-1,-1,-1
44000017,6.2,6.25,-1,-1,-1,-1,4.75,7.0,-1
44000018,6.8,6.75,3.8,-1,-1,-1,4.25,7.75,8.75
44000019,9.0,7.75,8.4,7.5,7.75,7.75,-1,-1,-1
44000021,5.0,6.0,8.6,-1,-1,-1,6.0,7.5,7.75
44000022,8.0,7.5,8.8,5.75,7.75,7.75,-1,-1,-1
44000023,8.2,7.75,8.2,7.75,8.5,8.5,-1,-1,-1
44000024,8.2,7.0,8.8,5.5,8.75,5.25,-1,-1,-1
44000025,7.6,6.5,-1,-1,-1,-1,4.75,6.5,-1
44000026,7.8,8.5,8.4,-1,-1,-1,8.0,8.5,9.0
44000027,9.0,8.5,9.6,8.0,6.75,5.25,-1,-1,-1
44000028,9.0,8.5,9.6,-1,-1,-1,7.0,8.0,9.25
44000029,8.4,8.0,9.6,6.5,7.0,5.75,-1,-1,-1
44000030,6.6,7.75,6.4,-1,-1,-1,7.5,8.25,9.75
44000031,8.0,7.25,8.2,-1,-1,-1,7.25,9.0,9.5
44000032,7.4,7.25,6.4,6.5,5.5,4.75,-1,-1,-1
44000033,7.6,9.0,8.6,6.25,7.75,6.75,-1,-1,-1
44000034,7.4,7.5,7.6,5.5,6.75,6.5,-1,-1,-1
44000035,6.6,6.75,4.2,4.75,7.0,4.0,-1,-1,-1
44000036,7.0,6.75,7.2,6.5,7.25,7.75,-1,-1,-1
44000037,8.0,6.25,6.6,7.5,7.0,3.5,-1,-1,-1
44000038,8.8,6.75,8.6,8.0,6.5,6.75,-1,-1,-1
44000039,6.8,5.5,9.8,-1,-1,-1,-1,-1,-1
44000040,5.2,7.0,6.6,-1,-1,-1,6.75,8.0,9.75
44000041,8.6,7.5,5.4,8.0,8.0,6.0,-1,-1,-1
44000042,7.4,8.25,8.4,-1,-1,-1,9.0,9.25,10.0
44000043,8.8,7.75,9.6,8.25,8.0,7.75,-1,-1,-1
44000044,8.2,7.75,9.4,8.0,6.25,6.5,-1,-1,-1
44000045,6.8,8.0,6.6,4.25,4.5,5.0,-1,-1,-1
44000046,4.4,6.5,-1,-1,-1,-1,6.75,8.5,-1
44000047,7.0,3.5,7.2,-1,-1,-1,4.25,6.5,8.5
44000049,8.8,8.0,9.4,8.0,8.5,6.5,-1,-1,-1
44000050,7.8,7.25,9.0,-1,-1,-1,9.0,8.25,8.25
44000051,8.6,8.25,9.6,8.0,6.25,6.75,-1,-1,-1
44000052,8.8,7.5,9.0,8.0,9.0,5.5,-1,-1,-1
44000053,8.8,7.5,9.2,8.75,9.5,7.5,-1,-1,-1
44000054,8.2,7.0,-1,-1,-1,-1,8.75,8.75,-1
44000055,9.0,7.25,9.8,8.75,7.25,7.75,-1,-1,-1
44000056,8.4,7.0,8.6,7.75,9.25,8.0,-1,-1,-1
44000057,6.4,6.25,5.4,-1,-1,-1,3.75,6.25,7.25
44000058,6.2,7.0,8.6,-1,-1,-1,5.75,7.75,9.25
