SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
45000001,4.0,5.25,2.2,-1,-1,-1,5.25,5.75,7.5
45000002,6.0,7.0,4.2,6.25,5.75,7.0,-1,-1,-1
45000003,4.8,4.0,3.8,-1,-1,-1,4.75,5.75,7.75
45000004,6.2,6.0,4.8,-1,-1,-1,5.0,6.0,9.0
45000005,6.8,7.25,3.2,-1,-1,-1,6.25,9.0,9.25
45000006,7.0,4.5,2.8,-1,-1,-1,2.75,6.25,7.25
45000007,6.4,3.75,2.4,-1,-1,-1,2.75,7.0,7.5
45000008,7.4,7.0,4.6,4.5,4.75,8.25,-1,-1,-1
45000009,6.6,6.5,5.4,-1,-1,-1,4.25,6.75,6.5
45000010,6.6,6.0,5.0,-1,-1,-1,8.25,7.25,9.25
45000011,5.8,6.5,4.4,-1,-1,-1,5.75,7.75,9.0
45000012,5.0,6.25,3.4,-1,-1,-1,3.0,7.0,7.5
45000013,5.4,3.5,4.6,-1,-1,-1,4.5,6.0,7.5
45000014,5.2,3.0,3.2,-1,-1,-1,4.25,5.5,7.75
45000015,6.2,6.25,4.8,-1,-1,-1,5.0,6.5,9.0
45000016,6.2,5.0,3.8,-1,-1,-1,4.5,6.25,5.75
45000017,6.8,6.25,7.0,-1,-1,-1,5.25,5.75,9.75
45000018,4.6,4.0,3.8,-1,-1,-1,3.0,7.0,7.5
45000019,3.4,5.5,4.0,-1,-1,-1,3.5,3.25,6.25
45000020,6.0,6.5,4.4,-1,-1,-1,6.75,7.75,10.0
45000021,4.8,5.75,3.6,-1,-1,-1,5.0,6.75,8.25
45000022,5.0,6.75,3.8,-1,-1,-1,5.25,6.5,8.75
45000023,5.8,6.5,4.8,-1,-1,-1,4.0,7.25,9.5
45000024,3.8,1.5,2.0,-1,-1,-1,3.5,6.25,4.5
45000025,7.4,6.75,4.4,5.75,5.25,8.0,-1,-1,-1
45000026,3.0,3.5,3.2,-1,-1,-1,4.0,6.0,4.5
45000027,6.2,5.75,4.6,-1,-1,-1,2.75,7.0,7.0
45000028,5.2,6.0,2.8,-1,-1,-1,3.25,5.75,7.25
45000029,5.8,3.0,3.8,-1,-1,-1,2.5,6.5,8.25
45000030,7.2,8.0,5.6,-1,-1,-1,4.75,7.25,9.75
45000031,5.0,7.0,4.0,-1,-1,-1,5.25,7.75,9.5
45000032,6.6,3.5,3.2,-1,-1,-1,3.25,4.75,5.0
45000033,5.6,5.5,4.4,-1,-1,-1,3.25,5.75,6.5
45000034,6.8,6.0,3.2,3.75,4.25,7.25,-1,-1,-1
45000035,4.2,4.5,2.6,-1,-1,-1,3.0,5.75,6.5
45000037,5.4,6.75,3.6,-1,-1,-1,3.75,4.75,7.5
45000038,6.6,7.5,5.4,-1,-1,-1,2.75,6.75,8.25
45000039,6.4,4.75,4.8,-1,-1,-1,4.75,7.75,7.25
45000040,7.6,7.0,5.4,7.0,6.25,8.0,-1,-1,-1
45000041,5.8,6.5,4.2,-1,-1,-1,3.0,7.5,10.0
45000042,5.0,5.0,3.8,-1,-1,-1,2.75,6.0,6.5
45000043,7.2,5.0,4.0,-1,-1,-1,7.25,6.75,8.75
45000044,6.0,7.5,4.6,-1,-1,-1,3.75,8.0,8.5
45000045,7.0,4.25,2.2,-1,-1,-1,3.5,6.75,5.5
