SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
46000001,8.2,7.75,8.6,-1,-1,-1,7.5,7.75,9.75
46000002,5.2,5.75,-1,-1,-1,-1,3.5,6.75,-1
46000003,7.8,7.5,6.6,7.5,8.0,2.5,-1,-1,-1
46000004,8.4,6.25,6.8,-1,-1,-1,8.0,9.25,9.75
46000005,8.0,7.0,7.2,-1,-1,-1,4.5,7.75,8.25
46000006,7.8,7.75,6.4,7.5,7.0,7.0,-1,-1,-1
46000007,7.8,7.5,9.8,-1,-1,-1,6.25,6.25,8.5
46000008,8.0,6.5,9.0,6.0,7.0,5.5,-1,-1,-1
46000009,8.6,7.25,6.4,8.0,8.75,7.0,-1,-1,-1
46000010,7.8,7.0,5.0,7.5,7.75,6.25,-1,-1,-1
46000011,8.2,6.75,9.6,7.75,6.25,6.25,-1,-1,-1
46000012,6.2,4.0,-1,-1,-1,-1,5.75,7.25,-1
46000013,6.4,6.75,9.2,-1,-1,-1,8.0,8.25,9.75
46000014,6.4,7.75,4.8,-1,-1,-1,4.75,7.25,9.0
46000015,3.2,-1,4.6,-1,-1,-1,5.0,-1,-1
46000016,3.4,5.5,4.0,-1,-1,-1,3.0,4.5,6.5
46000017,7.0,7.75,6.6,-1,-1,-1,3.25,7.75,9.0
46000018,8.8,6.25,6.8,5.25,8.5,8.75,-1,-1,-1
46000019,8.4,7.25,8.2,5.75,8.0,7.5,-1,-1,-1
46000020,7.0,7.5,9.0,-1,-1,-1,6.75,7.25,7.75
46000021,5.2,6.75,7.0,-1,-1,-1,7.75,7.0,8.75
46000022,5.8,6.25,-1,-1,-1,-1,7.0,8.75,-1
46000023,8.6,8.75,9.2,-1,-1,-1,5.5,8.0,9.0
46000024,9.0,7.0,8.0,5.0,5.75,5.0,-1,-1,-1
46000025,8.0,6.0,9.8,5.5,4.25,5.25,-1,-1,-1
46000026,6.0,6.75,3.6,-1,-1,-1,5.0,8.0,9.25
46000027,8.8,7.75,9.2,7.0,6.0,5.75,-1,-1,-1
46000028,3.0,5.5,-1,-1,-1,-1,3.0,5.75,-1
46000029,9.0,7.5,8.6,8.75,7.5,8.75,-1,-1,-1
46000030,8.4,8.5,9.8,8.5,7.25,7.75,-1,-1,-1
46000031,6.0,4.25,8.6,-1,-1,-1,5.0,7.5,9.0
46000032,6.6,8.0,6.2,-1,-1,-1,8.75,9.0,8.75
46000033,6.6,5.75,7.2,-1,-1,-1,6.75,7.25,9.75
46000034,6.0,3.75,4.0,4.25,4.5,3.25,-1,-1,-1
46000035,7.4,7.5,7.6,-1,-1,-1,5.75,7.25,9.5
46000036,6.6,6.5,2.2,-1,-1,-1,3.75,7.5,8.5
46000037,6.6,6.5,4.4,-1,-1,-1,4.25,7.0,9.0
46000038,7.6,8.0,7.2,-1,-1,-1,7.0,8.5,9.75
46000039,7.0,7.0,3.6,5.25,4.75,5.75,-1,-1,-1
46000040,6.2,7.0,4.2,-1,-1,-1,5.25,7.0,9.5
46000041,6.8,6.5,3.8,-1,-1,-1,2.75,5.5,8.75
46000042,6.4,8.25,7.8,3.25,5.75,5.0,-1,-1,-1
46000043,6.8,7.5,7.6,-1,-1,-1,6.25,8.5,9.75
46000044,6.4,8.25,6.4,-1,-1,-1,6.25,8.0,8.25
46000045,4.0,7.75,3.4,-1,-1,-1,4.5,8.0,9.0
46000046,6.6,-1,-1,5.5,4.75,-1,-1,-1,-1
46000047,6.2,6.5,3.6,-1,-1,-1,3.5,8.0,7.0
46000048,7.0,8.0,7.2,-1,-1,-1,6.25,8.5,10.0
46000049,6.0,6.25,4.2,-1,-1,-1,3.25,6.75,8.0
46000050,7.4,6.75,3.6,-1,-1,-1,3.5,7.75,9.0
46000051,6.0,7.75,3.6,-1,-1,-1,5.25,6.5,9.75
46000052,5.6,7.75,6.0,-1,-1,-1,6.25,8.25,9.75
46000053,8.8,7.75,9.4,6.5,8.5,8.25,-1,-1,-1
46000054,9.2,7.75,-1,6.0,8.75,9.5,-1,-1,-1
46000055,6.2,7.25,2.8,3.5,3.25,5.0,-1,-1,-1
46000056,5.4,7.0,-1,-1,-1,-1,6.25,8.0,-1
46000057,7.8,8.25,9.2,-1,-1,-1,6.0,7.75,8.75
46000058,7.4,6.5,8.4,5.75,6.75,7.5,-1,-1,-1
46000059,6.4,8.0,9.0,-1,-1,-1,6.5,7.0,8.75
46000060,7.8,8.25,9.0,-1,-1,-1,7.25,6.75,8.0
46000061,8.0,7.75,8.8,7.25,7.5,6.75,-1,-1,-1
46000062,6.6,7.25,4.2,4.75,4.5,4.25,-1,-1,-1
46000063,7.6,7.75,6.0,7.0,6.75,7.25,-1,-1,-1
46000064,7.2,5.75,9.0,8.0,6.0,4.5,-1,-1,-1
46000065,7.0,6.0,3.2,6.25,6.5,5.25,-1,-1,-1
46000066,7.6,7.25,8.2,5.0,5.25,3.75,-1,-1,-1
46000067,7.4,7.5,6.0,7.0,8.0,5.5,-1,-1,-1
46000068,4.0,3.25,-1,-1,-1,-1,3.5,5.75,-1
46000069,5.2,7.25,2.6,7.0,3.5,3.75,-1,-1,-1
46000070,8.8,5.25,6.8,7.25,4.75,5.0,-1,-1,-1
46000071,7.4,8.5,7.0,-1,-1,-1,5.75,7.75,7.75
46000072,6.0,6.0,4.8,-1,-1,-1,5.0,6.5,8.0
46000073,7.0,6.0,4.4,6.5,4.25,4.5,-1,-1,-1
46000074,8.0,8.5,8.4,-1,-1,-1,6.25,7.5,9.75
46000075,4.6,5.0,2.2,-1,-1,-1,6.25,7.5,8.75
46000076,8.6,6.75,9.0,8.75,6.75,6.5,-1,-1,-1
46000077,8.8,7.5,9.0,8.25,7.0,6.5,-1,-1,-1
46000078,6.8,7.0,4.2,6.0,6.5,3.75,-1,-1,-1
46000079,8.6,6.0,8.6,8.25,7.75,7.25,-1,-1,-1
46000080,4.8,6.75,2.4,-1,-1,-1,4.0,6.75,7.75
46000081,7.8,7.75,6.4,7.5,7.0,7.25,-1,-1,-1
46000082,5.6,6.5,5.2,-1,-1,-1,2.5,6.5,8.75
46000083,8.0,7.5,9.2,8.5,7.25,5.75,-1,-1,-1
46000084,8.6,5.75,7.6,4.5,8.0,9.25,-1,-1,-1
46000085,6.4,8.25,4.8,6.0,5.5,3.75,-1,-1,-1
46000086,4.2,6.75,-1,-1,-1,-1,5.0,5.75,-1
46000087,3.8,4.0,3.6,-1,-1,-1,4.0,6.25,8.0
46000088,6.8,7.5,7.2,-1,-1,-1,7.0,8.25,9.5
46000089,4.8,7.75,4.2,-1,-1,-1,4.75,6.5,7.75
46000090,9.0,6.0,6.2,8.25,8.75,3.25,-1,-1,-1
46000091,6.8,6.0,7.4,7.0,5.5,5.0,-1,-1,-1
46000092,7.2,7.0,7.4,5.75,6.25,5.25,-1,-1,-1
46000093,8.0,7.75,7.0,-1,-1,-1,6.25,8.25,9.25
46000094,6.0,7.5,3.8,-1,-1,-1,5.75,6.5,9.25
46000095,3.6,5.25,3.6,-1,-1,-1,3.75,4.5,6.5
46000096,6.4,6.5,3.8,-1,-1,-1,2.75,6.75,7.5
46000097,8.6,7.75,7.4,7.0,8.25,7.75,-1,-1,-1
46000098,6.0,7.25,7.2,-1,-1,-1,5.0,8.5,10.0
46000099,8.4,6.25,5.6,-1,-1,-1,8.0,8.75,10.0
46000100,-1,-1,-1,-1,-1,-1,6.75,5.25,-1
46000101,9.2,6.0,7.8,8.0,9.5,4.75,-1,-1,-1
46000102,6.4,7.0,8.8,-1,-1,-1,5.0,8.0,9.0
46000103,8.8,6.0,6.2,7.0,8.5,5.25,-1,-1,-1
46000104,4.6,8.25,4.2,-1,-1,-1,6.5,8.25,8.75
46000105,5.8,7.0,7.0,-1,-1,-1,7.5,7.75,9.5
46000106,6.2,6.25,5.6,-1,-1,-1,5.25,8.25,8.5
46000107,7.2,8.0,4.2,5.75,4.0,5.75,-1,-1,-1
46000108,2.0,3.75,-1,-1,-1,-1,4.0,5.0,-1
46000109,8.4,6.5,7.2,8.5,8.25,5.75,-1,-1,-1
46000110,8.4,7.0,6.2,-1,-1,-1,6.0,7.25,9.75
46000111,6.4,5.5,4.0,-1,-1,-1,6.0,6.0,8.25
46000112,7.4,5.75,-1,-1,-1,-1,7.0,8.25,-1
46000113,6.6,7.0,5.4,6.0,6.0,4.25,-1,-1,-1
46000114,5.6,6.0,3.6,-1,-1,-1,6.25,7.5,8.25
46000115,7.2,-1,-1,5.75,7.0,-1,-1,-1,-1
46000116,2.4,0.5,-1,-1,-1,-1,2.25,2.75,-1
46000117,9.0,8.0,9.0,-1,-1,-1,9.0,8.25,8.5
46000118,7.8,7.25,7.8,-1,-1,-1,7.5,8.0,8.25
46000119,5.0,5.75,6.6,-1,-1,-1,8.5,8.5,9.25
46000120,8.8,6.5,8.4,7.0,3.5,5.0,-1,-1,-1
46000121,6.4,5.75,2.0,-1,-1,-1,5.5,7.5,9.0
46000122,-1,5.5,-1,-1,-1,-1,2.75,6.0,-1
46000123,7.8,6.0,5.2,-1,-1,-1,7.0,8.5,8.5
46000124,7.4,7.25,4.2,-1,-1,-1,6.25,7.25,8.0
46000125,7.4,7.5,8.2,6.25,7.5,7.5,-1,-1,-1
46000126,7.0,7.0,3.6,5.25,4.25,4.5,-1,-1,-1
46000127,5.8,8.25,7.2,-1,-1,-1,5.25,7.75,9.25
46000128,-1,8.5,-1,-1,-1,-1,7.5,7.25,-1
46000129,9.0,7.25,6.4,8.25,7.25,5.0,-1,-1,-1
46000130,7.6,8.5,8.6,-1,-1,-1,9.25,8.5,9.75
46000131,8.2,7.75,8.0,-1,-1,-1,4.0,6.0,8.5
46000132,7.2,7.25,3.0,-1,-1,-1,3.25,6.5,8.5
46000133,6.0,6.25,3.8,-1,-1,-1,5.75,6.75,7.75
46000134,8.8,7.25,5.6,5.5,8.25,8.25,-1,-1,-1
46000135,7.8,-1,4.4,7.25,-1,-1,-1,-1,-1
46000136,8.4,8.5,7.2,-1,-1,-1,6.75,7.0,8.25
46000137,5.4,6.5,2.8,-1,-1,-1,5.25,7.25,7.0
46000138,5.8,6.25,8.4,6.0,4.25,6.0,-1,-1,-1
46000139,6.2,7.25,6.0,-1,-1,-1,6.0,8.0,9.25
46000140,4.2,7.5,4.4,-1,-1,-1,5.5,9.25,8.0
46000141,5.2,4.75,3.4,-1,-1,-1,3.75,7.0,8.25
46000142,7.6,7.75,9.6,-1,-1,-1,8.0,9.0,9.5
46000143,9.6,6.5,9.6,7.5,9.0,9.5,-1,-1,-1
46000144,6.4,7.75,3.2,5.0,4.0,4.0,-1,-1,-1
46000145,7.6,7.75,9.2,-1,-1,-1,5.0,7.25,9.5
46000146,8.4,7.75,8.8,-1,-1,-1,7.0,8.25,10.0
46000147,6.8,6.25,4.2,-1,-1,-1,4.75,6.25,8.0
