SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
47000001,6.6,8.25,6.8,-1,-1,-1,8.5,7.75,9.25
47000002,5.2,6.0,7.2,-1,-1,-1,7.0,8.0,8.25
47000003,8.4,7.25,9.0,7.0,6.5,4.75,-1,-1,-1
47000004,6.4,7.25,7.0,-1,-1,-1,4.5,6.5,9.0
47000005,6.6,7.5,8.6,5.75,4.5,4.5,-1,-1,-1
47000006,7.6,7.25,6.4,8.0,7.5,5.0,-1,-1,-1
47000007,8.2,8.25,9.2,-1,-1,-1,8.25,9.0,8.25
47000008,7.0,5.25,8.0,6.25,5.75,4.25,-1,-1,-1
47000009,7.2,7.25,6.6,4.5,6.75,6.75,-1,-1,-1
47000010,3.8,4.0,-1,-1,-1,-1,3.0,6.0,-1
47000011,7.8,6.75,9.2,8.25,6.5,5.0,-1,-1,-1
47000012,8.6,6.25,8.0,8.0,7.5,7.5,-1,-1,-1
47000013,7.8,7.0,8.2,6.25,6.75,8.5,-1,-1,-1
47000014,9.0,4.75,7.4,5.5,8.5,8.75,-1,-1,-1
47000015,5.6,6.5,7.4,-1,-1,-1,3.25,7.5,7.25
47000016,6.2,6.0,7.6,-1,-1,-1,4.0,6.25,7.25
47000017,8.0,5.5,8.2,6.75,7.75,5.75,-1,-1,-1
47000018,9.4,7.75,9.6,8.75,5.75,6.75,-1,-1,-1
47000019,8.0,6.5,8.6,-1,-1,-1,6.0,7.75,8.5
47000020,6.2,6.5,3.2,5.25,3.5,6.0,-1,-1,-1
47000021,6.0,6.5,5.0,-1,-1,-1,4.25,5.0,7.75
47000022,7.6,6.5,8.0,-1,-1,-1,8.0,8.25,9.25
47000023,9.2,7.75,7.8,7.5,8.75,6.25,-1,-1,-1
47000024,7.8,9.0,9.6,-1,-1,-1,5.5,7.5,9.75
47000025,7.0,6.25,9.6,7.75,7.25,5.5,-1,-1,-1
47000026,7.8,7.75,4.8,-1,-1,-1,6.75,8.25,7.75
47000027,6.6,8.0,8.2,-1,-1,-1,5.5,7.25,8.75
47000028,8.2,6.75,8.8,7.5,7.5,7.25,-1,-1,-1
47000029,7.0,5.25,6.8,6.75,3.25,6.0,-1,-1,-1
47000030,7.6,7.25,9.0,-1,-1,-1,6.5,7.75,8.75
47000031,7.4,4.75,5.4,6.25,7.75,4.0,-1,-1,-1
47000032,6.6,6.58,5.8,-1,-1,-1,3.0,7.0,7.0
47000033,6.6,7.75,8.8,-1,-1,-1,6.75,8.25,8.25
47000034,5.8,7.25,8.8,-1,-1,-1,6.25,6.5,9.5
47000035,8.0,8.0,8.4,-1,-1,-1,4.25,7.75,8.25
47000036,7.8,7.25,8.2,6.0,6.0,6.0,-1,-1,-1
47000037,8.2,7.25,9.8,-1,-1,-1,7.25,8.0,9.5
47000038,2.0,4.25,-1,-1,-1,-1,3.25,6.0,-1
47000039,7.6,6.25,7.2,-1,-1,-1,4.25,7.25,8.5
