SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
48000001,8.8,8.75,9.0,6.25,7.75,6.0,-1,-1,-1
48000002,6.6,7.75,9.6,-1,-1,-1,8.75,8.75,9.25
48000003,6.4,6.0,7.8,6.0,3.75,3.75,-1,-1,-1
48000004,8.8,6.75,9.0,7.0,6.5,6.5,-1,-1,-1
48000005,8.4,8.0,9.8,-1,-1,-1,5.0,7.0,8.75
48000006,8.4,5.75,10.0,7.0,4.0,5.25,-1,-1,-1
48000007,8.0,6.75,8.4,6.75,8.0,8.5,-1,-1,-1
48000008,9.0,5.75,9.6,7.75,5.25,5.75,-1,-1,-1
48000009,8.4,9.0,9.8,-1,-1,-1,6.5,8.25,8.75
48000010,8.8,8.0,9.4,-1,-1,-1,8.25,8.0,9.75
48000011,8.0,8.0,7.4,-1,-1,-1,3.25,6.75,7.75
48000012,7.6,4.25,6.4,4.75,6.75,7.5,-1,-1,-1
48000013,8.4,6.75,8.8,7.75,5.0,5.5,-1,-1,-1
48000014,7.2,7.75,9.0,-1,-1,-1,7.25,7.25,9.25
48000015,8.6,6.25,9.6,8.25,5.75,6.0,-1,-1,-1
48000016,8.4,7.75,-1,5.75,7.25,5.5,-1,-1,-1
48000017,8.2,8.0,9.2,-1,-1,-1,4.75,6.0,7.25
48000018,8.4,7.75,9.8,6.75,5.75,7.5,-1,-1,-1
48000019,7.2,7.0,9.0,-1,-1,-1,3.75,6.25,7.25
48000020,8.0,8.75,9.4,-1,-1,-1,9.0,8.75,6.25
48000021,8.6,8.0,8.2,5.75,5.75,5.75,-1,-1,-1
48000022,8.0,7.75,9.2,-1,-1,-1,5.75,8.0,8.25
48000023,8.2,6.75,9.0,5.75,8.5,9.0,-1,-1,-1
48000024,8.8,6.25,9.6,7.75,8.75,7.25,-1,-1,-1
48000025,8.6,7.0,9.2,8.75,6.0,7.0,-1,-1,-1
48000026,7.0,8.25,9.4,-1,-1,-1,9.0,8.5,7.5
48000027,9.0,6.5,9.4,8.0,7.0,5.75,-1,-1,-1
48000028,7.0,6.5,9.0,-1,-1,-1,3.5,5.75,7.0
48000029,9.0,5.75,8.6,8.75,7.75,7.5,-1,-1,-1
48000030,9.0,7.5,8.8,-1,-1,-1,4.0,8.0,8.75
48000031,8.4,6.0,8.6,7.75,5.75,5.25,-1,-1,-1
48000032,7.8,6.75,5.0,7.0,7.0,5.75,-1,-1,-1
48000033,6.8,7.75,9.2,-1,-1,-1,9.0,9.75,9.25
48000034,8.2,7.5,8.4,3.5,8.75,8.5,-1,-1,-1
48000035,7.6,7.0,9.0,-1,-1,-1,10.0,9.75,9.75
48000036,7.8,5.75,9.2,8.5,4.75,5.25,-1,-1,-1
48000037,7.0,5.0,7.4,6.0,1.75,3.0,-1,-1,-1
48000038,8.6,-1,-1,-1,8.5,7.75,-1,-1,-1
48000039,8.6,6.5,9.6,7.25,4.0,5.25,-1,-1,-1
48000040,8.4,4.75,9.2,6.5,5.5,6.25,-1,-1,-1
48000041,8.6,6.5,9.6,8.25,5.75,6.75,-1,-1,-1
48000042,7.0,6.75,9.4,7.5,7.5,6.0,-1,-1,-1
48000043,8.4,4.0,8.6,8.0,8.5,5.75,-1,-1,-1
48000044,8.2,7.75,7.8,7.0,8.0,6.25,-1,-1,-1
48000045,7.0,7.75,8.8,6.5,8.0,6.75,-1,-1,-1
48000046,9.0,6.25,9.2,8.0,5.75,5.0,-1,-1,-1
48000047,8.2,7.0,8.2,8.5,7.5,3.5,-1,-1,-1
48000048,7.0,6.5,7.2,5.25,5.25,4.0,-1,-1,-1
48000049,8.6,8.0,9.0,-1,-1,-1,6.5,7.5,9.25
48000050,8.0,5.0,-1,6.5,3.25,4.0,-1,-1,-1
48000051,6.4,8.0,-1,-1,-1,-1,7.75,7.5,9.5
48000052,7.6,8.0,8.8,-1,-1,-1,5.5,6.75,8.25
48000053,8.2,9.0,9.2,8.25,7.5,8.0,-1,-1,-1
48000054,7.8,3.75,9.4,5.75,8.75,7.75,-1,-1,-1
