SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
49000001,8.8,6.5,7.8,7.25,7.75,6.75,-1,-1,-1
49000002,7.8,8.0,7.0,7.5,8.0,7.5,-1,-1,-1
49000003,6.8,7.0,5.4,5.5,6.25,5.0,-1,-1,-1
49000004,6.0,5.5,2.8,4.25,6.25,7.0,-1,-1,-1
49000005,7.0,6.83,5.0,6.0,6.25,6.75,-1,-1,-1
49000006,5.0,4.5,4.2,5.75,3.5,5.5,-1,-1,-1
49000008,5.2,4.75,3.8,-1,-1,-1,6.0,7.75,9.25
49000009,6.2,5.5,4.4,4.0,3.75,3.0,-1,-1,-1
49000010,5.6,4.0,-1,-1,-1,-1,6.0,9.0,-1
49000011,6.4,8.25,6.4,6.0,5.25,7.75,-1,-1,-1
49000012,6.6,5.5,7.4,6.5,6.75,6.0,-1,-1,-1
49000013,7.2,7.0,4.8,5.75,7.75,6.5,-1,-1,-1
49000014,4.6,8.5,4.0,-1,-1,-1,6.25,7.75,9.5
49000015,7.0,6.75,5.0,6.5,7.25,5.25,-1,-1,-1
49000016,6.4,5.75,3.8,4.0,5.25,3.5,-1,-1,-1
49000017,5.8,6.0,3.0,-1,-1,-1,3.0,5.25,7.0
49000018,7.0,8.5,6.0,6.5,6.75,4.75,-1,-1,-1
49000019,5.8,4.75,3.4,-1,-1,-1,4.25,7.5,9.25
49000020,5.8,4.0,-1,-1,-1,-1,7.25,8.0,-1
49000021,7.6,6.0,6.6,6.75,7.25,7.5,-1,-1,-1
49000022,6.0,5.0,2.6,5.0,4.5,4.0,-1,-1,-1
49000023,3.6,6.0,-1,-1,-1,-1,2.0,5.0,-1
49000024,6.0,5.17,4.4,-1,-1,-1,3.5,7.25,9.0
49000025,6.4,6.25,-1,-1,-1,-1,6.0,8.0,-1
49000026,7.6,5.25,3.8,-1,-1,-1,4.75,7.0,9.0
49000027,7.0,5.58,2.2,-1,-1,-1,3.0,7.25,8.0
49000028,6.8,6.0,4.0,-1,-1,-1,5.75,7.5,9.25
49000029,7.4,6.0,3.8,7.5,6.0,5.25,-1,-1,-1
49000030,6.2,6.5,4.8,-1,-1,-1,5.25,7.25,7.0
49000031,5.4,6.5,-1,-1,-1,-1,5.75,7.25,-1
49000032,7.8,6.0,9.8,-1,-1,-1,8.75,8.5,9.25
49000033,4.2,6.5,3.2,3.75,4.0,3.75,-1,-1,-1
49000034,5.6,7.75,2.6,6.25,7.25,4.5,-1,-1,-1
49000035,7.4,7.0,4.8,7.0,4.0,6.0,-1,-1,-1
49000036,5.8,5.5,3.8,-1,-1,-1,3.75,7.5,8.0
