SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
50002527,7.4,6.5,5.6,7.75,6.75,5.0,-1,-1,-1
50002528,6.2,4.5,5.0,-1,-1,-1,5.0,7.5,8.0
50002529,4.2,5.5,3.8,-1,-1,-1,5.25,5.75,8.0
50002530,4.4,5.0,3.4,6.25,2.25,3.75,-1,-1,-1
50002531,6.8,7.0,7.2,-1,-1,-1,4.0,7.25,9.25
50002532,5.6,7.0,3.8,-1,-1,-1,2.25,5.5,8.25
50002533,7.6,7.5,6.8,8.25,7.0,6.25,-1,-1,-1
50002534,8.2,7.25,7.0,-1,-1,-1,4.75,8.0,9.5
50002535,5.8,6.25,5.0,-1,-1,-1,6.0,6.75,8.75
50002536,6.2,7.5,5.4,-1,-1,-1,7.75,8.75,9.75
50002537,8.4,7.75,8.2,5.25,9.0,9.75,-1,-1,-1
50002538,1.8,5.5,4.4,-1,-1,-1,3.5,4.5,6.25
50002539,5.4,6.25,3.8,4.0,4.0,4.25,-1,-1,-1
50002540,7.8,7.25,5.6,7.25,8.5,4.25,-1,-1,-1
50002541,6.2,7.75,7.4,-1,-1,-1,8.25,7.25,9.5
50002542,8.2,6.75,6.0,5.0,6.25,5.0,-1,-1,-1
50002543,6.2,7.0,6.2,-1,-1,-1,5.75,6.5,6.75
50002544,6.2,7.0,6.6,-1,-1,-1,3.75,8.25,9.5
50002545,5.6,7.5,3.6,-1,-1,-1,8.5,9.25,9.0
50002546,5.6,5.0,-1,-1,-1,-1,3.75,5.0,-1
50002547,5.8,7.75,5.4,-1,-1,-1,4.0,8.25,9.0
50002548,7.8,7.5,4.4,7.25,7.75,6.25,-1,-1,-1
50002549,8.0,6.0,5.8,6.0,6.5,4.0,-1,-1,-1
50002550,7.2,6.5,7.4,6.0,5.75,6.25,-1,-1,-1
50002551,7.6,5.5,4.8,-1,-1,-1,7.5,8.0,9.0
50002552,5.4,6.5,2.4,-1,-1,-1,2.75,6.25,7.75
50002553,6.0,7.0,5.4,-1,-1,-1,3.5,6.75,8.25
50002554,4.0,6.0,3.8,-1,-1,-1,6.75,7.5,7.25
50002555,7.6,7.25,9.2,-1,-1,-1,6.5,8.0,9.0
50002556,7.6,7.5,9.2,8.25,7.75,4.5,-1,-1,-1
50002557,5.6,6.5,3.0,-1,-1,-1,5.0,6.25,7.0
50002558,6.0,5.5,4.2,6.25,5.75,5.25,-1,-1,-1
50002559,9.2,6.5,4.6,8.5,8.25,6.25,-1,-1,-1
50002560,4.4,7.25,3.8,-1,-1,-1,8.0,8.5,9.75
50002561,8.2,5.5,4.6,-1,-1,-1,5.25,8.0,9.25
50002562,6.6,6.75,5.0,6.25,3.5,4.5,-1,-1,-1
50002563,6.2,6.25,-1,-1,-1,-1,7.25,8.0,-1
50002564,8.6,6.25,4.2,8.0,8.0,3.25,-1,-1,-1
50002565,6.6,7.5,7.6,-1,-1,-1,6.0,7.0,8.75
50002566,7.2,7.0,7.6,-1,-1,-1,5.75,7.0,9.25
50002567,6.2,6.25,8.0,6.0,6.5,7.0,-1,-1,-1
