SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
51000001,7.8,8.5,9.8,-1,-1,-1,5.5,7.75,9.0
51000002,7.2,6.25,7.8,6.75,5.75,4.5,-1,-1,-1
51000003,8.2,6.0,8.8,8.25,5.25,5.75,-1,-1,-1
51000004,2.2,-1,-1,3.5,3.75,-1,-1,-1,-1
51000005,6.0,7.0,8.6,-1,-1,-1,5.25,7.0,8.75
51000006,6.8,8.25,5.4,-1,-1,-1,6.75,7.5,7.25
51000007,7.6,8.5,9.0,-1,-1,-1,5.25,7.75,9.0
51000008,7.4,8.0,7.2,7.5,7.5,3.75,-1,-1,-1
51000009,6.4,7.5,5.6,-1,-1,-1,6.25,7.25,9.25
51000010,8.2,7.0,5.2,4.5,7.0,7.5,-1,-1,-1
51000011,7.4,8.25,9.6,-1,-1,-1,5.25,7.5,7.5
51000012,6.0,8.0,5.2,-1,-1,-1,4.0,7.25,8.75
51000013,7.0,7.0,7.2,6.5,6.0,4.25,-1,-1,-1
51000014,4.8,6.0,-1,-1,-1,-1,5.0,-1,-1
51000015,6.8,7.5,8.4,5.5,7.5,5.0,-1,-1,-1
51000016,7.4,7.0,9.6,6.0,7.25,8.0,-1,-1,-1
51000017,7.4,6.5,9.4,6.75,3.75,4.75,-1,-1,-1
51000018,7.4,7.5,9.0,5.5,5.25,5.5,-1,-1,-1
51000019,8.4,8.25,9.0,7.75,3.25,5.25,-1,-1,-1
51000020,7.2,8.5,8.4,-1,-1,-1,5.0,6.5,8.75
51000021,6.2,7.25,7.6,-1,-1,-1,8.25,8.75,8.25
51000022,8.2,7.5,8.2,-1,-1,-1,5.0,7.0,8.0
51000024,7.2,6.5,7.6,5.25,5.5,6.25,-1,-1,-1
51000025,8.4,7.25,6.8,-1,-1,-1,4.25,7.75,8.5
51000026,7.8,6.75,7.4,7.75,8.0,6.0,-1,-1,-1
51000027,7.6,7.25,7.0,7.25,8.0,5.25,-1,-1,-1
51000028,9.2,7.0,8.2,8.0,7.75,7.0,-1,-1,-1
51000029,8.2,6.5,8.8,7.75,4.75,5.0,-1,-1,-1
51000030,7.6,7.0,7.0,-1,-1,-1,4.75,7.5,9.0
51000031,3.6,3.5,-1,-1,-1,-1,3.5,4.0,-1
51000032,6.8,8.0,5.0,-1,-1,-1,4.0,7.0,8.5
51000033,7.8,8.0,7.8,-1,-1,-1,6.0,7.75,8.75
51000034,7.2,7.5,9.4,6.5,8.0,5.5,-1,-1,-1
51000035,5.0,5.0,-1,-1,-1,-1,3.0,-1,-1
51000036,8.0,7.25,7.6,7.0,4.25,4.75,-1,-1,-1
51000037,9.0,7.5,8.8,8.75,8.25,5.5,-1,-1,-1
51000038,7.4,6.5,7.4,7.25,7.5,6.0,-1,-1,-1
51000039,6.2,6.25,-1,-1,-1,-1,5.0,6.75,-1
51000040,7.6,5.75,9.4,6.5,8.0,5.5,-1,-1,-1
51000041,7.8,5.5,8.6,6.25,6.25,5.0,-1,-1,-1
51000042,4.2,4.0,-1,-1,-1,-1,4.5,5.25,-1
51000043,3.2,4.25,3.4,-1,-1,-1,4.5,6.25,5.75
51000044,9.2,7.25,9.2,5.25,6.75,5.75,-1,-1,-1
51000045,6.6,8.25,8.0,-1,-1,-1,5.5,6.75,7.75
51000046,3.6,5.25,-1,-1,-1,-1,6.25,-1,-1
51000047,7.0,8.0,9.2,-1,-1,-1,6.0,8.75,9.75
51000048,8.4,7.5,8.6,7.5,7.75,4.75,-1,-1,-1
51000049,8.4,7.0,8.4,-1,-1,-1,4.75,7.0,7.0
51000050,7.2,8.5,9.0,7.5,6.0,7.5,-1,-1,-1
51000051,8.0,8.5,8.6,7.25,6.5,5.5,-1,-1,-1
51000052,6.8,5.75,6.0,6.0,6.5,5.0,-1,-1,-1
51000053,8.2,7.08,9.0,7.5,3.0,5.5,-1,-1,-1
51000054,6.8,7.75,7.8,5.0,4.75,3.25,-1,-1,-1
51000055,7.8,8.25,9.6,-1,-1,-1,6.75,7.75,8.5
51000056,6.6,8.0,8.6,-1,-1,-1,7.75,8.25,9.25
51000057,6.8,4.5,-1,-1,-1,-1,9.0,-1,-1
51000058,7.6,6.5,8.8,5.75,8.0,5.25,-1,-1,-1
51000059,8.2,-1,-1,-1,6.25,9.0,-1,-1,-1
51000060,8.2,4.5,7.6,7.0,6.5,5.25,-1,-1,-1
51000061,8.2,6.75,8.2,-1,-1,-1,6.0,7.25,9.0
51000062,6.6,6.75,6.8,5.25,4.25,4.25,-1,-1,-1
51000063,9.2,7.5,7.0,8.5,7.75,5.75,-1,-1,-1
51000064,3.6,5.5,1.8,-1,-1,-1,6.0,5.75,8.0
51000065,-1,4.5,-1,-1,-1,-1,3.25,4.25,-1
51000066,7.8,7.0,7.0,7.75,8.5,3.5,-1,-1,-1
51000067,7.8,8.75,8.6,-1,-1,-1,9.75,8.75,9.75
51000068,5.6,8.0,-1,-1,-1,-1,7.25,8.0,-1
51000069,8.8,5.0,9.4,7.25,4.5,4.75,-1,-1,-1
51000070,5.0,5.75,-1,-1,-1,-1,7.75,-1,-1
51000071,8.2,8.5,9.4,8.5,6.5,5.75,-1,-1,-1
51000072,7.8,8.75,9.0,-1,-1,-1,4.0,7.25,8.75
51000073,7.6,8.75,8.8,7.25,5.5,5.5,-1,-1,-1
51000074,6.2,6.5,6.8,-1,-1,-1,4.5,6.75,7.5
51000075,7.6,8.25,8.6,-1,-1,-1,5.75,6.0,7.25
51000076,7.0,7.25,7.8,-1,-1,-1,4.5,7.0,8.75
51000077,7.8,6.5,7.0,7.25,8.0,5.75,-1,-1,-1
51000078,8.4,7.5,6.6,8.0,7.25,5.0,-1,-1,-1
51000079,7.4,7.25,9.4,7.5,6.25,5.75,-1,-1,-1
