SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
53000001,8.0,7.75,9.2,6.0,8.25,9.0,-1,-1,-1
53000002,6.4,7.5,4.6,-1,-1,-1,5.75,7.75,9.0
53000003,6.4,8.0,6.8,-1,-1,-1,4.5,7.25,9.5
53000004,7.0,8.0,2.2,-1,-1,-1,7.25,8.25,9.0
53000005,7.4,6.5,7.2,6.5,4.0,4.5,-1,-1,-1
53000006,8.2,8.25,8.0,7.25,8.5,4.75,-1,-1,-1
53000007,7.4,7.0,3.4,7.75,6.75,3.5,-1,-1,-1
53000008,4.4,5.75,3.8,-1,-1,-1,6.25,5.5,7.25
53000009,7.0,7.25,4.0,6.0,6.25,4.5,-1,-1,-1
53000010,6.8,6.0,5.0,-1,-1,-1,6.5,6.75,8.0
53000012,7.6,8.0,8.2,6.5,7.0,5.5,-1,-1,-1
53000013,6.6,8.5,8.0,-1,-1,-1,5.25,8.0,9.0
53000014,7.0,7.5,8.0,6.5,7.0,4.75,-1,-1,-1
53000015,7.6,7.5,7.4,6.75,7.0,6.25,-1,-1,-1
53000016,7.8,8.5,8.6,-1,-1,-1,3.5,7.25,9.75
53000017,7.0,8.75,9.0,6.0,5.0,5.75,-1,-1,-1
53000018,9.2,6.5,5.8,8.0,7.25,5.75,-1,-1,-1
53000019,8.0,6.75,8.8,6.75,4.5,5.0,-1,-1,-1
53000020,5.8,7.5,2.8,-1,-1,-1,3.25,6.5,8.0
53000021,7.4,7.75,9.0,7.25,5.75,4.75,-1,-1,-1
53000022,7.2,7.75,6.2,-1,-1,-1,7.0,8.25,8.25
53000023,8.4,7.0,8.2,7.5,8.5,6.0,-1,-1,-1
53000024,5.0,7.25,5.8,-1,-1,-1,3.5,6.75,8.25
53000025,7.8,8.25,8.4,-1,-1,-1,7.0,8.5,9.75
53000026,7.4,6.25,5.6,-1,-1,-1,4.5,6.5,7.75
53000027,8.6,8.0,7.6,6.75,7.25,9.5,-1,-1,-1
53000028,7.2,7.0,7.4,-1,-1,-1,8.0,8.0,8.75
53000029,6.4,6.0,7.8,-1,-1,-1,5.5,7.75,9.25
53000030,4.6,6.25,8.0,-1,-1,-1,6.0,7.25,7.75
53000031,5.2,4.5,5.2,-1,-1,-1,6.5,8.25,9.5
53000032,8.0,8.0,6.8,7.75,7.25,7.5,-1,-1,-1
53000033,7.8,7.5,4.6,6.5,6.5,6.0,-1,-1,-1
53000034,8.0,8.5,7.2,7.75,6.75,7.5,-1,-1,-1
53000035,8.8,8.5,9.8,-1,-1,-1,8.25,8.5,9.25
53000036,7.4,6.75,3.6,5.75,6.75,5.0,-1,-1,-1
53000037,6.0,6.5,4.0,6.5,6.5,4.75,-1,-1,-1
53000038,7.8,7.0,5.4,7.5,7.5,6.5,-1,-1,-1
53000039,6.2,8.25,6.4,-1,-1,-1,2.75,6.75,7.5
53000040,5.4,6.5,4.0,-1,-1,-1,5.5,6.5,9.0
53000041,7.0,6.25,6.6,-1,-1,-1,4.25,7.75,7.25
53000042,8.6,6.75,8.6,6.5,8.0,6.75,-1,-1,-1
53000043,5.2,7.25,5.0,-1,-1,-1,3.75,6.5,8.25
53000044,7.6,8.0,6.6,-1,-1,-1,2.5,6.0,8.25
53000045,8.2,6.75,8.0,7.25,5.0,5.0,-1,-1,-1
53000046,8.0,5.5,3.8,5.5,6.75,3.0,-1,-1,-1
53000047,7.6,5.0,5.4,5.75,8.0,5.25,-1,-1,-1
53000048,7.4,6.75,3.8,-1,-1,-1,2.5,6.0,8.75
53000049,5.6,6.0,5.6,-1,-1,-1,3.75,8.0,7.75
53000050,5.4,8.0,5.4,-1,-1,-1,3.75,7.0,6.5
53000051,5.4,6.0,4.4,-1,-1,-1,3.25,6.75,6.75
53000052,7.6,7.5,7.4,-1,-1,-1,8.5,9.0,9.0
53000053,7.6,7.5,5.2,5.5,5.0,3.5,-1,-1,-1
53000054,7.2,8.17,7.4,6.0,6.25,4.75,-1,-1,-1
53000055,8.2,8.0,8.2,5.75,7.5,4.75,-1,-1,-1
53000056,8.0,6.0,8.8,7.75,5.25,5.25,-1,-1,-1
53000057,7.6,6.25,5.2,5.75,6.0,5.0,-1,-1,-1
53000058,5.6,7.0,7.6,-1,-1,-1,6.0,7.75,8.25
53000059,7.6,7.75,7.0,-1,-1,-1,3.75,7.75,8.0
53000060,6.0,7.25,5.6,-1,-1,-1,4.5,7.25,5.5
53000061,8.4,6.67,5.4,7.0,8.25,5.0,-1,-1,-1
53000062,5.6,6.75,3.8,-1,-1,-1,4.25,7.5,8.25
53000063,8.8,5.5,5.0,7.75,7.5,4.25,-1,-1,-1
53000064,8.2,7.5,4.0,6.75,8.0,5.75,-1,-1,-1
53000065,6.4,6.75,4.2,4.0,5.0,2.75,-1,-1,-1
53000066,7.0,6.5,8.2,5.0,7.0,5.25,-1,-1,-1
53000068,7.2,7.25,8.8,-1,-1,-1,8.75,7.0,9.25
53000069,7.0,7.0,5.6,5.75,7.5,4.25,-1,-1,-1
53000070,7.8,7.5,5.8,-1,-1,-1,7.5,8.0,9.25
53000071,8.8,6.25,9.4,7.5,4.5,4.0,-1,-1,-1
53000072,5.4,6.75,6.4,-1,-1,-1,3.0,7.75,8.5
53000073,7.0,7.5,5.8,-1,-1,-1,7.5,8.75,9.25
53000074,6.4,7.25,6.6,5.5,5.0,5.0,-1,-1,-1
53000075,7.0,7.0,6.0,7.0,7.25,5.5,-1,-1,-1
53000076,8.4,6.5,8.2,8.25,5.5,3.5,-1,-1,-1
53000077,8.8,6.0,9.6,8.75,6.25,4.25,-1,-1,-1
53000078,8.4,7.5,5.2,6.75,7.5,5.5,-1,-1,-1
53000079,7.2,6.5,4.8,5.25,8.25,6.75,-1,-1,-1
53000081,8.2,9.0,9.4,7.25,5.25,5.5,-1,-1,-1
53000082,8.0,8.75,8.2,6.25,7.0,5.75,-1,-1,-1
53000083,6.8,8.25,4.8,-1,-1,-1,7.5,8.0,8.0
53000084,7.4,7.5,8.2,4.25,5.5,4.75,-1,-1,-1
53000085,7.4,9.0,9.4,7.25,7.5,5.75,-1,-1,-1
53000086,7.0,5.75,4.2,5.25,7.75,4.5,-1,-1,-1
53000087,9.0,7.5,9.0,7.25,9.0,8.25,-1,-1,-1
53000088,7.2,5.0,7.8,5.5,6.5,5.75,-1,-1,-1
53000089,6.2,9.0,8.0,-1,-1,-1,8.5,8.5,10.0
53000090,6.0,8.0,5.8,-1,-1,-1,3.25,4.75,6.5
53000091,8.2,7.25,8.6,5.25,6.25,4.5,-1,-1,-1
53000093,7.6,7.0,5.2,6.5,7.25,5.0,-1,-1,-1
53000094,4.4,7.5,7.4,4.25,3.75,4.75,-1,-1,-1
53000095,6.2,6.25,4.8,5.75,6.25,4.25,-1,-1,-1
53000096,7.4,5.75,4.0,-1,-1,-1,3.0,6.5,8.5
53000097,8.8,7.5,6.6,7.5,8.75,7.5,-1,-1,-1
53000098,4.8,8.0,8.2,4.0,5.75,5.0,-1,-1,-1
53000099,6.6,6.25,2.0,-1,-1,-1,5.75,6.25,8.5
53000100,8.8,8.0,8.4,7.75,5.75,4.75,-1,-1,-1
53000101,8.4,7.0,5.0,8.0,8.0,3.75,-1,-1,-1
53000102,6.2,7.25,3.6,-1,-1,-1,5.25,7.75,9.5
53000103,7.4,5.75,5.8,7.5,6.0,5.5,-1,-1,-1
53000104,7.4,5.75,4.8,5.5,5.75,3.5,-1,-1,-1
53000105,5.8,7.5,3.4,-1,-1,-1,7.0,6.25,7.75
53000106,8.2,7.75,8.6,8.25,7.5,7.0,-1,-1,-1
53000107,7.6,6.5,8.6,6.5,7.25,3.5,-1,-1,-1
53000108,8.2,8.0,7.0,7.75,8.5,7.75,-1,-1,-1
53000109,8.6,7.5,9.0,7.75,8.5,5.75,-1,-1,-1
53000111,8.4,7.5,8.4,8.75,8.0,6.0,-1,-1,-1
53000112,7.0,6.0,5.4,5.5,6.25,4.0,-1,-1,-1
53000113,6.6,6.5,2.6,-1,-1,-1,5.75,6.5,9.0
53000114,7.8,7.0,5.4,6.5,6.0,5.25,-1,-1,-1
53000115,6.8,8.75,4.6,-1,-1,-1,8.0,9.25,10.0
53000116,7.2,6.75,6.4,7.5,7.0,4.75,-1,-1,-1
53000117,7.2,6.0,7.0,4.0,7.75,6.5,-1,-1,-1
53000118,8.4,6.75,7.2,6.5,7.5,9.25,-1,-1,-1
53000119,8.6,7.0,7.0,7.5,8.0,7.0,-1,-1,-1
53000120,8.8,6.75,5.6,8.0,4.25,6.0,-1,-1,-1
53000121,7.2,8.75,6.4,6.25,7.0,6.5,-1,-1,-1
53000122,8.2,6.75,5.6,7.25,8.0,5.0,-1,-1,-1
53000123,5.4,4.25,4.4,-1,-1,-1,2.5,5.5,5.25
53000124,7.0,7.0,3.8,-1,-1,-1,4.5,8.25,9.5
53000125,7.4,5.75,7.2,-1,-1,-1,4.5,6.75,9.75
53000126,8.6,8.0,7.4,5.75,7.75,8.0,-1,-1,-1
53000127,7.4,6.0,7.4,6.0,6.5,4.75,-1,-1,-1
53000128,7.0,8.0,8.2,-1,-1,-1,4.0,6.75,7.0
53000129,7.0,6.75,5.0,4.5,7.5,6.0,-1,-1,-1
53000130,7.4,8.5,7.2,-1,-1,-1,4.25,6.75,7.0
53000131,8.6,7.5,9.0,8.5,8.0,5.5,-1,-1,-1
53000132,7.0,7.75,7.6,-1,-1,-1,8.25,7.0,8.5
53000133,7.2,7.25,5.4,3.75,4.0,5.25,-1,-1,-1
53000134,5.2,6.5,3.8,-1,-1,-1,5.0,9.75,9.75
53000135,7.2,8.5,7.2,5.5,6.0,4.5,-1,-1,-1
53000136,8.2,7.75,4.8,7.0,7.75,4.75,-1,-1,-1
53000137,7.2,6.83,5.6,7.5,7.0,4.75,-1,-1,-1
53000138,7.8,6.0,5.0,6.25,7.5,5.25,-1,-1,-1
53000139,8.0,8.25,7.8,7.0,5.0,4.25,-1,-1,-1
53000140,8.4,8.5,8.4,-1,-1,-1,5.25,7.0,7.5
53000141,7.4,6.75,4.2,5.5,7.25,4.25,-1,-1,-1
53000142,6.6,7.0,2.6,4.75,4.75,4.25,-1,-1,-1
53000143,8.2,6.5,7.6,7.5,7.5,6.0,-1,-1,-1
53000144,7.0,5.5,8.0,5.5,4.0,5.75,-1,-1,-1
53000145,8.4,7.5,9.4,6.25,7.5,10.0,-1,-1,-1
53000146,7.2,7.5,4.8,-1,-1,-1,4.75,7.25,8.5
53000147,5.2,7.75,4.8,5.5,6.5,5.75,-1,-1,-1
53000148,6.4,7.0,6.2,5.25,5.75,3.5,-1,-1,-1
53000149,7.8,7.0,4.4,6.75,7.75,4.5,-1,-1,-1
53000150,6.2,8.5,2.8,-1,-1,-1,6.75,8.25,8.5
53000151,6.2,7.25,3.8,4.5,4.5,3.25,-1,-1,-1
53000152,8.4,8.0,6.0,7.75,9.25,5.0,-1,-1,-1
53000153,8.0,8.25,8.2,6.75,7.0,5.25,-1,-1,-1
53000154,7.6,7.75,8.2,4.25,7.25,6.0,-1,-1,-1
53000155,7.0,5.25,3.2,5.75,7.5,5.75,-1,-1,-1
53000156,9.0,7.0,8.2,8.5,8.5,6.0,-1,-1,-1
53000157,8.6,7.25,7.4,8.0,7.75,4.5,-1,-1,-1
53000158,6.8,6.5,4.0,7.5,7.5,5.75,-1,-1,-1
53000159,8.2,6.5,5.8,7.5,8.25,4.0,-1,-1,-1
53000160,6.8,7.25,6.8,-1,-1,-1,5.0,8.5,8.75
53000161,6.2,8.0,4.2,-1,-1,-1,3.25,6.0,7.25
53000162,7.8,7.25,6.6,-1,-1,-1,6.5,7.25,9.25
53000163,7.2,-1,-1,7.25,6.5,-1,-1,-1,-1
53000164,7.6,7.75,8.0,6.75,7.5,6.75,-1,-1,-1
53000165,6.6,8.0,7.8,-1,-1,-1,7.5,8.0,7.75
53000166,9.2,7.5,8.2,7.75,8.25,9.0,-1,-1,-1
53000167,7.0,7.0,5.6,6.5,7.0,5.25,-1,-1,-1
53000169,7.8,6.75,5.6,7.0,7.5,5.25,-1,-1,-1
53000170,6.0,8.0,3.6,-1,-1,-1,5.0,5.75,8.75
53000171,6.4,9.0,3.8,-1,-1,-1,8.0,9.0,9.25
53000172,7.2,8.25,6.8,-1,-1,-1,6.5,8.25,8.5
53000173,7.0,8.25,7.2,-1,-1,-1,3.25,8.25,7.75
53000175,8.2,8.0,7.0,7.25,7.0,6.0,-1,-1,-1
53000176,5.2,8.25,4.2,-1,-1,-1,7.25,6.75,8.25
53000177,6.2,8.0,7.4,-1,-1,-1,5.25,7.25,9.0
53000178,5.4,8.25,5.4,-1,-1,-1,5.25,5.75,8.0
53000179,6.2,6.75,3.8,-1,-1,-1,4.25,6.75,6.75
53000180,7.6,5.75,3.8,7.0,6.25,3.5,-1,-1,-1
53000181,7.6,5.25,8.6,7.25,4.25,4.25,-1,-1,-1
53000182,7.6,7.25,8.4,7.75,6.5,5.25,-1,-1,-1
53000183,5.8,8.25,7.6,-1,-1,-1,5.25,7.25,9.25
53000184,7.4,8.5,4.0,-1,-1,-1,5.25,6.25,8.5
53000185,8.0,8.0,5.0,5.0,7.0,7.75,-1,-1,-1
53000186,6.0,7.5,4.4,-1,-1,-1,2.5,7.5,7.25
53000187,4.8,8.0,8.8,4.25,4.0,4.75,-1,-1,-1
