SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
54000001,6.8,6.0,3.8,-1,-1,-1,2.5,8.0,8.75
54000002,7.0,7.25,3.2,3.5,5.5,4.75,-1,-1,-1
54000003,4.6,5.75,4.2,-1,-1,-1,3.0,5.0,7.0
54000004,2.8,5.25,2.2,-1,-1,-1,4.0,4.75,-1
54000005,4.6,5.75,3.8,-1,-1,-1,5.0,6.25,8.75
54000006,5.8,5.5,3.8,-1,-1,-1,6.25,7.0,8.0
54000007,7.6,7.58,2.8,-1,-1,-1,8.0,6.25,9.5
54000008,7.8,7.0,3.4,3.25,5.0,4.25,-1,-1,-1
54000009,5.8,6.75,2.4,-1,-1,-1,4.0,7.0,8.0
54000010,7.0,7.0,8.2,6.5,7.0,6.75,-1,-1,-1
54000011,3.6,2.25,2.6,-1,-1,-1,2.5,2.75,4.0
54000012,7.2,6.0,4.4,3.75,5.0,6.25,-1,-1,-1
54000013,7.2,6.75,5.6,6.25,6.25,5.5,-1,-1,-1
54000014,7.0,4.0,3.8,4.5,4.75,3.5,-1,-1,-1
54000015,6.2,7.5,3.2,-1,-1,-1,4.5,7.0,8.75
54000016,4.8,4.0,1.6,-1,-1,-1,5.0,7.0,6.75
54000017,6.8,5.25,2.8,-1,-1,-1,2.75,5.75,8.0
54000018,7.4,5.25,5.4,5.0,7.25,5.25,-1,-1,-1
54000019,7.4,4.75,2.4,-1,-1,-1,3.75,7.75,8.25
54000020,6.0,4.5,3.2,-1,-1,-1,4.25,5.25,7.25
54000021,7.4,8.0,5.2,-1,-1,-1,8.5,8.5,9.25
54000022,7.4,7.5,6.4,-1,-1,-1,8.5,9.0,9.75
54000023,5.0,5.0,2.6,-1,-1,-1,3.75,5.0,7.25
54000024,6.4,6.5,2.8,-1,-1,-1,5.25,7.25,8.25
54000025,5.0,3.75,4.0,-1,-1,-1,3.5,6.0,5.5
54000026,6.4,4.75,3.0,-1,-1,-1,1.5,5.75,6.75
54000027,8.6,6.25,3.2,7.5,6.5,3.5,-1,-1,-1
54000028,6.2,7.25,4.2,-1,-1,-1,3.0,6.5,7.5
54000029,7.4,5.75,4.4,5.25,4.75,6.0,-1,-1,-1
54000030,6.4,7.25,4.8,-1,-1,-1,4.25,7.0,7.75
54000031,8.0,6.0,4.2,-1,-1,-1,3.25,7.75,8.75
54000032,3.6,5.25,3.4,-1,-1,-1,2.25,6.0,6.75
54000033,7.4,7.5,6.0,6.0,3.5,3.75,-1,-1,-1
54000034,3.8,5.25,1.6,-1,-1,-1,3.75,4.25,6.75
54000035,6.8,7.75,3.4,5.25,7.5,3.75,-1,-1,-1
54000036,7.0,8.25,4.6,-1,-1,-1,9.5,8.75,9.75
54000037,6.2,6.25,3.2,-1,-1,-1,3.75,7.25,6.25
54000038,6.4,7.0,4.4,-1,-1,-1,6.25,7.75,9.75
54000039,7.2,4.25,4.2,4.25,4.75,5.0,-1,-1,-1
54000040,8.0,6.5,3.6,-1,-1,-1,5.5,7.25,8.5
54000041,6.8,3.75,7.8,6.75,5.75,5.5,-1,-1,-1
54000042,6.8,6.25,5.4,-1,-1,-1,5.25,6.75,7.0
54000043,6.6,4.5,4.6,-1,-1,-1,5.25,8.0,9.75
54000044,7.6,6.75,6.0,6.0,6.5,7.25,-1,-1,-1
54000045,7.0,5.25,6.8,-1,-1,-1,6.0,7.0,9.5
54000046,6.4,5.5,5.0,-1,-1,-1,3.75,6.5,8.25
54000047,5.0,5.5,4.2,-1,-1,-1,4.75,8.5,8.5
54000048,4.4,6.5,3.6,-1,-1,-1,3.5,6.5,8.5
54000049,6.0,5.75,4.6,-1,-1,-1,7.0,5.25,8.5
54000050,6.2,7.0,4.8,-1,-1,-1,3.5,6.5,8.25
54000051,2.4,6.0,2.4,-1,-1,-1,3.25,6.5,6.0
54000052,2.4,2.75,4.2,-1,-1,-1,3.0,2.75,4.25
54000053,8.2,7.25,3.8,7.0,5.75,3.5,-1,-1,-1
54000054,7.4,4.25,3.6,5.0,4.25,3.5,-1,-1,-1
54000055,7.4,6.58,5.2,7.0,7.25,6.0,-1,-1,-1
54000056,7.4,7.75,4.0,7.0,8.0,5.25,-1,-1,-1
54000057,8.0,5.42,5.4,7.5,7.0,5.5,-1,-1,-1
54000058,7.2,7.25,4.4,-1,-1,-1,2.75,4.5,5.75
54000059,3.2,3.5,2.4,-1,-1,-1,3.0,5.0,7.25
54000060,4.6,7.0,4.6,-1,-1,-1,5.0,6.0,8.25
54000061,8.0,7.5,4.4,5.25,7.75,7.0,-1,-1,-1
54000062,6.4,8.25,3.4,-1,-1,-1,4.75,5.5,9.0
54000063,7.2,5.25,7.6,5.5,2.25,4.75,-1,-1,-1
54000064,5.6,6.5,3.2,-1,-1,-1,4.0,5.75,9.0
54000065,4.0,5.5,3.4,-1,-1,-1,5.25,7.5,7.75
54000066,7.4,5.25,6.2,-1,-1,-1,6.0,8.0,9.25
54000067,4.4,5.5,2.4,-1,-1,-1,3.5,4.75,5.75
54000068,6.6,6.5,7.0,-1,-1,-1,5.25,8.0,9.75
54000069,5.0,3.5,2.8,-1,-1,-1,3.5,5.25,6.25
54000070,7.4,5.5,2.4,4.25,6.25,3.5,-1,-1,-1
54000071,4.6,5.25,2.0,-1,-1,-1,3.5,6.25,8.0
54000072,7.2,7.75,9.0,8.0,7.0,5.25,-1,-1,-1
54000073,7.2,6.75,3.4,-1,-1,-1,5.75,6.25,9.0
54000074,7.4,7.75,5.6,6.5,6.0,5.25,-1,-1,-1
54000075,5.8,5.0,3.8,-1,-1,-1,3.0,6.0,6.25
54000076,7.2,5.75,4.0,6.0,5.5,6.25,-1,-1,-1
54000077,3.2,6.75,3.4,-1,-1,-1,5.0,6.0,8.75
54000078,7.2,6.0,4.8,-1,-1,-1,4.25,7.5,8.5
54000079,6.0,4.25,3.4,5.0,5.25,5.0,-1,-1,-1
54000080,4.8,6.25,4.6,-1,-1,-1,3.5,8.0,9.25
54000081,4.4,5.25,4.0,-1,-1,-1,4.5,-1,-1
54000082,5.4,6.5,3.2,-1,-1,-1,2.75,5.0,6.0
54000083,4.6,6.5,3.0,-1,-1,-1,5.5,6.0,8.25
54000084,6.6,7.0,4.4,-1,-1,-1,6.25,7.75,7.75
54000085,7.2,7.25,7.4,7.0,6.75,6.5,-1,-1,-1
54000086,3.4,3.75,3.2,-1,-1,-1,3.25,4.0,6.5
54000087,6.4,3.75,5.6,-1,-1,-1,4.0,7.5,9.25
54000088,3.8,5.5,2.8,-1,-1,-1,2.5,4.25,5.75
54000089,3.4,0.75,2.6,-1,-1,-1,3.5,5.0,4.75
54000090,3.8,4.0,3.6,-1,-1,-1,3.0,5.5,5.25
54000091,7.6,7.5,4.2,4.75,6.75,6.0,-1,-1,-1
54000092,6.4,7.0,8.2,-1,-1,-1,6.75,7.5,9.5
54000093,8.8,6.5,9.0,8.75,8.0,7.75,-1,-1,-1
54000094,7.4,6.5,2.6,-1,-1,-1,6.0,8.75,9.5
54000095,2.0,3.25,2.2,-1,-1,-1,2.75,5.5,4.75
54000096,3.4,5.0,2.6,-1,-1,-1,2.25,6.0,5.5
