SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
55000001,7.0,7.25,4.2,-1,-1,-1,3.25,7.25,8.0
55000002,7.0,6.75,5.4,7.0,7.75,6.5,-1,-1,-1
55000003,6.4,6.5,3.8,-1,-1,-1,4.25,7.5,7.75
55000004,7.0,7.0,7.6,4.5,4.25,4.0,-1,-1,-1
55000005,7.6,7.0,6.8,6.0,6.25,5.5,-1,-1,-1
55000006,6.2,7.5,5.8,5.75,7.0,6.25,-1,-1,-1
55000007,5.0,6.5,4.0,-1,-1,-1,4.25,7.5,8.0
55000008,8.2,8.5,8.8,-1,-1,-1,4.0,7.5,9.0
55000009,4.6,6.5,3.6,-1,-1,-1,2.5,7.75,8.25
55000010,4.6,6.0,2.8,-1,-1,-1,4.75,7.25,8.75
55000011,4.8,7.0,4.4,-1,-1,-1,6.5,7.75,8.5
55000012,4.2,5.5,3.8,-1,-1,-1,4.75,6.5,7.25
55000013,8.0,6.75,8.8,-1,-1,-1,5.25,8.25,8.75
55000014,7.6,6.25,7.6,7.0,7.0,5.5,-1,-1,-1
55000015,4.6,6.0,3.8,-1,-1,-1,4.25,6.25,9.0
55000016,6.4,7.75,7.8,-1,-1,-1,2.5,6.5,7.25
55000017,7.0,7.5,7.0,-1,-1,-1,8.0,9.25,9.5
55000018,8.6,7.5,8.8,8.5,7.25,6.5,-1,-1,-1
55000019,8.4,5.75,8.0,-1,-1,-1,3.75,7.75,8.75
55000020,8.4,6.25,7.6,6.25,7.5,8.5,-1,-1,-1
55000021,7.6,8.25,8.8,-1,-1,-1,4.75,8.0,9.0
55000022,5.2,7.0,4.6,-1,-1,-1,6.75,7.5,9.25
55000023,7.8,8.0,5.6,-1,-1,-1,6.25,8.0,9.25
55000024,8.0,7.25,9.0,5.75,7.25,6.25,-1,-1,-1
55000025,4.6,5.75,5.4,-1,-1,-1,6.5,7.25,8.5
55000026,8.6,6.5,4.8,7.25,7.75,6.0,-1,-1,-1
55000027,4.8,5.0,3.8,-1,-1,-1,3.0,4.75,4.5
55000028,7.4,8.0,5.8,-1,-1,-1,5.5,8.75,8.5
55000029,7.0,6.75,5.4,-1,-1,-1,4.25,7.0,9.5
55000030,4.6,6.0,3.0,-1,-1,-1,4.5,4.75,7.25
55000031,8.4,6.0,5.8,5.0,6.75,5.75,-1,-1,-1
55000032,8.6,6.5,7.4,7.5,4.0,6.0,-1,-1,-1
55000033,7.8,8.0,7.8,-1,-1,-1,8.75,8.25,9.75
55000034,7.0,7.5,6.2,-1,-1,-1,6.75,8.0,9.5
55000035,8.0,9.0,9.0,-1,-1,-1,4.25,7.0,9.75
55000036,7.4,6.0,7.8,7.5,7.25,6.0,-1,-1,-1
55000037,6.0,7.0,6.4,-1,-1,-1,4.25,7.5,9.25
55000038,7.6,6.5,4.4,7.25,6.0,6.75,-1,-1,-1
55000039,7.8,7.75,3.0,7.25,7.25,5.0,-1,-1,-1
55000040,4.6,6.5,3.2,3.75,4.75,4.0,-1,-1,-1
55000041,6.4,6.75,3.8,-1,-1,-1,4.75,7.0,9.5
55000042,4.6,7.5,4.0,-1,-1,-1,5.0,6.75,8.0
55000043,3.6,5.0,3.2,-1,-1,-1,3.75,6.25,8.0
55000044,8.0,7.0,6.6,5.5,6.0,7.5,-1,-1,-1
55000045,7.8,8.25,8.2,-1,-1,-1,7.75,7.25,8.75
55000046,6.2,8.0,5.8,-1,-1,-1,7.5,8.25,9.5
55000047,6.6,8.5,6.2,-1,-1,-1,7.75,8.5,9.75
55000048,4.6,6.75,4.4,-1,-1,-1,3.25,6.75,8.0
55000049,7.6,8.75,8.0,6.75,5.0,6.75,-1,-1,-1
55000050,4.2,5.75,3.6,-1,-1,-1,4.0,5.75,8.0
55000051,6.6,8.25,6.2,-1,-1,-1,4.25,6.25,8.75
55000052,6.8,6.25,4.8,5.75,5.5,5.0,-1,-1,-1
55000053,6.2,8.25,5.2,-1,-1,-1,6.0,7.25,8.0
55000054,8.2,7.5,9.2,6.5,7.5,7.25,-1,-1,-1
55000055,4.8,6.25,3.2,-1,-1,-1,4.75,6.0,8.75
55000056,6.8,7.5,6.0,6.0,5.5,5.75,-1,-1,-1
55000057,7.2,5.75,3.0,4.75,7.25,5.5,-1,-1,-1
55000058,9.0,5.75,4.0,7.75,8.75,4.75,-1,-1,-1
