SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
56000001,7.0,5.75,6.2,-1,-1,-1,5.5,7.0,8.5
56000002,6.8,6.75,5.2,6.5,5.75,5.25,-1,-1,-1
56000003,5.0,6.0,2.6,-1,-1,-1,5.5,8.5,9.5
56000004,4.6,7.25,6.0,-1,-1,-1,5.0,7.0,8.75
56000005,5.6,5.5,-1,-1,-1,-1,7.75,7.0,-1
56000006,6.6,5.25,3.0,-1,-1,-1,4.5,7.0,8.25
56000007,7.2,6.25,6.6,5.75,7.5,5.5,-1,-1,-1
56000008,7.6,-1,-1,6.5,4.0,-1,-1,-1,-1
56000009,5.4,7.0,-1,-1,-1,-1,6.5,7.75,-1
56000010,5.2,8.5,5.2,-1,-1,-1,4.0,7.25,8.0
56000011,7.4,6.5,8.0,7.25,4.75,5.0,-1,-1,-1
56000012,4.6,6.0,-1,-1,-1,-1,7.25,6.75,-1
56000013,8.8,8.25,8.8,7.25,7.25,7.75,-1,-1,-1
56000014,3.4,5.75,-1,-1,-1,-1,4.25,6.25,-1
56000015,6.2,7.25,6.8,4.25,5.5,5.75,-1,-1,-1
56000016,8.4,8.5,7.4,-1,-1,-1,7.25,8.25,9.25
56000017,8.2,5.75,5.4,7.0,6.75,5.5,-1,-1,-1
56000018,3.0,7.0,3.8,-1,-1,-1,6.25,7.75,7.75
56000019,7.2,7.0,4.4,-1,-1,-1,4.0,7.25,8.5
56000020,2.0,4.5,-1,-1,-1,-1,4.0,6.25,-1
56000021,8.4,4.25,6.8,6.75,7.25,5.25,-1,-1,-1
56000022,6.6,6.5,4.0,-1,-1,-1,4.25,6.25,8.25
56000023,2.0,5.0,-1,-1,-1,-1,6.75,8.5,-1
56000024,7.0,3.5,3.0,-1,-1,-1,5.5,7.0,9.0
56000025,6.6,7.0,6.8,-1,-1,-1,5.5,7.25,9.25
56000026,9.0,7.0,5.4,-1,-1,-1,5.75,8.0,8.75
56000027,2.4,3.0,-1,-1,-1,-1,3.25,5.25,-1
56000028,7.8,8.0,7.6,6.25,7.0,6.25,-1,-1,-1
56000029,5.2,5.25,5.0,-1,-1,-1,5.25,6.0,7.5
56000030,7.0,8.0,3.8,-1,-1,-1,6.0,6.75,8.25
56000031,7.2,5.0,4.6,-1,-1,-1,6.0,7.25,7.0
56000032,8.0,6.5,7.6,-1,-1,-1,5.25,6.75,9.25
56000033,7.8,7.0,5.0,-1,-1,-1,3.25,7.25,8.0
56000034,7.0,6.25,7.2,-1,-1,-1,5.75,6.5,9.0
56000035,7.0,5.25,3.2,-1,-1,-1,2.75,6.25,7.5
56000036,8.0,7.5,8.2,8.25,6.75,8.25,-1,-1,-1
56000037,4.2,3.25,-1,-1,-1,-1,5.5,6.0,-1
56000038,6.0,4.75,-1,-1,-1,-1,5.75,8.25,-1
56000039,7.0,6.75,5.0,5.75,6.25,4.0,-1,-1,-1
56000040,6.0,4.0,-1,-1,-1,-1,2.75,6.25,-1
56000041,5.6,6.25,3.6,-1,-1,-1,3.25,5.25,8.75
56000042,7.8,7.75,6.8,7.5,7.5,6.0,-1,-1,-1
56000043,8.6,8.75,8.8,7.0,8.5,5.75,-1,-1,-1
56000044,9.0,7.25,5.4,7.5,6.5,6.5,-1,-1,-1
56000045,7.4,6.75,4.4,-1,-1,-1,5.0,6.5,7.5
56000046,7.6,7.25,5.0,-1,-1,-1,7.0,8.75,9.5
56000047,6.2,8.0,5.2,-1,-1,-1,2.0,6.5,7.75
56000048,5.4,5.42,6.2,-1,-1,-1,6.0,7.5,8.75
56000049,5.2,5.75,-1,-1,-1,-1,5.5,5.75,-1
56000050,7.8,7.75,7.0,-1,-1,-1,6.5,8.0,9.5
56000051,6.4,6.75,7.4,-1,-1,-1,4.75,7.75,9.75
56000052,7.2,8.25,7.4,-1,-1,-1,5.0,7.5,9.25
56000053,7.6,6.5,4.8,-1,-1,-1,6.25,8.5,9.25
56000054,7.0,5.75,5.2,-1,-1,-1,6.25,7.75,9.0
56000055,8.0,9.0,8.2,-1,-1,-1,8.25,8.5,10.0
56000056,4.0,3.75,-1,-1,-1,-1,4.25,6.0,-1
56000057,4.2,3.5,-1,-1,-1,-1,5.0,6.25,-1
56000058,4.0,4.5,-1,-1,-1,-1,4.5,6.5,-1
56000059,9.0,-1,-1,-1,8.25,9.0,-1,-1,-1
56000060,8.0,6.0,3.6,5.0,6.75,3.25,-1,-1,-1
56000061,4.6,5.0,-1,-1,-1,-1,3.0,6.5,-1
56000062,8.8,6.67,6.4,5.5,6.0,5.75,-1,-1,-1
56000063,9.0,7.25,7.6,8.0,8.25,4.5,-1,-1,-1
56000064,6.2,4.25,4.6,-1,-1,-1,2.0,4.75,7.5
56000065,8.6,6.25,9.4,8.0,7.75,6.0,-1,-1,-1
56000066,6.8,4.75,4.8,-1,-1,-1,3.5,7.0,7.0
56000067,5.4,5.5,-1,-1,-1,-1,3.75,6.25,-1
56000068,7.2,8.5,5.0,-1,-1,-1,5.75,6.5,10.0
56000069,8.0,7.75,7.4,4.75,6.5,4.25,-1,-1,-1
56000070,5.4,6.0,-1,-1,-1,-1,6.0,6.25,-1
56000071,6.6,8.0,5.6,-1,-1,-1,4.5,7.0,8.25
56000072,7.6,7.0,5.4,7.75,7.5,5.25,-1,-1,-1
56000073,4.0,5.0,5.0,-1,-1,-1,4.0,6.75,7.75
56000074,8.2,8.0,8.4,6.5,7.5,6.75,-1,-1,-1
56000075,7.6,5.5,5.6,-1,-1,-1,4.25,5.5,5.5
56000076,8.4,8.0,8.8,8.0,6.75,7.0,-1,-1,-1
56000077,7.8,7.0,6.4,6.75,7.25,5.0,-1,-1,-1
56000078,6.2,4.25,6.6,6.0,3.5,5.25,-1,-1,-1
56000079,4.4,4.75,-1,-1,-1,-1,3.5,5.75,-1
56000080,6.8,7.0,6.2,-1,-1,-1,4.5,5.25,8.75
56000081,7.0,2.5,-1,-1,-1,-1,2.0,6.5,-1
56000082,7.6,6.0,4.6,6.5,7.25,4.75,-1,-1,-1
56000083,7.6,8.25,6.6,6.25,4.75,6.0,-1,-1,-1
56000084,8.4,6.75,9.0,-1,-1,-1,6.5,8.0,9.5
56000085,5.6,6.25,4.8,-1,-1,-1,6.25,7.25,9.5
56000086,7.0,6.5,3.8,-1,-1,-1,4.5,6.0,8.0
56000087,8.4,5.25,6.4,-1,-1,-1,7.0,7.25,9.25
56000088,7.8,6.25,6.0,-1,-1,-1,6.75,9.0,10.0
56000089,7.4,8.25,6.8,5.5,7.5,6.25,-1,-1,-1
56000090,7.4,6.75,9.2,8.0,5.75,6.0,-1,-1,-1
56000091,8.6,6.5,8.6,7.75,8.5,6.0,-1,-1,-1
56000092,2.2,3.5,-1,-1,-1,-1,3.0,4.75,-1
56000093,7.4,5.25,6.0,-1,-1,-1,6.0,6.75,8.25
56000094,7.6,7.75,5.2,-1,-1,-1,7.0,7.5,8.25
56000095,7.0,5.25,4.6,-1,-1,-1,4.25,6.5,9.0
56000096,8.2,5.75,3.4,4.5,7.75,6.0,-1,-1,-1
56000097,6.0,7.5,-1,-1,-1,-1,5.5,6.5,-1
56000098,8.0,5.5,8.0,7.0,6.75,4.75,-1,-1,-1
56000099,7.4,6.0,7.8,-1,-1,-1,5.75,7.5,9.25
56000100,5.8,5.5,-1,-1,-1,-1,4.5,7.0,-1
56000101,5.8,5.25,2.4,-1,-1,-1,3.0,6.75,8.5
56000102,3.0,5.25,-1,-1,-1,-1,4.0,4.75,-1
56000103,5.6,5.5,3.2,-1,-1,-1,5.0,7.0,9.25
56000104,8.6,7.25,9.8,6.75,5.75,6.0,-1,-1,-1
56000105,5.8,4.5,3.0,-1,-1,-1,4.75,6.25,7.0
56000106,7.8,8.0,8.2,5.75,8.0,6.0,-1,-1,-1
