SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
57000001,6.0,5.5,5.2,-1,-1,-1,4.75,6.5,8.25
57000002,7.6,5.75,7.6,-1,-1,-1,5.0,6.75,8.75
57000003,3.8,1.75,-1,-1,-1,-1,4.0,6.25,-1
57000004,6.8,6.25,-1,-1,-1,-1,8.0,8.0,-1
57000005,4.8,6.25,5.0,6.0,5.0,5.0,-1,-1,-1
57000006,6.4,5.75,5.0,6.5,5.5,4.5,-1,-1,-1
57000007,7.8,5.75,5.4,-1,-1,-1,4.0,8.25,8.25
57000008,6.8,7.0,6.6,5.75,7.5,5.75,-1,-1,-1
57000009,7.2,7.0,7.6,-1,-1,-1,6.25,8.5,9.0
57000010,6.8,6.25,6.8,6.5,5.25,7.0,-1,-1,-1
57000011,8.0,6.0,9.4,-1,-1,-1,7.5,9.25,9.75
57000012,7.4,6.0,3.2,4.0,3.75,4.25,-1,-1,-1
57000013,5.6,6.75,7.2,-1,-1,-1,8.0,6.5,9.75
57000014,7.0,6.75,7.4,-1,-1,-1,4.5,7.5,8.25
57000015,2.6,4.75,-1,-1,-1,-1,2.5,4.75,-1
57000016,5.6,6.75,3.4,-1,-1,-1,8.75,8.5,9.25
57000017,7.4,7.25,6.4,5.25,6.25,7.25,-1,-1,-1
57000018,7.4,7.75,6.4,-1,-1,-1,6.5,9.0,10.0
57000019,6.0,7.0,-1,-1,-1,-1,3.5,6.75,-1
57000020,6.2,6.0,6.4,5.75,4.25,4.5,-1,-1,-1
57000021,4.6,5.5,3.6,3.75,4.5,4.5,-1,-1,-1
57000022,4.0,4.0,-1,-1,-1,-1,7.25,6.5,-1
57000023,8.0,7.0,9.2,7.75,6.5,6.0,-1,-1,-1
57000024,9.0,6.25,6.6,8.25,7.75,4.25,-1,-1,-1
57000025,7.8,6.5,8.6,-1,-1,-1,6.0,8.5,9.25
57000026,5.4,3.25,-1,-1,-1,-1,3.0,6.0,-1
57000027,8.6,6.25,6.4,9.0,7.5,7.25,-1,-1,-1
57000028,3.4,5.0,-1,-1,-1,-1,3.25,6.75,-1
57000029,7.4,7.0,6.4,7.75,7.5,4.5,-1,-1,-1
57000030,7.6,7.5,9.0,-1,-1,-1,7.25,8.5,9.0
57000031,5.4,4.25,-1,-1,-1,-1,3.0,5.75,-1
57000032,6.8,5.0,5.6,6.5,7.25,7.0,-1,-1,-1
57000033,7.2,6.0,8.0,6.5,7.5,4.5,-1,-1,-1
57000034,8.0,6.5,5.2,-1,-1,-1,6.25,7.25,8.5
57000036,8.0,6.75,8.6,-1,-1,-1,3.75,7.0,7.0
57000037,5.8,5.25,-1,-1,-1,-1,6.75,6.75,-1
57000038,6.4,5.5,8.4,4.75,7.0,7.75,-1,-1,-1
57000039,7.0,5.25,7.6,7.5,5.5,6.25,-1,-1,-1
57000040,7.0,5.0,8.2,5.75,4.0,5.25,-1,-1,-1
57000041,4.8,6.0,5.4,-1,-1,-1,4.5,7.25,6.5
57000042,7.6,6.0,8.0,6.25,7.0,6.0,-1,-1,-1
57000043,6.2,7.0,7.8,7.5,4.5,6.25,-1,-1,-1
57000044,3.6,2.25,-1,-1,-1,-1,2.75,4.5,-1
57000045,8.0,5.83,5.8,7.0,5.0,6.0,-1,-1,-1
57000046,8.2,7.0,8.4,7.25,6.5,4.0,-1,-1,-1
57000047,6.6,6.25,-1,-1,-1,-1,6.0,7.5,-1
57000048,7.8,5.25,8.8,7.5,8.0,6.75,-1,-1,-1
57000049,7.4,6.75,4.4,-1,-1,-1,5.75,8.5,10.0
57000050,5.0,3.5,-1,-1,-1,-1,4.0,7.5,-1
