SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
58000001,6.2,5.5,4.0,-1,-1,-1,4.5,6.25,8.5
58000002,5.8,6.75,-1,-1,-1,-1,5.75,8.0,-1
58000003,6.4,7.25,9.0,4.25,6.5,5.5,-1,-1,-1
58000004,5.4,5.75,2.4,-1,-1,-1,4.5,7.75,9.5
58000005,4.8,6.25,-1,-1,-1,-1,5.75,7.5,-1
58000006,6.8,6.5,5.4,4.5,6.25,5.25,-1,-1,-1
58000007,8.4,6.25,8.8,6.5,7.75,7.75,-1,-1,-1
58000008,8.4,7.0,4.2,8.0,7.5,7.0,-1,-1,-1
58000009,7.4,7.0,8.2,7.5,6.75,7.5,-1,-1,-1
58000010,5.6,6.75,6.6,5.25,6.5,7.25,-1,-1,-1
58000011,4.0,6.0,2.4,-1,-1,-1,2.0,5.25,7.0
58000012,6.0,8.0,4.6,-1,-1,-1,4.25,7.75,9.0
58000013,5.8,7.5,4.6,-1,-1,-1,8.25,7.5,9.25
58000014,4.6,7.5,3.2,2.25,3.75,3.75,-1,-1,-1
58000015,3.4,6.75,-1,-1,-1,-1,3.75,7.25,-1
58000016,8.6,7.25,7.4,-1,-1,-1,8.5,7.25,9.75
58000017,5.8,6.25,5.8,-1,-1,-1,5.0,7.0,8.75
58000018,6.8,6.5,-1,-1,-1,-1,5.0,6.5,-1
58000019,6.2,8.0,6.2,-1,-1,-1,7.5,8.0,8.75
58000021,3.8,6.5,2.8,-1,-1,-1,6.0,8.25,9.0
58000022,8.0,7.0,4.4,6.5,7.5,4.75,-1,-1,-1
58000023,4.2,7.0,3.2,-1,-1,-1,6.25,8.25,9.25
58000024,5.2,7.0,3.8,-1,-1,-1,6.75,7.5,9.5
58000025,4.0,5.0,2.6,-1,-1,-1,3.5,6.0,8.5
58000026,6.8,6.0,7.0,6.5,7.25,6.0,-1,-1,-1
58000027,7.4,7.75,8.2,5.5,6.25,6.0,-1,-1,-1
58000028,7.4,7.25,8.8,7.0,6.75,5.0,-1,-1,-1
