SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
59000001,4.2,7.75,-1,-1,-1,-1,5.25,5.25,-1
59000002,8.8,8.5,6.8,8.0,7.75,8.0,-1,-1,-1
59000003,3.6,7.25,-1,-1,-1,-1,3.75,6.25,-1
59000004,4.4,6.5,-1,-1,-1,-1,2.0,7.5,-1
59000005,9.0,7.75,9.4,6.0,9.0,9.25,-1,-1,-1
59000006,3.2,5.5,-1,-1,-1,-1,5.5,4.75,-1
59000007,8.4,7.0,8.6,3.25,8.75,7.75,-1,-1,-1
59000008,6.6,8.5,8.6,-1,-1,-1,8.75,7.5,9.0
59000009,8.4,7.0,6.0,6.75,5.5,5.75,-1,-1,-1
59000010,9.0,8.5,7.4,6.75,8.25,8.5,-1,-1,-1
59000011,8.4,8.25,9.8,-1,-1,-1,7.5,8.0,9.25
59000012,8.4,7.5,7.6,7.25,8.25,9.0,-1,-1,-1
59000013,7.2,4.75,-1,-1,-1,-1,7.25,7.75,-1
59000014,2.2,7.25,-1,-1,-1,-1,3.25,6.75,-1
59000015,8.2,8.75,6.0,-1,-1,-1,9.25,8.0,7.5
59000016,3.8,6.75,-1,-1,-1,-1,3.25,6.0,-1
59000017,4.8,6.5,-1,-1,-1,-1,3.5,6.5,-1
59000018,3.2,6.0,-1,-1,-1,-1,4.0,8.25,-1
59000019,7.4,6.25,9.2,5.25,8.0,6.0,-1,-1,-1
59000020,6.6,9.0,8.6,-1,-1,-1,7.25,5.75,9.0
59000021,7.8,8.5,9.2,-1,-1,-1,8.25,6.5,8.5
59000022,4.4,6.0,-1,-1,-1,-1,3.25,7.25,-1
59000023,9.2,6.25,9.2,6.5,8.0,9.75,-1,-1,-1
59000024,7.6,8.75,6.8,-1,-1,-1,9.5,8.25,9.25
59000025,6.2,7.25,-1,-1,-1,-1,4.5,6.25,-1
59000026,5.8,7.0,-1,3.5,7.25,5.5,-1,-1,-1
59000027,3.0,5.75,-1,-1,-1,-1,4.5,7.0,-1
59000028,5.2,6.25,-1,-1,-1,-1,6.25,6.5,-1
59000029,8.4,8.25,7.0,5.5,7.25,7.0,-1,-1,-1
59000030,4.8,5.0,-1,-1,-1,-1,5.5,8.0,-1
59000031,7.2,9.25,8.8,6.0,5.25,3.0,-1,-1,-1
59000032,8.4,7.25,9.0,6.75,8.5,6.5,-1,-1,-1
59000033,4.8,6.0,-1,-1,-1,-1,5.75,5.75,-1
59000034,3.2,5.5,-1,-1,-1,-1,5.0,7.75,-1
59000035,5.6,7.75,-1,3.75,3.75,3.75,-1,-1,-1
59000036,2.6,5.25,-1,-1,-1,-1,2.25,6.25,-1
59000037,8.4,7.75,9.4,7.75,7.5,6.5,-1,-1,-1
59000038,6.6,5.75,-1,-1,-1,-1,3.5,6.0,-1
59000039,6.4,8.5,8.2,-1,-1,-1,5.25,6.25,9.0
59000040,8.6,4.75,7.0,5.75,6.0,5.25,-1,-1,-1
59000041,8.0,8.0,9.0,8.0,4.75,4.75,-1,-1,-1
59000042,8.4,8.25,9.2,7.75,6.75,7.5,-1,-1,-1
59000043,8.8,7.0,9.6,7.75,7.0,7.75,-1,-1,-1
59000044,9.2,8.25,9.8,-1,-1,-1,4.75,5.75,8.0
59000045,8.8,7.75,9.4,-1,-1,-1,8.5,7.75,9.5
59000046,2.0,-1,-1,-1,-1,-1,4.0,5.75,-1
59000047,7.8,8.5,8.8,-1,-1,-1,5.25,5.75,7.5
59000048,8.4,6.0,6.6,5.25,4.75,4.25,-1,-1,-1
59000049,5.2,7.0,-1,-1,-1,-1,5.0,6.0,-1
59000050,8.6,6.0,4.6,7.0,5.5,5.5,-1,-1,-1
59000051,2.2,3.5,-1,-1,-1,-1,3.25,5.0,-1
59000052,2.4,6.0,-1,-1,-1,-1,3.25,5.75,-1
59000053,8.8,8.5,9.6,6.5,6.75,5.5,-1,-1,-1
59000054,8.8,8.0,9.0,-1,-1,-1,3.75,7.25,9.25
59000055,7.4,8.75,8.8,-1,-1,-1,4.25,6.25,8.25
59000056,8.4,8.25,9.0,8.25,5.75,5.0,-1,-1,-1
59000057,8.0,7.25,8.2,6.5,7.25,4.75,-1,-1,-1
59000058,8.6,3.75,9.2,7.5,5.5,5.25,-1,-1,-1
59000059,5.2,6.5,-1,-1,-1,-1,6.0,7.5,-1
59000060,8.8,6.75,5.8,8.25,9.0,4.75,-1,-1,-1
59000061,9.2,8.0,8.2,9.0,9.0,7.75,-1,-1,-1
59000062,2.0,4.5,-1,-1,-1,-1,3.25,5.75,-1
59000063,8.8,8.0,9.2,8.0,8.75,8.75,-1,-1,-1
59000064,2.4,4.5,-1,-1,-1,-1,3.0,6.25,-1
59000065,9.0,7.5,9.2,7.5,9.0,9.0,-1,-1,-1
59000066,8.2,6.75,7.2,7.25,6.5,6.0,-1,-1,-1
59000067,9.0,8.5,9.0,7.5,8.25,7.25,-1,-1,-1
59000068,2.6,6.75,-1,-1,-1,-1,4.25,7.0,-1
59000069,3.6,4.75,-1,-1,-1,-1,4.25,5.25,-1
59000070,8.6,7.5,7.8,8.0,8.0,5.25,-1,-1,-1
59000071,8.4,8.75,9.2,4.75,6.0,6.75,-1,-1,-1
59000072,4.8,6.75,-1,-1,-1,-1,4.25,5.75,-1
59000073,3.8,5.0,-1,-1,-1,-1,2.25,7.75,-1
59000074,6.4,8.0,-1,-1,-1,-1,4.25,7.25,-1
59000075,7.2,8.0,8.4,-1,-1,-1,6.5,7.5,8.25
59000076,7.6,8.0,9.6,-1,-1,-1,5.0,6.0,8.0
59000077,7.0,4.5,-1,5.25,5.5,5.0,-1,-1,-1
59000078,3.6,4.5,-1,-1,-1,-1,4.25,5.25,-1
59000079,2.4,5.5,-1,-1,-1,-1,5.0,7.0,-1
59000080,7.4,6.75,-1,3.5,4.5,5.25,-1,-1,-1
59000081,4.2,6.75,-1,-1,-1,-1,3.5,6.25,-1
59000082,3.8,5.0,-1,-1,-1,-1,3.75,6.0,-1
59000083,8.0,6.0,6.6,6.5,7.75,5.0,-1,-1,-1
59000084,4.8,4.0,-1,-1,-1,-1,5.0,8.0,-1
59000085,8.6,7.25,9.0,8.0,8.25,7.25,-1,-1,-1
59000086,3.4,6.25,-1,-1,-1,-1,4.25,6.5,-1
59000087,8.8,7.5,9.8,8.0,7.25,6.75,-1,-1,-1
59000088,7.4,6.5,-1,6.0,5.75,4.25,-1,-1,-1
59000089,4.6,3.0,-1,-1,-1,-1,4.0,5.0,-1
59000090,2.4,2.75,-1,-1,-1,-1,2.5,4.25,-1
59000091,4.6,5.5,-1,-1,-1,-1,4.25,8.0,-1
59000092,4.8,6.25,-1,-1,-1,-1,5.75,8.5,-1
59000093,8.8,8.75,9.6,-1,-1,-1,7.25,7.75,8.5
59000094,8.4,6.5,8.4,8.25,6.25,5.75,-1,-1,-1
59000095,2.6,5.25,-1,-1,-1,-1,3.5,5.25,-1
59000096,6.2,6.5,-1,-1,-1,-1,7.75,7.5,-1
59000097,8.2,7.5,9.0,6.25,7.0,5.5,-1,-1,-1
59000098,7.6,7.75,9.6,6.5,8.25,7.0,-1,-1,-1
59000099,8.6,9.0,9.2,5.75,6.25,7.0,-1,-1,-1
59000100,5.8,6.5,-1,-1,-1,-1,4.75,6.5,-1
59000101,3.4,7.0,-1,-1,-1,-1,3.25,7.0,-1
59000102,3.2,5.0,-1,-1,-1,-1,2.25,5.0,-1
59000103,9.2,8.25,9.4,8.25,7.0,7.0,-1,-1,-1
59000104,4.8,6.75,8.4,6.5,4.0,5.0,-1,-1,-1
59000105,8.2,8.0,6.0,6.75,6.5,4.75,-1,-1,-1
59000106,6.0,6.75,-1,-1,-1,-1,5.5,8.0,-1
59000107,7.0,8.0,4.6,-1,-1,-1,6.0,7.5,8.5
59000108,4.2,6.0,-1,-1,-1,-1,5.5,7.5,-1
59000109,9.4,6.5,6.8,9.25,8.5,5.25,-1,-1,-1
59000110,3.8,3.25,-1,-1,-1,-1,3.0,5.75,-1
59000111,6.6,7.75,6.2,5.5,6.25,7.0,-1,-1,-1
59000112,2.8,4.0,-1,-1,-1,-1,5.0,6.25,-1
59000113,2.6,5.75,-1,-1,-1,-1,2.25,6.5,-1
59000114,3.4,2.25,-1,-1,-1,-1,2.75,5.75,-1
59000115,2.8,3.75,-1,-1,-1,-1,4.75,5.25,-1
59000116,8.6,6.75,9.2,8.5,7.25,5.25,-1,-1,-1
59000117,5.4,8.0,-1,-1,-1,-1,5.25,6.0,-1
59000118,4.8,8.0,-1,-1,-1,-1,4.0,6.75,-1
59000119,3.4,5.25,-1,-1,-1,-1,1.5,7.75,-1
59000120,8.8,8.25,-1,5.75,7.75,9.75,-1,-1,-1
59000121,8.4,6.75,6.8,5.75,8.0,8.75,-1,-1,-1
59000122,2.2,6.75,-1,-1,-1,-1,3.25,5.5,-1
59000123,9.0,7.5,5.6,4.25,8.5,8.5,-1,-1,-1
59000124,9.2,6.75,-1,6.75,8.75,9.75,-1,-1,-1
59000125,7.0,8.5,8.0,-1,-1,-1,2.75,7.25,9.25
59000126,6.0,6.0,-1,-1,-1,-1,4.0,6.75,-1
59000127,7.8,8.5,9.0,-1,-1,-1,5.75,6.75,7.5
59000128,2.8,5.0,-1,-1,-1,-1,3.5,5.0,-1
59000129,9.0,7.5,8.2,7.5,7.5,7.75,-1,-1,-1
59000130,7.2,8.25,7.8,-1,-1,-1,7.5,7.75,8.75
59000131,3.8,6.5,-1,-1,-1,-1,3.25,6.75,-1
59000132,7.0,7.25,9.2,5.25,6.5,6.0,-1,-1,-1
59000133,6.4,8.0,9.0,-1,-1,-1,4.0,6.25,8.75
59000134,6.8,8.0,9.4,-1,-1,-1,8.75,6.5,7.75
59000135,2.6,6.0,-1,-1,-1,-1,4.75,6.75,-1
59000136,6.0,5.5,-1,-1,-1,-1,4.0,7.0,-1
59000137,6.0,6.0,-1,-1,-1,-1,5.25,6.0,-1
59000138,5.4,5.5,-1,-1,-1,-1,7.0,6.75,-1
59000139,7.4,7.5,-1,-1,-1,-1,7.75,7.75,-1
59000140,2.6,2.5,-1,-1,-1,-1,5.25,6.25,-1
59000141,3.6,6.75,-1,-1,-1,-1,5.0,6.5,-1
59000142,2.6,4.25,-1,-1,-1,-1,5.25,7.0,-1
59000143,8.8,7.75,8.6,8.25,8.25,6.0,-1,-1,-1
59000144,4.8,7.75,-1,-1,-1,-1,4.0,5.5,-1
59000145,4.0,6.5,-1,-1,-1,-1,4.5,5.75,-1
59000146,6.2,4.25,-1,-1,-1,-1,5.5,7.5,-1
59000147,4.6,6.0,-1,-1,-1,-1,4.25,7.5,-1
59000148,9.4,4.75,9.2,9.0,6.5,5.0,-1,-1,-1
59000149,3.0,5.25,-1,-1,-1,-1,4.25,4.0,-1
59000150,8.2,8.0,9.8,-1,-1,-1,4.5,6.25,9.25
59000151,8.2,6.5,9.0,4.75,8.5,8.25,-1,-1,-1
59000152,9.2,6.75,7.8,8.0,9.0,9.25,-1,-1,-1
59000153,5.2,6.25,-1,-1,-1,-1,3.75,6.5,-1
59000154,8.8,7.75,6.8,4.25,8.5,7.5,-1,-1,-1
59000155,3.6,5.5,-1,-1,-1,-1,4.0,6.25,-1
59000156,8.2,8.5,8.0,5.5,8.5,8.25,-1,-1,-1
59000157,8.0,8.0,8.6,7.5,6.25,5.75,-1,-1,-1
59000158,8.2,4.25,8.6,5.75,9.25,3.25,-1,-1,-1
59000159,9.0,7.25,9.8,9.0,8.25,6.0,-1,-1,-1
