SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
60000001,9.0,6.75,6.0,8.0,7.75,6.75,-1,-1,-1
60000002,7.4,8.0,6.0,-1,-1,-1,7.75,8.0,8.5
60000003,6.8,6.0,4.6,-1,-1,-1,8.75,8.0,9.5
60000004,4.2,6.5,4.4,-1,-1,-1,4.5,6.5,8.0
60000005,7.2,6.75,6.6,6.25,6.0,4.75,-1,-1,-1
60000006,5.8,6.25,3.6,-1,-1,-1,2.75,6.5,8.25
60000007,8.2,7.5,8.0,8.0,8.25,6.0,-1,-1,-1
60000008,8.0,8.25,5.2,-1,-1,-1,6.5,7.75,9.5
60000009,8.0,8.0,6.8,-1,-1,-1,8.5,9.25,10.0
60000010,7.6,6.75,4.6,7.25,8.5,6.75,-1,-1,-1
60000011,8.8,8.0,5.0,-1,-1,-1,7.75,8.25,9.25
60000012,5.4,7.0,4.4,-1,-1,-1,5.25,8.5,9.75
60000013,8.6,8.0,5.6,5.0,7.5,8.0,-1,-1,-1
60000014,7.6,7.75,5.4,-1,-1,-1,5.5,8.5,9.0
60000015,7.0,8.0,7.6,-1,-1,-1,4.75,7.75,9.25
60000016,5.6,6.75,6.4,-1,-1,-1,6.75,8.5,10.0
60000017,6.8,6.25,5.4,6.75,6.5,6.0,-1,-1,-1
60000018,6.4,6.0,5.8,-1,-1,-1,4.5,7.5,8.5
60000019,7.0,8.0,5.4,-1,-1,-1,5.0,7.0,9.0
60000020,6.8,6.75,4.2,-1,-1,-1,3.75,6.75,9.75
60000021,7.6,7.0,6.8,-1,-1,-1,4.25,7.25,9.75
60000022,4.2,6.75,2.6,-1,-1,-1,3.75,6.5,8.75
60000023,7.6,8.0,7.8,-1,-1,-1,6.0,9.0,9.5
60000024,6.4,6.5,5.2,-1,-1,-1,4.75,8.0,9.25
60000025,7.8,7.75,8.6,7.25,8.0,4.5,-1,-1,-1
60000026,7.8,6.5,4.8,6.5,7.75,7.75,-1,-1,-1
60000027,4.2,6.75,2.8,-1,-1,-1,2.75,5.5,6.75
60000028,7.8,8.0,8.6,7.5,7.25,7.75,-1,-1,-1
60000029,7.0,6.0,8.2,-1,-1,-1,6.0,6.75,8.5
60000030,8.8,7.0,9.2,8.0,8.25,6.75,-1,-1,-1
60000031,7.2,5.75,9.4,7.25,7.75,5.5,-1,-1,-1
60000032,7.0,7.25,8.2,5.5,6.25,5.75,-1,-1,-1
60000033,6.6,7.25,8.2,-1,-1,-1,5.5,6.75,9.25
60000034,7.6,8.5,9.2,-1,-1,-1,6.75,8.25,8.5
60000035,6.2,7.0,5.0,-1,-1,-1,5.0,8.25,8.5
60000036,6.6,7.0,3.4,-1,-1,-1,6.75,8.75,9.0
60000037,6.6,6.25,3.4,-1,-1,-1,5.0,7.75,9.5
60000038,7.8,7.25,4.8,-1,-1,-1,5.25,8.0,9.5
60000039,8.4,6.5,7.4,7.25,6.5,5.75,-1,-1,-1
60000040,4.2,8.75,6.0,-1,-1,-1,7.5,8.75,8.75
60000041,6.6,7.25,3.2,-1,-1,-1,4.5,6.75,9.0
60000042,9.0,7.58,9.0,8.75,8.0,7.25,-1,-1,-1
60000043,7.8,6.25,6.4,5.25,8.5,8.75,-1,-1,-1
60000044,4.8,4.58,-1,-1,-1,-1,4.75,7.0,-1
60000045,8.8,5.25,7.6,8.5,8.5,5.75,-1,-1,-1
60000046,7.6,6.5,4.0,6.5,7.0,6.25,-1,-1,-1
60000047,5.2,6.0,6.6,-1,-1,-1,7.0,7.75,9.75
60000048,6.2,7.5,7.0,-1,-1,-1,3.5,5.75,8.5
60000049,6.0,7.0,3.2,-1,-1,-1,5.25,7.5,9.0
60000050,7.4,8.0,8.6,-1,-1,-1,8.75,8.5,10.0
60000051,8.4,8.25,8.6,-1,-1,-1,6.0,7.75,9.5
60000052,8.2,7.5,5.0,8.0,7.75,5.75,-1,-1,-1
60000053,6.6,8.0,5.0,-1,-1,-1,5.0,7.5,9.25
60000054,7.8,7.5,8.4,-1,-1,-1,5.75,8.75,8.5
60000055,5.4,6.5,4.0,-1,-1,-1,5.5,6.5,7.5
60000056,5.8,6.0,4.6,-1,-1,-1,5.0,8.0,9.25
60000057,2.8,6.0,-1,-1,-1,-1,4.5,5.75,-1
60000058,8.8,6.25,7.8,5.5,7.75,8.25,-1,-1,-1
60000059,8.6,6.75,9.2,7.75,3.75,4.5,-1,-1,-1
60000060,-1,5.0,-1,-1,-1,-1,6.75,8.75,-1
60000061,7.8,7.5,7.2,-1,-1,-1,5.0,7.25,8.5
60000062,7.6,8.0,8.2,-1,-1,-1,5.75,7.75,8.75
60000063,5.2,7.0,2.8,-1,-1,-1,4.5,7.0,8.75
60000064,6.4,6.25,3.4,-1,-1,-1,4.5,7.5,9.5
60000065,4.2,6.5,4.4,-1,-1,-1,4.0,7.0,8.25
60000066,8.2,5.75,5.6,8.0,7.5,4.5,-1,-1,-1
60000067,5.2,6.75,4.4,-1,-1,-1,6.0,7.25,8.75
60000068,5.6,6.25,3.8,-1,-1,-1,4.0,6.75,9.25
60000069,8.6,7.25,9.6,-1,-1,-1,6.25,7.5,9.25
