SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
61000001,7.2,6.5,3.8,-1,-1,-1,5.75,8.0,10.0
61000002,6.8,6.25,8.4,-1,-1,-1,6.0,6.75,9.0
61000003,5.6,8.5,6.0,-1,-1,-1,6.25,7.5,9.5
61000004,6.6,7.75,7.6,-1,-1,-1,6.75,7.5,9.25
61000005,6.6,7.0,8.4,-1,-1,-1,5.0,9.0,9.0
61000006,7.0,6.75,5.0,-1,-1,-1,3.25,6.25,9.5
61000007,6.8,6.5,4.2,-1,-1,-1,5.0,6.0,7.75
61000008,7.2,6.25,6.0,5.0,5.25,6.0,-1,-1,-1
61000009,8.2,6.5,7.8,-1,-1,-1,4.75,6.25,9.5
61000010,2.6,5.0,1.8,-1,-1,-1,1.25,5.5,8.25
61000011,7.4,7.25,9.0,-1,-1,-1,7.5,7.5,9.25
61000012,6.8,5.75,5.8,-1,-1,-1,6.0,7.5,8.25
61000013,5.4,6.16,4.4,-1,-1,-1,3.5,7.5,9.25
61000014,5.2,4.5,4.6,-1,-1,-1,5.0,7.25,8.0
61000015,4.6,5.5,1.8,-1,-1,-1,4.25,6.0,8.75
61000016,8.8,9.25,8.4,6.25,9.25,9.0,-1,-1,-1
61000017,6.0,4.0,3.6,-1,-1,-1,4.25,6.5,8.25
61000018,7.6,8.5,8.6,-1,-1,-1,3.25,7.0,9.5
61000019,7.8,8.0,4.6,7.75,7.25,5.0,-1,-1,-1
61000020,8.0,8.5,8.2,5.0,7.5,4.75,-1,-1,-1
61000021,5.8,6.75,4.2,-1,-1,-1,6.5,8.0,9.0
61000022,7.6,6.75,7.4,6.75,6.25,7.75,-1,-1,-1
61000023,3.6,5.75,4.6,-1,-1,-1,3.25,6.25,6.75
61000024,4.2,6.25,5.6,-1,-1,-1,4.25,6.5,8.75
61000025,7.4,6.25,5.0,-1,-1,-1,5.25,8.0,9.75
61000026,2.6,5.0,2.4,-1,-1,-1,3.0,5.75,6.0
61000027,6.0,5.25,2.0,-1,-1,-1,5.25,7.75,8.25
61000028,5.0,5.41,3.4,5.25,3.25,2.5,-1,-1,-1
61000029,7.2,5.5,5.2,-1,-1,-1,4.75,6.5,8.25
61000030,6.0,5.0,3.4,-1,-1,-1,3.25,4.5,8.0
61000031,7.0,5.0,5.2,3.75,8.25,8.75,-1,-1,-1
