SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
62000001,6.6,7.75,6.8,-1,-1,-1,9.75,9.25,9.0
62000002,5.4,8.0,7.0,-1,-1,-1,6.5,5.5,8.0
62000003,5.4,6.25,2.8,-1,-1,-1,7.0,6.75,9.25
62000004,7.4,6.5,5.4,7.25,6.5,5.5,-1,-1,-1
62000005,6.2,6.5,4.0,-1,-1,-1,5.25,5.5,6.75
62000006,6.0,8.25,3.8,-1,-1,-1,2.0,7.25,9.0
62000007,8.2,9.0,9.8,-1,-1,-1,5.0,6.75,7.5
62000008,8.6,6.5,3.2,5.0,6.25,6.0,-1,-1,-1
62000009,4.2,5.0,3.4,-1,-1,-1,2.75,3.25,7.25
62000010,4.4,7.5,4.2,-1,-1,-1,2.75,6.0,8.0
62000011,8.2,7.75,5.0,7.5,7.25,3.75,-1,-1,-1
62000012,7.0,9.0,5.6,-1,-1,-1,4.0,6.5,8.75
62000013,7.0,7.5,8.2,-1,-1,-1,4.0,6.75,7.25
62000014,5.4,7.0,6.0,-1,-1,-1,5.75,7.25,8.25
62000015,6.8,7.0,8.8,-1,-1,-1,5.25,6.75,7.75
62000016,7.4,-1,-1,-1,7.75,9.25,-1,-1,-1
62000017,7.0,7.25,7.0,-1,-1,-1,3.75,7.0,8.75
62000018,6.8,8.0,5.0,-1,-1,-1,3.5,6.75,7.75
62000019,7.8,8.75,4.4,-1,-1,-1,7.75,7.0,9.0
62000020,6.8,6.0,6.6,4.25,5.5,5.0,-1,-1,-1
62000021,5.2,6.5,3.6,-1,-1,-1,3.25,5.5,6.75
62000022,3.0,5.25,2.4,-1,-1,-1,4.5,7.0,8.75
62000023,5.0,7.0,3.0,-1,-1,-1,5.0,8.5,9.0
62000024,5.4,8.5,4.8,-1,-1,-1,4.5,7.75,9.75
62000025,5.6,6.25,3.6,-1,-1,-1,4.5,7.5,7.25
62000026,3.2,6.5,3.8,-1,-1,-1,2.5,5.75,7.5
62000027,-1,6.0,-1,-1,-1,-1,4.25,5.0,-1
62000028,4.6,6.25,4.0,3.0,4.75,4.0,-1,-1,-1
62000029,4.8,7.5,3.2,-1,-1,-1,3.25,7.25,8.25
62000030,2.8,6.5,2.6,-1,-1,-1,5.25,7.75,8.75
62000031,5.0,7.0,2.4,-1,-1,-1,3.25,5.75,5.0
62000032,8.4,8.0,7.4,7.0,8.0,5.75,-1,-1,-1
62000033,5.8,6.75,8.0,-1,-1,-1,7.5,7.0,8.75
62000034,7.6,7.0,9.4,4.5,7.25,7.5,-1,-1,-1
62000035,5.6,7.75,4.6,-1,-1,-1,3.75,7.5,8.25
62000036,8.0,7.75,3.8,6.5,6.0,4.75,-1,-1,-1
62000037,8.0,7.0,4.4,7.0,8.25,4.5,-1,-1,-1
62000038,4.8,6.75,6.6,-1,-1,-1,3.25,6.25,6.75
62000039,9.0,7.75,8.0,6.25,8.0,8.25,-1,-1,-1
62000040,7.4,7.5,4.4,4.25,5.25,5.25,-1,-1,-1
62000041,-1,7.75,-1,-1,-1,-1,7.5,6.75,-1
62000042,8.4,6.5,4.4,5.25,8.0,5.0,-1,-1,-1
62000043,8.0,4.25,8.8,7.5,3.5,3.25,-1,-1,-1
62000044,3.8,8.25,5.6,-1,-1,-1,5.5,7.25,7.25
62000045,7.6,8.25,5.6,6.0,5.75,6.25,-1,-1,-1
62000046,6.6,7.0,7.4,-1,-1,-1,5.25,7.0,8.25
62000047,5.8,7.5,8.0,-1,-1,-1,5.5,7.0,7.5
62000048,5.6,7.5,3.6,-1,-1,-1,5.75,6.25,9.0
62000049,7.6,9.0,8.6,-1,-1,-1,4.75,7.5,9.25
62000050,6.2,6.0,5.6,-1,-1,-1,3.5,5.75,7.5
62000051,8.0,7.25,9.4,-1,-1,-1,4.5,6.75,8.0
62000052,7.0,7.5,9.0,5.75,6.25,3.5,-1,-1,-1
62000053,7.8,7.25,4.8,4.5,7.75,6.75,-1,-1,-1
62000054,6.6,8.25,8.0,-1,-1,-1,9.25,8.5,9.5
62000055,7.2,7.0,4.8,-1,-1,-1,3.75,6.75,5.5
62000056,5.2,6.25,4.8,-1,-1,-1,4.0,6.75,8.5
62000057,7.4,6.75,7.0,6.5,8.25,4.5,-1,-1,-1
62000058,-1,4.75,-1,-1,-1,-1,4.75,5.75,-1
62000059,6.6,8.5,3.0,-1,-1,-1,7.75,7.5,9.25
62000060,4.0,5.5,4.8,-1,-1,-1,2.5,5.0,6.75
62000061,3.4,4.25,4.6,-1,-1,-1,3.5,7.25,7.75
