SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
63000001,7.4,4.25,3.0,-1,-1,-1,5.5,7.25,8.5
63000002,6.8,6.0,6.6,-1,-1,-1,4.25,5.75,8.0
63000003,5.2,7.5,3.6,-1,-1,-1,8.0,8.75,7.75
63000004,-1,5.75,-1,-1,-1,-1,6.25,6.25,-1
63000005,8.4,5.5,9.6,7.25,5.75,5.5,-1,-1,-1
63000006,7.8,5.5,3.8,6.75,6.5,4.5,-1,-1,-1
63000007,8.4,7.25,9.4,-1,-1,-1,6.0,8.5,9.0
63000008,7.6,8.0,8.6,-1,-1,-1,3.5,8.25,7.0
63000009,4.4,4.75,3.4,-1,-1,-1,3.5,6.5,7.5
63000010,5.8,5.5,3.8,-1,-1,-1,7.0,7.5,8.75
63000011,7.8,6.75,5.6,7.5,8.25,4.5,-1,-1,-1
63000012,7.6,5.75,3.0,6.5,6.25,6.0,-1,-1,-1
63000013,7.4,7.0,8.6,5.0,5.75,3.25,-1,-1,-1
63000014,6.2,4.0,3.2,-1,-1,-1,6.25,6.0,5.75
63000015,7.2,7.25,4.8,-1,-1,-1,5.75,6.5,9.0
63000016,8.8,5.5,6.0,7.0,8.5,8.75,-1,-1,-1
63000017,8.2,6.25,9.2,7.0,5.75,5.75,-1,-1,-1
63000018,7.6,6.5,8.6,5.5,5.5,6.0,-1,-1,-1
63000019,6.6,6.0,5.0,-1,-1,-1,3.5,5.5,6.75
63000020,7.2,5.5,8.8,-1,-1,-1,5.5,7.75,9.0
63000021,6.0,6.25,3.0,-1,-1,-1,4.25,8.5,9.25
63000022,6.6,6.0,5.4,4.5,-1,-1,-1,-1,-1
63000023,4.6,6.0,3.0,-1,-1,-1,6.25,7.5,7.75
63000024,6.2,6.25,2.0,-1,-1,-1,5.0,6.5,8.75
63000025,7.8,6.5,7.6,6.5,5.75,3.25,-1,-1,-1
63000026,8.6,5.0,6.2,7.75,7.5,5.25,-1,-1,-1
63000027,5.2,3.25,4.8,-1,-1,-1,4.25,7.25,7.75
63000028,-1,7.0,-1,-1,-1,-1,6.25,6.25,-1
63000029,8.8,6.5,7.4,8.75,9.0,5.75,-1,-1,-1
63000030,8.4,5.75,3.8,7.75,7.5,7.0,-1,-1,-1
63000031,7.8,6.75,9.4,7.0,7.0,6.5,-1,-1,-1
63000032,6.6,3.75,4.0,-1,-1,-1,5.75,7.5,8.5
63000033,6.2,5.5,5.8,-1,-1,-1,5.75,7.25,8.25
63000034,8.0,4.0,8.2,7.0,3.75,2.25,-1,-1,-1
63000035,6.8,4.5,7.0,5.75,6.5,4.75,-1,-1,-1
63000036,4.4,4.75,2.0,-1,-1,-1,3.0,6.75,6.75
63000037,5.4,4.25,4.8,-1,-1,-1,5.0,6.25,8.0
63000038,7.4,6.5,5.8,-1,-1,-1,5.5,9.0,9.0
63000039,4.2,3.75,3.2,-1,-1,-1,4.5,7.0,8.75
63000040,8.0,7.0,4.8,5.25,6.75,4.75,-1,-1,-1
63000041,5.8,6.75,8.8,-1,-1,-1,-1,-1,-1
63000042,6.2,5.0,2.0,3.25,4.5,4.75,-1,-1,-1
63000043,4.8,3.5,2.0,-1,-1,-1,3.25,6.25,8.0
63000044,8.0,5.75,5.4,7.0,7.0,5.5,-1,-1,-1
63000045,8.4,3.75,9.6,8.5,6.0,5.25,-1,-1,-1
63000046,3.0,2.75,-1,-1,-1,-1,3.0,-1,-1
63000047,6.2,5.0,4.2,4.25,6.25,5.5,-1,-1,-1
63000048,3.4,4.5,3.0,-1,-1,-1,5.25,7.75,9.5
63000049,8.2,5.25,5.2,6.0,7.5,7.25,-1,-1,-1
63000050,5.8,5.66,5.0,-1,-1,-1,6.0,7.0,8.75
63000051,8.4,5.0,5.8,7.75,8.25,4.25,-1,-1,-1
63000052,8.4,7.25,9.6,-1,-1,-1,4.75,8.5,9.0
63000053,6.0,7.0,7.2,-1,-1,-1,5.75,8.75,9.75
63000054,8.0,6.25,-1,-1,-1,-1,9.5,-1,-1
63000055,5.2,3.75,5.0,-1,-1,-1,4.0,4.5,5.0
63000056,9.0,5.0,3.2,6.75,7.5,5.75,-1,-1,-1
63000057,6.6,8.75,7.0,-1,-1,-1,5.75,8.25,8.0
63000058,8.0,6.5,7.8,-1,-1,-1,-1,-1,-1
63000059,7.0,6.25,4.0,6.25,7.5,6.5,-1,-1,-1
63000060,-1,7.25,-1,-1,-1,-1,8.0,9.25,-1
63000061,8.4,4.75,2.6,2.75,8.0,6.75,-1,-1,-1
63000062,8.0,6.5,7.8,6.5,6.25,5.0,-1,-1,-1
63000063,8.8,6.5,6.0,-1,-1,-1,5.0,7.75,9.5
63000064,9.0,7.75,8.2,8.0,8.25,6.75,-1,-1,-1
63000065,7.0,7.25,8.0,-1,-1,-1,4.0,8.75,9.75
63000066,6.2,6.75,4.0,-1,-1,-1,4.5,6.75,7.75
63000067,7.8,7.0,8.4,5.75,7.0,4.25,-1,-1,-1
63000068,8.4,8.0,8.8,-1,-1,-1,6.25,7.75,9.25
63000069,7.8,8.5,8.0,-1,-1,-1,5.5,7.0,8.25
63000070,3.0,5.5,-1,-1,-1,-1,6.0,7.0,-1
63000071,7.6,5.25,2.6,5.0,5.75,4.5,-1,-1,-1
63000072,7.0,4.25,8.6,6.5,4.75,6.75,-1,-1,-1
63000073,3.6,4.0,-1,-1,-1,-1,5.5,6.5,-1
63000074,9.4,4.75,7.4,4.25,8.5,8.75,-1,-1,-1
63000075,-1,4.5,-1,-1,-1,-1,6.75,7.0,-1
63000076,6.2,4.75,3.2,-1,-1,-1,5.0,7.25,8.0
63000077,8.6,4.75,4.4,8.0,9.25,5.0,-1,-1,-1
63000078,7.6,5.0,4.4,5.5,6.25,4.75,-1,-1,-1
63000079,7.0,5.75,2.2,-1,-1,-1,6.75,7.5,8.75
63000080,9.0,5.5,8.2,8.25,8.0,5.25,-1,-1,-1
63000081,7.6,4.0,6.8,7.75,5.25,7.0,-1,-1,-1
63000082,4.4,4.0,3.0,-1,-1,-1,3.5,5.0,7.0
63000083,5.6,6.5,-1,-1,-1,-1,5.0,-1,-1
63000084,8.0,6.0,4.4,7.5,7.25,4.5,-1,-1,-1
63000085,7.6,6.5,5.2,-1,-1,-1,8.75,8.5,8.75
63000086,6.0,5.75,4.2,4.25,4.75,6.25,-1,-1,-1
63000087,3.4,2.75,-1,-1,-1,-1,2.0,4.75,-1
63000088,2.4,2.25,-1,-1,-1,-1,3.75,2.75,-1
63000089,8.2,3.75,3.8,5.75,6.25,5.25,-1,-1,-1
63000090,7.6,4.75,3.2,5.5,7.0,4.5,-1,-1,-1
63000091,7.4,7.0,6.6,-1,-1,-1,3.5,7.75,9.0
63000092,3.4,3.25,-1,-1,-1,-1,4.0,5.25,-1
63000093,5.2,8.25,5.4,-1,-1,-1,8.25,7.0,8.75
63000094,6.2,5.75,5.4,-1,-1,-1,6.25,6.25,7.0
63000095,6.0,8.5,7.0,-1,-1,-1,8.5,8.5,8.75
63000096,9.2,4.75,8.6,7.75,9.0,6.0,-1,-1,-1
63000097,6.6,4.5,2.2,5.0,4.5,4.75,-1,-1,-1
63000098,3.4,5.0,-1,-1,-1,-1,2.75,-1,-1
63000099,8.6,5.75,4.4,-1,-1,-1,3.0,7.0,6.5
63000100,4.8,5.0,2.2,-1,-1,-1,4.0,7.0,7.25
63000101,-1,5.0,-1,-1,-1,-1,8.0,8.5,-1
63000102,3.0,3.5,2.4,-1,-1,-1,3.75,5.5,7.0
63000103,2.4,-1,-1,3.0,3.5,-1,-1,-1,-1
63000104,2.2,5.0,-1,-1,-1,-1,3.0,7.25,-1
63000105,8.6,5.5,6.6,8.0,8.0,4.0,-1,-1,-1
63000106,6.2,4.75,4.0,6.0,5.25,4.75,-1,-1,-1
63000107,9.0,6.0,-1,-1,-1,-1,9.75,-1,-1
63000108,-1,4.25,-1,-1,-1,-1,8.5,8.0,-1
63000109,7.8,5.0,9.2,-1,-1,-1,5.25,7.0,8.5
63000110,7.0,5.0,3.4,5.75,5.75,3.75,-1,-1,-1
63000112,8.2,6.0,6.6,6.75,8.0,5.75,-1,-1,-1
63000113,9.4,6.25,9.0,6.0,9.25,9.25,-1,-1,-1
63000114,-1,5.0,-1,-1,-1,-1,4.5,7.0,-1
63000116,8.6,6.0,9.4,8.5,5.75,6.25,-1,-1,-1
63000117,4.2,3.5,3.8,-1,-1,-1,4.25,7.0,7.0
63000118,-1,5.0,-1,-1,-1,-1,4.75,7.5,-1
63000119,3.8,4.0,-1,-1,-1,-1,4.25,6.25,-1
63000120,8.6,5.5,7.2,4.75,4.5,5.0,-1,-1,-1
63000121,6.6,6.0,9.2,-1,-1,-1,4.75,5.75,7.75
