SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
64000001,3.6,5.5,3.6,-1,-1,-1,4.0,3.75,7.5
64000002,4.6,6.0,2.0,5.0,4.25,3.5,-1,-1,-1
64000003,8.6,7.25,6.0,8.0,7.25,5.75,-1,-1,-1
64000004,5.4,7.0,4.4,-1,-1,-1,4.25,7.0,8.0
64000005,5.8,6.0,4.0,-1,-1,-1,3.0,6.5,8.25
64000006,5.8,6.25,4.6,-1,-1,-1,7.0,7.75,8.5
64000007,6.2,6.75,4.6,-1,-1,-1,6.25,8.0,9.75
64000008,6.4,5.75,4.4,-1,-1,-1,7.5,8.25,9.5
64000009,5.2,5.0,3.4,-1,-1,-1,2.5,5.25,6.25
64000010,5.8,7.5,5.0,-1,-1,-1,5.25,7.5,9.5
64000011,8.4,7.25,6.6,-1,-1,-1,8.0,7.75,9.5
64000012,6.6,7.0,7.4,-1,-1,-1,8.25,8.0,9.5
64000013,4.0,7.75,3.4,-1,-1,-1,3.75,6.5,8.5
64000014,7.6,8.0,5.6,-1,-1,-1,7.5,8.0,8.75
64000015,7.2,6.25,4.2,-1,-1,-1,3.25,6.5,7.5
64000016,7.8,7.5,6.2,7.25,7.5,7.0,-1,-1,-1
64000017,4.8,5.0,3.0,-1,-1,-1,6.75,7.25,7.75
64000018,7.0,7.0,3.8,-1,-1,-1,5.5,6.25,8.5
64000019,4.8,5.0,3.0,4.5,7.25,4.0,-1,-1,-1
64000020,6.2,6.75,4.2,-1,-1,-1,2.5,5.5,7.0
64000021,6.2,7.25,5.8,-1,-1,-1,7.0,7.75,9.25
64000022,7.2,6.25,7.4,-1,-1,-1,5.5,8.5,7.75
64000023,6.6,4.75,6.2,-1,-1,-1,6.5,8.5,9.0
64000024,7.8,5.42,5.0,-1,-1,-1,6.25,7.75,9.0
64000025,7.0,8.0,6.6,-1,-1,-1,7.25,7.5,9.75
64000026,7.6,8.25,7.4,7.0,7.25,5.0,-1,-1,-1
64000027,8.2,7.25,5.8,5.5,7.25,6.75,-1,-1,-1
64000028,4.4,6.5,4.4,-1,-1,-1,3.75,6.25,8.0
64000029,7.0,6.5,5.4,7.5,6.0,4.75,-1,-1,-1
64000030,5.6,5.75,2.6,-1,-1,-1,3.75,6.5,7.75
64000031,4.6,4.25,4.6,-1,-1,-1,1.25,5.5,6.75
64000032,8.8,4.5,6.6,7.75,7.75,7.0,-1,-1,-1
64000033,3.4,5.0,3.4,-1,-1,-1,2.5,4.5,7.5
64000034,6.0,6.25,2.4,-1,-1,-1,3.75,7.75,9.0
64000035,7.0,6.0,5.6,6.0,6.5,6.0,-1,-1,-1
64000036,5.0,7.0,3.6,5.25,2.5,3.75,-1,-1,-1
64000037,6.6,7.5,8.4,-1,-1,-1,4.75,6.0,8.75
64000038,9.0,8.0,5.4,-1,-1,-1,9.0,8.5,9.75
64000039,6.4,7.25,4.8,7.25,7.0,5.0,-1,-1,-1
64000040,6.8,8.0,3.6,-1,-1,-1,3.0,7.25,8.75
64000041,7.0,7.0,4.0,6.25,7.25,5.0,-1,-1,-1
64000042,7.2,7.0,4.8,-1,-1,-1,5.75,6.5,8.5
64000043,6.8,8.75,4.6,7.5,8.0,5.0,-1,-1,-1
64000044,6.0,7.25,3.2,-1,-1,-1,5.5,7.5,8.25
64000045,6.0,8.75,5.4,5.75,7.75,4.0,-1,-1,-1
64000046,8.0,6.5,5.6,8.25,8.0,6.25,-1,-1,-1
64000047,6.6,5.5,4.0,-1,-1,-1,6.0,7.0,8.75
64000048,5.0,6.5,4.4,-1,-1,-1,6.75,7.25,9.25
64000049,7.6,6.75,3.4,6.25,6.75,5.5,-1,-1,-1
64000050,5.6,5.25,5.4,-1,-1,-1,3.75,5.75,7.75
64000051,7.0,7.25,6.2,6.25,7.0,4.75,-1,-1,-1
