11000001,Ngữ văn,5.5,Lịch sử,2.25,Địa lý,7,,,,,,
11000002,Toán,6.4,Ngữ văn,6,Ngoại ngữ,3.2,Lịch sử,4.5,Địa lý,8.25,Giáo dục công dân,9.25
11000003,Toán,4.2,Ngữ văn,5.25,Ngoại ngữ,5.2,Lịch sử,3.75,Địa lý,4.5,Giáo dục công dân,8
11000004,Toán,7.6,Ngữ văn,8,Ngoại ngữ,6.4,Lịch sử,8.25,Địa lý,9,Giáo dục công dân,10
11000005,Toán,7.6,Ngữ văn,6,Ngoại ngữ,8.4,Vật lý,8.25,Hóa học,5.5,Sinh học,4.25
11000006,Toán,5.2,Ngữ văn,7.5,Ngoại ngữ,3.4,Lịch sử,3.75,Địa lý,8.25,Giáo dục công dân,9
11000007,Toán,7.6,Ngữ văn,7.25,Ngoại ngữ,6.2,Lịch sử,6,Địa lý,8.75,Giáo dục công dân,10
11000008,Toán,3.2,Ngữ văn,6.75,Ngoại ngữ,2.6,Lịch sử,4.25,Địa lý,6.75,Giáo dục công dân,9.5
11000009,Toán,7,Ngữ văn,4,Ngoại ngữ,6.2,Vật lý,8,Hóa học,7.25,Sinh học,2.75
11000010,Toán,6.8,Ngữ văn,7,Ngoại ngữ,5.2,Lịch sử,7.5,Địa lý,9,Giáo dục công dân,10
11000011,Toán,7.2,Ngữ văn,6,Ngoại ngữ,4.8,Lịch sử,6.75,Địa lý,8.25,Giáo dục công dân,9
11000012,Toán,5.2,Ngữ văn,4.25,Ngoại ngữ,3.6,Lịch sử,3.5,Địa lý,8,Giáo dục công dân,7.5
11000013,Ngữ văn,5.25,Lịch sử,8.75,Địa lý,8.5,,,,,,
11000014,Toán,4.8,Ngữ văn,6.25,Ngoại ngữ,3.4,Lịch sử,5.5,Địa lý,6.25,Giáo dục công dân,7.5
11000015,Toán,6.4,Ngữ văn,5.75,Ngoại ngữ,5.2,Lịch sử,5.75,Địa lý,8.75,Giáo dục công dân,9.25
11000016,Toán,3,Ngữ văn,4.5,Ngoại ngữ,3.6,Lịch sử,3.5,Địa lý,7.75,Giáo dục công dân,9.5
11000017,Toán,5.6,Ngữ văn,5.75,Ngoại ngữ,4.2,Lịch sử,5.5,Địa lý,7.75,Giáo dục công dân,8.5
11000018,Toán,6.8,Ngữ văn,6.5,Ngoại ngữ,7.2,Lịch sử,7,Địa lý,8.75,Giáo dục công dân,10
11000019,Ngữ văn,6.75,Lịch sử,8.75,Địa lý,9,,,,,,
11000020,Toán,5.6,Ngữ văn,6,Ngoại ngữ,5.8,Lịch sử,6,Địa lý,8.25,Giáo dục công dân,9.75
11000021,Toán,6,Ngữ văn,6.25,Ngoại ngữ,5,Lịch sử,5,Địa lý,8,Giáo dục công dân,8.75
11000022,Toán,6.4,Ngữ văn,5.75,Ngoại ngữ,6.2,Lịch sử,5.75,Địa lý,8.25,Giáo dục công dân,9.75
11000023,Toán,5.2,Ngữ văn,5.75,Ngoại ngữ,3.4,Lịch sử,6.5,Địa lý,6.75,Giáo dục công dân,8.75
11000024,Toán,6,Ngữ văn,5.75,Ngoại ngữ,2.4,Lịch sử,3,Địa lý,6,Giáo dục công dân,7.75
11000025,Toán,5.8,Ngữ văn,6.5,Ngoại ngữ,4.4,Lịch sử,5.5,Địa lý,6.5,Giáo dục công dân,8.25
11000026,Ngữ văn,7.75,Lịch sử,6.75,Địa lý,8.75,,,,,,
11000027,Toán,5.2,Ngữ văn,4.25,Ngoại ngữ,3.4,Lịch sử,2.5,Địa lý,6,Giáo dục công dân,6.5
11000028,Toán,3.6,Ngữ văn,6,Ngoại ngữ,4.2,Lịch sử,4,Địa lý,6,Giáo dục công dân,6.75
11000029,Toán,6.8,Ngữ văn,7.5,Ngoại ngữ,5.4,Lịch sử,4,Địa lý,8,Giáo dục công dân,9.5
11000030,Toán,5.6,Ngữ văn,4.25,Ngoại ngữ,2.2,Lịch sử,1.75,Địa lý,7,Giáo dục công dân,7.5
11000031,Toán,2,Ngữ văn,4.5,Ngoại ngữ,3,Lịch sử,4.5,Địa lý,6.25,Giáo dục công dân,8.75
11000032,Toán,2.4,Ngữ văn,5.25,Ngoại ngữ,3,Lịch sử,3,Địa lý,5.75,Giáo dục công dân,7.25
11000033,Toán,4.6,Ngữ văn,7,Ngoại ngữ,5.4,Lịch sử,4.5,Địa lý,7.25,Giáo dục công dân,9.25
11000034,Toán,2.6,Ngữ văn,3.75,Ngoại ngữ,2.4,Lịch sử,3.25,Địa lý,7.75,Giáo dục công dân,7.5
11000035,Toán,6.4,Ngữ văn,7,Ngoại ngữ,8.8,Vật lý,6.25,Hóa học,3.25,Sinh học,3.75
11000036,Toán,3.4,Ngữ văn,7.5,Ngoại ngữ,4.2,Lịch sử,3.25,Địa lý,8.5,Giáo dục công dân,8.75
11000037,Toán,5.2,Ngữ văn,8,Ngoại ngữ,3.4,Lịch sử,2.5,Địa lý,7.75,Giáo dục công dân,6
11000038,Toán,4.4,Ngữ văn,4.5,Lịch sử,4.25,Địa lý,7.25,,,,
11000039,Toán,4.6,Ngữ văn,6,Ngoại ngữ,4.2,Lịch sử,4.25,Địa lý,7.25,Giáo dục công dân,7.75
11000040,Toán,7,Ngữ văn,6.25,Ngoại ngữ,4.2,Lịch sử,5.5,Địa lý,8,Giáo dục công dân,9.5
11000041,Toán,6.6,Ngữ văn,7.5,Ngoại ngữ,6.8,Lịch sử,8.25,Địa lý,9,Giáo dục công dân,9.25
11000042,Toán,7.4,Ngữ văn,6.5,Ngoại ngữ,6,Vật lý,7,Hóa học,6.5,Sinh học,6.5
11000043,Toán,7.4,Ngữ văn,5,Ngoại ngữ,1.8,Vật lý,7,Hóa học,6.25,Sinh học,5.25
11000044,Toán,7.2,Ngữ văn,7.75,Ngoại ngữ,4.6,Lịch sử,4.25,Địa lý,7.75,Giáo dục công dân,9.75
11000045,Toán,6,Ngữ văn,7.25,Ngoại ngữ,3.2,Lịch sử,6.25,Địa lý,7.5,Giáo dục công dân,9
11000046,Toán,7.2,Ngữ văn,5.25,Ngoại ngữ,8.8,Vật lý,7,Hóa học,5.25,Sinh học,5.25
